category,grade,kaisai_name,keirin_cd,meeting_icon,pos1_car_no,pos1_decision,pos1_name,pos1_region,pos2_car_no,pos2_decision,pos2_name,pos2_region,pos3_car_no,pos3_decision,pos3_name,pos3_region,quinella,quinella_payout,quinella_popularity,race_date,race_no,track,trifecta,trifecta_payout,trifecta_popularity
Ａ級一般,F1,,23,1,3,差し,田中　俊充,福　井,6,逃げ,小出　慎也,和歌山,7,,白井　一機,愛　知,3-6,320円,(1),20250821,1R,取手,3-6-7,380円,(1)
Ａ級一般,F1,,23,1,3,逃げ,緒方　剛,埼　玉,4,差し,小磯　知也,徳　島,1,,外崎　一成,北海道,3-4,"134,260円",(40),20250821,2R,取手,3-4-1,"545,710円",(188)
Ａ級準決勝,F1,,23,1,5,差し,土屋　裕二,静　岡,3,逃げ,坪内　恒,千　葉,4,,荻原　寿嗣,北海道,5-3,490円,(2),20250821,3R,取手,5-3-4,"3,200円",(9)
Ａ級準決勝,F1,,23,1,2,差し,福田　稔希,栃　木,4,マーク,山田　義彦,埼　玉,6,,台　和紀,埼　玉,2-4,190円,(1),20250821,4R,取手,2-4-6,680円,(2)
Ａ級準決勝,F1,,23,1,6,捲り,高橋　優斗,大　分,3,捲り,船瀬　惇平,広　島,7,,堀　航輝,青　森,6-3,"8,040円",(22),20250821,5R,取手,6-3-7,"69,060円",(142)
Ｌ級ガールズ予選（第２走）,F1,,23,1,6,差し,當銘　直美,愛　知,5,逃げ,又多　風緑,石　川,4,,向井　円,大　阪,6-5,780円,(4),20250821,6R,取手,6-5-4,"12,340円",(32)
Ｌ級ガールズ予選（第２走）,F1,,23,1,5,逃げ,尾方　真生,福　岡,6,マーク,枝光　美奈,福　岡,1,,吉村早耶香,静　岡,5-6,410円,(3),20250821,7R,取手,5-6-1,690円,(4)
Ｓ級一般,F1,,23,1,4,差し,小林　大介,群　馬,2,マーク,天田　裕輝,群　馬,5,,梁島　邦友,茨　城,4-2,400円,(2),20250821,8R,取手,4-2-5,610円,(2)
Ｓ級一般,F1,,23,1,3,差し,竹村　勇祐,秋　田,7,捲り,磯島　成介,青　森,2,,桐山敬太郎,神奈川,3-7,270円,(1),20250821,9R,取手,3-7-2,300円,(1)
Ｓ級準決勝,F1,,23,1,4,捲り,南　潤,和歌山,1,マーク,藤田　勝也,和歌山,2,,久木原　洋,埼　玉,4-1,660円,(3),20250821,10R,取手,4-1-2,"3,090円",(8)
Ｓ級準決勝,F1,,23,1,7,差し,佐藤　一伸,福　島,3,逃げ,櫻井祐太郎,宮　城,2,,渡邉　雄太,静　岡,7-3,350円,(2),20250821,11R,取手,7-3-2,"1,100円",(3)
Ｓ級準決勝,F1,,23,1,5,捲り,木村　皆斗,茨　城,1,マーク,横山　尚則,茨　城,4,,中田　雄喜,福　島,5-1,210円,(1),20250821,12R,取手,5-1-4,390円,(1)
