category,grade,kaisai_name,keirin_cd,meeting_icon,pos1_car_no,pos1_decision,pos1_name,pos1_region,pos2_car_no,pos2_decision,pos2_name,pos2_region,pos3_car_no,pos3_decision,pos3_name,pos3_region,quinella,quinella_payout,quinella_popularity,race_date,race_no,track,trifecta,trifecta_payout,trifecta_popularity
Ｓ級一次予選,G3,,75,1,2,差し,高橋　広大,埼　玉,5,逃げ,寺沼　拓摩,東　京,3,,松川　高大,熊　本,2-5,"2,300円",(9),20240808,1R,松山,2-5-3,"12,170円",(38)
Ｓ級一次予選,G3,,75,1,1,差し,川津　悠揮,北海道,9,捲り,木村　佑来,宮　城,2,,川口公太朗,岐　阜,1-9,400円,(1),20240808,2R,松山,1-9-2,"1,540円",(2)
Ｓ級一次予選,G3,,75,1,1,逃げ,池野　健太,兵　庫,6,マーク,菊池竣太朗,静　岡,4,,近藤　夏樹,千　葉,1-6,"7,810円",(19),20240808,3R,松山,1-6-4,"38,420円",(90)
Ｓ級一次予選,G3,,75,1,7,差し,近藤　保,千　葉,2,逃げ,菅原　大也,神奈川,8,,土屋　裕二,静　岡,7-2,630円,(2),20240808,4R,松山,7-2-8,"3,100円",(8)
Ｓ級一次予選,G3,,75,1,1,逃げ,林　慶次郎,福　岡,5,マーク,濱田　浩司,愛　媛,8,,大崎飛雄馬,愛　媛,1-5,360円,(1),20240808,5R,松山,1-5-8,990円,(1)
Ｓ級一次予選,G3,,75,1,2,差し,久保田泰弘,山　口,6,マーク,上田　学,愛　媛,4,,昼田　達哉,岡　山,2-6,"4,370円",(14),20240808,6R,松山,2-6-4,"13,860円",(41)
Ｓ級一次予選,G3,,75,1,1,差し,芦澤　大輔,茨　城,5,逃げ,橋本　瑠偉,栃　木,2,,三宅　達也,岡　山,1-5,520円,(2),20240808,7R,松山,1-5-2,"1,820円",(4)
Ｓ級一次予選,G3,,75,1,3,逃げ,大矢　崇弘,東　京,2,差し,川村　晃司,京　都,7,,岡　光良,埼　玉,3-2,"3,730円",(10),20240808,8R,松山,3-2-7,"14,770円",(39)
Ｓ級一次予選,G3,,75,1,7,差し,吉田　智哉,愛　媛,1,捲り,真鍋　智寛,愛　媛,9,,池田　憲昭,香　川,7-1,300円,(1),20240808,9R,松山,7-1-9,450円,(1)
Ｓ級一次予選,G3,,75,1,3,差し,荻原　尚人,宮　城,1,マーク,蕗澤鴻太郎,群　馬,4,,後藤　悠,岩　手,3-1,"2,720円",(8),20240808,10R,松山,3-1-4,"21,780円",(61)
Ｓ級一次予選,G3,,75,1,1,差し,吉田　敏洋,愛　知,4,逃げ,橋本　優己,岐　阜,2,,佐藤　一伸,福　島,1-4,"2,380円",(6),20240808,11R,松山,1-4-2,"9,040円",(19)
Ｓ級初日特選,G3,,75,1,1,捲り,新田　祐大,福　島,8,マーク,吉本　卓仁,福　岡,6,,坂本健太郎,福　岡,1-8,290円,(1),20240808,12R,松山,1-8-6,870円,(1)
Ａ級一般,F1,,36,1,1,捲り,田中　勝仁,千　葉,7,差し,田川　辰二,熊　本,6,,近藤　直幹,徳　島,1-7,"4,250円",(12),20240808,1R,小田原,1-7-6,"66,350円",(96)
Ａ級一般,F1,,36,1,3,逃げ,齋藤　一茂,群　馬,5,マーク,増田　鉄男,徳　島,4,,鈴木龍之介,栃　木,3-5,500円,(2),20240808,2R,小田原,3-5-4,970円,(2)
Ａ級特選,F1,,36,1,2,差し,伊藤　彰規,神奈川,4,差し,好永　晃,佐　賀,3,,竹元　健竜,福　岡,2-4,"2,200円",(7),20240808,3R,小田原,2-4-3,"7,750円",(24)
Ａ級特選,F1,,36,1,4,捲り,城　幸弘,山　梨,1,差し,藤井　將,広　島,3,,佐々木省司,青　森,4-1,"4,470円",(15),20240808,4R,小田原,4-1-3,"18,980円",(62)
Ｓ級一般,F1,,36,1,1,捲り,小川　丈太,徳　島,4,マーク,西田　雅志,広　島,7,,小沼　良,埼　玉,1-4,410円,(1),20240808,5R,小田原,1-4-7,"1,080円",(1)
Ｓ級一般,F1,,36,1,5,捲り,邊見　光輝,福　島,3,マーク,安部　貴之,宮　城,2,,江守　昇,千　葉,5-3,350円,(2),20240808,6R,小田原,5-3-2,510円,(2)
Ｓ級一般,F1,,36,1,7,逃げ,長田　龍拳,静　岡,3,マーク,近藤　俊明,神奈川,1,,春日　勇人,千　葉,7-3,540円,(2),20240808,7R,小田原,7-3-1,870円,(2)
Ｓ級特選,F1,,36,1,1,差し,柿澤　大貴,長　野,7,逃げ,鈴木　玄人,東　京,6,,宮本　隼輔,山　口,1-7,470円,(2),20240808,8R,小田原,1-7-6,"2,990円",(7)
Ｓ級特選,F1,,36,1,5,捲り,木村　弘,青　森,2,マーク,竹村　勇祐,秋　田,7,,堤　洋,徳　島,5-2,"1,960円",(6),20240808,9R,小田原,5-2-7,"7,460円",(18)
Ｓ級特選,F1,,36,1,6,捲り,才迫　開,広　島,7,差し,内藤　宣彦,秋　田,3,,高原　仁志,徳　島,6-7,"3,280円",(9),20240808,10R,小田原,6-7-3,"8,820円",(18)
Ａ級決勝,F1,,36,1,5,差し,吉武信太朗,愛　媛,6,捲り,矢部　駿人,岡　山,2,,西田　大志,福　岡,5-6,"1,160円",(2),20240808,11R,小田原,5-6-2,"1,760円",(6)
Ｓ級決勝,F1,,36,1,3,差し,山口　敦也,佐　賀,7,差し,嶋田　誠也,福　岡,5,,緒方　将樹,熊　本,3-7,"1,020円",(3),20240808,12R,小田原,3-7-5,"1,880円",(3)
Ａ級一般,F1,,85,3,1,差し,日浅　保幸,岡　山,3,差し,川野　正芳,大　分,2,,手島　志誠,群　馬,1-3,"2,440円",(9),20240808,1R,佐世保,1-3-2,"26,990円",(78)
Ａ級一般,F1,,85,3,2,逃げ,池邉　聖,神奈川,6,マーク,富澤　洋祐,静　岡,5,,阿部　英光,宮　城,2-6,460円,(1),20240808,2R,佐世保,2-6-5,810円,(1)
Ａ級準決勝,F1,,85,3,7,捲り,山本　恵介,福　島,2,差し,山口　龍也,長　崎,1,,守谷　陽介,岡　山,7-2,"2,960円",(16),20240808,3R,佐世保,7-2-1,"9,060円",(41)
Ａ級準決勝,F1,,85,3,1,捲り,菅谷　隆司,東　京,5,マーク,甲斐　康昭,群　馬,2,,名川　豊,福　岡,1-5,"3,210円",(9),20240808,4R,佐世保,1-5-2,"22,260円",(46)
