race_encp,race_date,track,race_no,grade,syumoku,syoriKbn,syusouInfoExistFlg,yudoSensyuName,raceResult1Syaban,raceResult2Syaban,backCnt1Syaban,backCnt2Syaban,lastUpdateTime
5JBLdC8cyCWI9sEL6PUbQin56nDy-hVQ4zha58u-ZO3p81sm3alu9pHMvpbciwr-,20240219,高松,1,G3,Ｓ級一般,1,1,渋谷　海,3,5,5,2,2024/02/19 07:04&nbsp;更新
5JBLdC8cyCWI9sEL6PUbQhz511XUKPDKXz2e5YpdzhJ8rcONnT96HePcnknnUZvL,20240219,高松,2,G3,Ｓ級一般,1,1,戸田　康平,5,4,2,3,2024/02/19 07:04&nbsp;更新
5JBLdC8cyCWI9sEL6PUbQnFwDd9pQb1eCaEqhRwDw9_H6jZOBPMHTk5W7v7Aug07,20240219,高松,3,G3,Ｓ級一般,1,1,宮崎　康司,1,3,6,"2,7",2024/02/19 07:04&nbsp;更新
5JBLdC8cyCWI9sEL6PUbQlckm82G6zOWq1aIdCGU5LzY_MVIrZRyg4yVe3r5qRid,20240219,高松,4,G3,Ｓ級選抜,1,1,近藤　誠二,1,5,6,3,2024/02/19 07:04&nbsp;更新
5JBLdC8cyCWI9sEL6PUbQrR1IZiXaBdeIrrzlBkTR3dZjpndLyCzVuT5OHzMtjz9,20240219,高松,5,G3,Ｓ級選抜,1,1,宮本　佳樹,1,2,9,8,2024/02/19 07:04&nbsp;更新
5JBLdC8cyCWI9sEL6PUbQlOdp_pM9ahDp-kAERRkCMnIl_seRmE5xw6ZSdocl3LK,20240219,高松,6,G3,Ｓ級選抜,1,1,渋谷　海,1,7,7,2,2024/02/19 07:04&nbsp;更新
5JBLdC8cyCWI9sEL6PUbQj9obtle36eZMFaVLvme4zOGbHvFiW87Qo9zp-FqRJsd,20240219,高松,7,G3,Ｓ級特選,1,1,宮崎　康司,2,3,2,6,2024/02/19 07:04&nbsp;更新
5JBLdC8cyCWI9sEL6PUbQnnHKZop1ZP5K_KmSTMk3sqUqefrw0oDlrwFRk8JOUbj,20240219,高松,8,G3,Ｓ級特選,1,1,戸田　康平,5,3,6,1,2024/02/19 07:04&nbsp;更新
5JBLdC8cyCWI9sEL6PUbQp4I0Gq6_0uKoXuSAWpOFQ5Nj-zmym_rjIBoYvr31GVU,20240219,高松,9,G3,Ｓ級特選,1,1,宮本　佳樹,1,5,5,3,2024/02/19 07:04&nbsp;更新
5JBLdC8cyCWI9sEL6PUbQuoz2QuPdt7ONE8b-AmLTXXwzLG2C_um4LmyY_9WsLIx,20240219,高松,10,G3,Ｓ級準決勝,1,1,宮崎　康司,3,9,1,3,2024/02/19 07:04&nbsp;更新
5JBLdC8cyCWI9sEL6PUbQmZArfRqhs0aqD1qNnLmsTr8eltvzWJdCLfOv_fxLvjs,20240219,高松,11,G3,Ｓ級準決勝,1,1,近藤　誠二,3,2,1,7,2024/02/19 07:04&nbsp;更新
5JBLdC8cyCWI9sEL6PUbQpTeBGtsxRM8GTVInMx-PyjRFNfaUrUzO4Sdpr5jIs6z,20240219,高松,12,G3,Ｓ級準決勝,1,1,宮本　佳樹,1,2,7,8,2024/02/19 07:04&nbsp;更新
