category,grade,kaisai_name,keirin_cd,meeting_icon,pos1_car_no,pos1_decision,pos1_name,pos1_region,pos2_car_no,pos2_decision,pos2_name,pos2_region,pos3_car_no,pos3_decision,pos3_name,pos3_region,quinella,quinella_payout,quinella_popularity,race_date,race_no,track,trifecta,trifecta_payout,trifecta_popularity
Ａ級一般,F1,,24,1,5,差し,山中　崇弘,高　知,1,マーク,小川　将人,愛　知,4,,隅田　幸助,広　島,5-1,180円,(1),20250611,1R,宇都宮,5-1-4,420円,(1)
Ａ級一般,F1,,24,1,2,差し,鮒田　博文,三　重,7,マーク,櫻川　雅彦,千　葉,1,,相樂　修,千　葉,2-7,"3,390円",(18),20250611,2R,宇都宮,2-7-1,"10,380円",(38)
Ａ級特選,F1,,24,1,5,捲り,上川　直紀,栃　木,4,差し,梅山　英樹,群　馬,2,,多田　晃紀,岡　山,5-4,"1,840円",(7),20250611,3R,宇都宮,5-4-2,"8,590円",(28)
Ａ級特選,F1,,24,1,2,逃げ,林　昌幸,愛　媛,1,マーク,高本　和也,神奈川,4,,金野　俊秋,千　葉,2-1,430円,(1),20250611,4R,宇都宮,2-1-4,"1,080円",(1)
Ｓ級一般,F1,,24,1,3,逃げ,金子　幸央,栃　木,2,マーク,村田　瑞季,京　都,5,,佐藤　真一,東　京,3-2,870円,(3),20250611,5R,宇都宮,3-2-5,"2,420円",(6)
Ｓ級一般,F1,,24,1,1,差し,大崎飛雄馬,愛　媛,5,差し,筒井　裕哉,兵　庫,6,,中山　拓人,埼　玉,1-5,"2,370円",(8),20250611,6R,宇都宮,1-5-6,"17,690円",(55)
Ｓ級一般,F1,,24,1,7,差し,横関　裕樹,岐　阜,3,マーク,原　真司,岐　阜,5,,上田　裕和,三　重,7-3,290円,(1),20250611,7R,宇都宮,7-3-5,400円,(1)
Ｓ級特選,F1,,24,1,6,差し,水谷　好宏,大　阪,2,捲り,中釜　章成,大　阪,3,,大森　慶一,北海道,6-2,"1,950円",(10),20250611,8R,宇都宮,6-2-3,"11,640円",(49)
Ｓ級特選,F1,,24,1,1,差し,月森　亮輔,岡　山,7,捲り,島川　将貴,徳　島,6,,桐山敬太郎,神奈川,1-7,890円,(4),20250611,9R,宇都宮,1-7-6,"10,800円",(40)
Ｓ級特選,F1,,24,1,3,差し,中本　匠栄,熊　本,4,マーク,川津　悠揮,北海道,2,,横山　尚則,茨　城,3-4,"1,290円",(6),20250611,10R,宇都宮,3-4-2,"8,490円",(30)
Ａ級決勝,F1,,24,1,2,差し,松岡　孔明,熊　本,1,捲り,川上　隆義,栃　木,3,,稲毛　知也,和歌山,2-1,850円,(3),20250611,11R,宇都宮,2-1-3,"3,480円",(11)
Ｓ級決勝,F1,,24,1,3,差し,佐々木悠葵,群　馬,7,差し,吉澤　純平,茨　城,2,,高橋　築,東　京,3-7,"1,140円",(4),20250611,12R,宇都宮,3-7-2,"4,250円",(15)
Ａ級一般,F1,,53,3,3,捲り,太田　将成,宮　城,5,マーク,小笠原昭太,青　森,1,,戸伏　康夫,岡　山,3-5,790円,(2),20250611,1R,奈良,3-5-1,"1,850円",(6)
Ａ級一般,F1,,53,3,2,捲り,中川　繁樹,京　都,5,マーク,柴田功一郎,神奈川,6,,山本　貴章,岡　山,2-5,"2,330円",(5),20250611,2R,奈良,2-5-6,"68,740円",(68)
Ａ級特選,F1,,53,3,2,逃げ,梅田加津也,神奈川,3,マーク,森川　康輔,岐　阜,7,,宮司　周郎,愛　知,2-3,"3,690円",(13),20250611,3R,奈良,2-3-7,"21,710円",(67)
Ａ級特選,F1,,53,3,2,差し,台　和紀,埼　玉,5,逃げ,宮下　一歩,長　野,6,,望月　紀男,静　岡,2-5,"2,890円",(12),20250611,4R,奈良,2-5-6,"30,850円",(101)
Ｌ級ガールズ一般,F1,,53,3,5,逃げ,伊藤のぞみ,北海道,4,マーク,梶田　舞,埼　玉,2,,田中　月菜,佐　賀,5-4,"1,930円",(7),20250611,5R,奈良,5-4-2,"3,540円",(11)
Ｓ級一般,F1,,53,3,1,差し,小林　令,山　梨,4,逃げ,阿部架惟都,宮　城,6,,友定　祐己,岡　山,1-4,760円,(2),20250611,6R,奈良,1-4-6,"2,840円",(6)
Ｓ級一般,F1,,53,3,3,差し,島村　匠,福　岡,6,マーク,瓜生　崇智,熊　本,1,,金ヶ江勇気,佐　賀,3-6,520円,(2),20250611,7R,奈良,3-6-1,"1,110円",(3)
Ｓ級特選,F1,,53,3,1,捲り,岩津　裕介,岡　山,7,マーク,小酒　大勇,宮　崎,2,,中村　圭志,熊　本,1-7,"2,320円",(9),20250611,8R,奈良,1-7-2,"4,680円",(16)
Ｓ級特選,F1,,53,3,7,差し,志智　俊夫,岐　阜,1,マーク,渡辺　十夢,福　井,4,,田中　大我,奈　良,7-1,"4,490円",(14),20250611,9R,奈良,7-1-4,"16,700円",(52)
Ｌ級ガールズ決勝,F1,,53,3,1,捲り,尾崎　睦,神奈川,2,逃げ,松井　優佳,大　阪,7,,永禮　美瑠,愛　知,1-2,570円,(2),20250611,10R,奈良,1-2-7,"2,390円",(6)
Ａ級決勝,F1,,53,3,2,捲り,小川将二郎,徳　島,6,マーク,作田　悦章,徳　島,3,,徳永　泰粋,熊　本,2-6,"1,900円",(10),20250611,11R,奈良,2-6-3,"6,480円",(23)
Ｓ級決勝,F1,,53,3,1,差し,三谷　将太,奈　良,4,マーク,神田　紘輔,大　阪,7,,黒沢　征治,埼　玉,1-4,"1,090円",(4),20250611,12R,奈良,1-4-7,"4,100円",(9)
Ａ級一般,F1,,61,1,2,差し,夏目　新吾,静　岡,5,マーク,西谷　岳文,京　都,1,,松岡晋乃介,岐　阜,2-5,"2,750円",(10),20250611,1R,玉野,2-5-1,"12,870円",(41)
Ａ級一般,F1,,61,1,4,捲り,小玉　勇一,埼　玉,1,マーク,吉田　彰久,香　川,7,,高田　大輔,岡　山,4-1,260円,(1),20250611,2R,玉野,4-1-7,510円,(1)
Ａ級準決勝,F1,,61,1,2,差し,荒澤　貴史,北海道,7,逃げ,梁島　邦友,茨　城,5,,野村　純宏,神奈川,2-7,250円,(1),20250611,3R,玉野,2-7-5,310円,(1)
Ａ級準決勝,F1,,61,1,1,差し,加倉　正義,福　岡,5,逃げ,山崎　駿哉,岡　山,6,,三木　健治,沖　縄,1-5,650円,(2),20250611,4R,玉野,1-5-6,"2,130円",(6)
