category,grade,kaisai_name,keirin_cd,meeting_icon,pos1_car_no,pos1_decision,pos1_name,pos1_region,pos2_car_no,pos2_decision,pos2_name,pos2_region,pos3_car_no,pos3_decision,pos3_name,pos3_region,quinella,quinella_payout,quinella_popularity,race_date,race_no,track,trifecta,trifecta_payout,trifecta_popularity
Ｓ級選抜,G3,,38,1,7,差し,佐藤　龍二,神奈川,9,逃げ,中島　詩音,山　梨,3,,北野　武史,石　川,7-9,"2,140円",(7),20240202,1R,静岡,7-9-3,"19,900円",(62)
Ｓ級選抜,G3,,38,1,4,捲り,中野　雄喜,京　都,7,差し,平原　啓多,埼　玉,3,,中嶋　宣成,長　野,4-7,"7,730円",(30),20240202,2R,静岡,4-7-3,"26,880円",(100)
Ｓ級選抜,G3,,38,1,2,差し,田尾　駿介,高　知,4,捲り,山本　修平,東　京,1,,萩原　孝之,静　岡,2-4,"5,760円",(25),20240202,3R,静岡,2-4-1,"20,480円",(78)
Ｓ級選抜,G3,,38,1,3,差し,海老根恵太,千　葉,2,捲り,立部　楓真,佐　賀,1,,開坂　秀明,青　森,3-2,"3,300円",(11),20240202,4R,静岡,3-2-1,"32,600円",(108)
Ｓ級選抜,G3,,38,1,9,逃げ,日高　裕太,静　岡,2,マーク,田中　晴基,千　葉,5,,松岡　孔明,熊　本,9-2,640円,(2),20240202,5R,静岡,9-2-5,"4,010円",(8)
Ｓ級二次予選,G3,,38,1,1,捲り,小林　泰正,群　馬,4,差し,藤井　栄二,兵　庫,3,,山田　諒,岐　阜,1-4,"18,220円",(32),20240202,6R,静岡,1-4-3,"209,440円",(243)
Ｓ級二次予選,G3,,38,1,3,捲り,寺崎　浩平,福　井,5,マーク,中井　太祐,奈　良,8,,高橋　広大,埼　玉,3-5,380円,(1),20240202,7R,静岡,3-5-8,"13,630円",(46)
Ｓ級二次予選,G3,,38,1,1,逃げ,松井　宏佑,神奈川,5,マーク,簗田　一輝,静　岡,4,,川津　悠揮,北海道,1-5,240円,(1),20240202,8R,静岡,1-5-4,"1,040円",(2)
Ｓ級二次予選,G3,,38,1,7,捲り,郡司　浩平,神奈川,2,マーク,岡村　潤,静　岡,9,,佐藤　壮,千　葉,7-2,140円,(1),20240202,9R,静岡,7-2-9,330円,(1)
Ｓ級二次予選,G3,,38,1,7,差し,高橋　晋也,福　島,1,マーク,佐藤慎太郎,福　島,2,,渡邉　雅也,静　岡,7-1,980円,(2),20240202,10R,静岡,7-1-2,"5,200円",(13)
Ｓ級二次予選,G3,,38,1,2,捲り,清水　裕友,山　口,1,差し,南　潤,和歌山,9,,大石　崇晴,大　阪,2-1,860円,(4),20240202,11R,静岡,2-1-9,"2,310円",(4)
Ｓ級二次予選,G3,,38,1,1,差し,深谷　知広,静　岡,7,差し,佐々木堅次,福　島,9,,渡邉　雄太,静　岡,1-7,"2,460円",(7),20240202,12R,静岡,1-7-9,"6,350円",(15)
Ａ級予選,F1,,13,3,2,差し,鈴木　達也,福　島,6,捲り,大森　光明,北海道,1,,高木　竜司,熊　本,2-6,"3,970円",(10),20240202,1R,いわき平,2-6-1,"8,770円",(19)
Ａ級予選,F1,,13,3,4,差し,都築　巧,高　知,5,差し,西本　直大,大　阪,1,,近藤　修康,岡　山,4-5,"1,020円",(4),20240202,2R,いわき平,4-5-1,"1,740円",(4)
Ａ級予選,F1,,13,3,7,差し,布居　大地,和歌山,2,捲り,高橋　大輝,秋　田,4,,松永　真太,福　岡,7-2,"2,920円",(8),20240202,3R,いわき平,7-2-4,"22,000円",(54)
Ａ級予選,F1,,13,3,4,差し,大矢　将大,埼　玉,3,捲り,竹元　健竜,福　岡,7,,江本　博明,千　葉,4-3,"2,950円",(6),20240202,4R,いわき平,4-3-7,"10,930円",(25)
Ａ級初日特選,F1,,13,3,4,差し,佐々木省司,青　森,3,差し,城　幸弘,山　梨,1,,廣川　泰昭,愛　媛,4-3,"6,860円",(29),20240202,5R,いわき平,4-3-1,"63,280円",(181)
Ｓ級予選,F1,,13,3,5,捲り,堀江　省吾,長　野,3,捲り,兼本　将太,熊　本,4,,牧　剛央,大　分,5-3,"1,390円",(6),20240202,6R,いわき平,5-3-4,"5,160円",(18)
Ｓ級予選,F1,,13,3,4,捲り,晝田宗一郎,岡　山,5,差し,松坂　洋平,神奈川,1,,格清　洋介,静　岡,4-5,"1,010円",(6),20240202,7R,いわき平,4-5-1,"3,670円",(15)
Ｓ級予選,F1,,13,3,4,捲り,磯島　成介,青　森,3,差し,不破　将登,岐　阜,7,,橋本　優己,岐　阜,4-3,"5,210円",(18),20240202,8R,いわき平,4-3-7,"13,230円",(40)
Ｓ級予選,F1,,13,3,7,差し,島田　竜二,熊　本,4,捲り,岩谷　拓磨,福　岡,3,,大野　悟郎,大　分,7-4,360円,(2),20240202,9R,いわき平,7-4-3,760円,(3)
Ｓ級予選,F1,,13,3,2,差し,金子　幸央,栃　木,5,マーク,鈴木　竜士,東　京,7,,藤原　誠,岐　阜,2-5,610円,(3),20240202,10R,いわき平,2-5-7,"9,420円",(17)
Ｓ級予選,F1,,13,3,1,差し,渡邉　一成,福　島,5,逃げ,酒井　雄多,福　島,7,,鹿内　翔,青　森,1-5,150円,(1),20240202,11R,いわき平,1-5-7,240円,(1)
Ｓ級初日特選,F1,,13,3,6,差し,河野　通孝,茨　城,2,逃げ,吉田　有希,茨　城,4,,佐々木　龍,神奈川,6-2,530円,(1),20240202,12R,いわき平,6-2-4,"3,240円",(5)
Ａ級一般,F1,,73,1,2,捲り,大槇　大介,岡　山,7,差し,濱口　健二,高　知,6,,石貞　有基,兵　庫,2-7,"1,730円",(5),20240202,1R,小松島,2-7-6,"16,060円",(39)
Ａ級一般,F1,,73,1,1,逃げ,近藤　雄太,岡　山,3,差し,山本　宏明,徳　島,5,,山本　貴章,岡　山,1-3,"4,530円",(15),20240202,2R,小松島,1-3-5,"7,650円",(28)
Ａ級準決勝,F1,,73,1,6,差し,野崎　将史,岡　山,1,差し,徳田　匠,京　都,7,,福田　要,宮　崎,6-1,"10,290円",(20),20240202,3R,小松島,6-1-7,"60,990円",(106)
Ａ級準決勝,F1,,73,1,3,捲り,本郷　雄三,熊　本,4,逃げ,浮島　知稀,群　馬,1,,春日　勇人,千　葉,3-4,"1,340円",(5),20240202,4R,小松島,3-4-1,"2,720円",(9)
Ａ級準決勝,F1,,73,1,1,逃げ,室井蓮太朗,徳　島,3,差し,堀　政美,茨　城,4,,小林　申太,茨　城,1-3,550円,(2),20240202,5R,小松島,1-3-4,"1,350円",(3)
Ｓ級一般,F1,,73,1,2,差し,桑原　亮,福　岡,3,逃げ,宗崎　世連,高　知,4,,阿部　拓真,宮　城,2-3,"1,530円",(5),20240202,6R,小松島,2-3-4,"6,940円",(27)
Ｓ級一般,F1,,73,1,2,差し,櫻井　学,群　馬,1,逃げ,田村　大,宮　崎,3,,近藤　夏樹,千　葉,2-1,"3,010円",(12),20240202,7R,小松島,2-1-3,"15,290円",(61)
Ｓ級選抜,F1,,73,1,7,差し,石毛　克幸,千　葉,2,差し,岡田　泰地,栃　木,1,,川口　聖二,岐　阜,7-2,"6,590円",(17),20240202,8R,小松島,7-2-1,"13,540円",(33)
Ｓ級選抜,F1,,73,1,2,差し,木村　直隆,兵　庫,1,逃げ,畝木　努,岡　山,5,,堤　洋,徳　島,2-1,"9,190円",(28),20240202,9R,小松島,2-1-5,"25,220円",(88)
Ｓ級準決勝,F1,,73,1,7,差し,宿口　陽一,埼　玉,5,逃げ,森田　優弥,埼　玉,2,,佐藤　友和,岩　手,7-5,210円,(1),20240202,10R,小松島,7-5-2,990円,(3)
Ｓ級準決勝,F1,,73,1,5,捲り,林　慶次郎,福　岡,4,差し,和田健太郎,千　葉,1,,坂本健太郎,福　岡,5-4,"6,110円",(11),20240202,11R,小松島,5-4-1,"18,050円",(32)
Ｓ級準決勝,F1,,73,1,3,逃げ,藤井　侑吾,愛　知,1,捲り,小川真太郎,徳　島,5,,柏野　智典,岡　山,3-1,350円,(1),20240202,12R,小松島,3-1-5,550円,(1)
Ａ級一般,F1,,81,3,4,差し,土屋　仁,茨　城,3,逃げ,小玉　勇一,埼　玉,6,,煤賀　隆幸,秋　田,4-3,700円,(3),20240202,1R,小倉,4-3-6,"1,460円",(4)
Ａ級一般,F1,,81,3,7,差し,三ッ井　武,神奈川,5,逃げ,井上　公利,宮　城,3,,原岡泰志郎,千　葉,7-5,490円,(2),20240202,2R,小倉,7-5-3,"1,430円",(3)
Ａ級特選,F1,,81,3,2,差し,島野　浩司,愛　知,4,マーク,宮本　佳樹,香　川,7,,吉堂　将規,奈　良,2-4,"7,140円",(23),20240202,3R,小倉,2-4-7,"17,590円",(50)
Ａ級特選,F1,,81,3,5,差し,利根　正明,大　分,2,マーク,小野　俊之,大　分,3,,吉良　勝信,福　岡,5-2,220円,(1),20240202,4R,小倉,5-2-3,490円,(1)
Ｌ級ガールズ一般,F1,,81,3,5,捲り,中村　美那,神奈川,4,逃げ,高橋　朋恵,東　京,2,,吉村美有紀,静　岡,5-4,500円,(2),20240202,5R,小倉,5-4-2,"2,070円",(5)
Ｓ級一般,F1,,81,3,4,差し,松尾　勇吾,熊　本,3,マーク,山口　泰生,岐　阜,6,,蓮井　祐輝,香　川,4-3,560円,(2),20240202,6R,小倉,4-3-6,"1,640円",(3)
Ｓ級一般,F1,,81,3,1,捲り,金ヶ江勇気,佐　賀,5,マーク,佐々木翔一,佐　賀,4,,花田　将司,千　葉,1-5,200円,(1),20240202,7R,小倉,1-5-4,480円,(1)
Ｓ級特選,F1,,81,3,4,差し,田中　誠,福　岡,2,逃げ,佐伯　亮輔,岡　山,6,,加倉　正義,福　岡,4-2,430円,(1),20240202,8R,小倉,4-2-6,"1,230円",(1)
Ｓ級特選,F1,,81,3,3,捲り,貴志　修己,和歌山,5,マーク,元砂　勇雪,奈　良,1,,山本　奨,岡　山,3-5,330円,(1),20240202,9R,小倉,3-5-1,650円,(1)
