category,grade,kaisai_name,keirin_cd,meeting_icon,pos1_car_no,pos1_decision,pos1_name,pos1_region,pos2_car_no,pos2_decision,pos2_name,pos2_region,pos3_car_no,pos3_decision,pos3_name,pos3_region,quinella,quinella_payout,quinella_popularity,race_date,race_no,track,trifecta,trifecta_payout,trifecta_popularity
Ｓ級一般,G3,,11,3,5,差し,武井　大介,千　葉,2,逃げ,鈴木　浩太,千　葉,1,,脇本　勇希,福　井,5-2,"1,200円",(3),20240519,1R,函館,5-2-1,"4,750円",(9)
Ｓ級一般,G3,,11,3,5,差し,不破　将登,岐　阜,1,逃げ,竹内　雄作,岐　阜,7,,前反祐一郎,広　島,5-1,480円,(1),20240519,2R,函館,5-1-7,"1,460円",(1)
Ｓ級一般,G3,,11,3,1,差し,山田　敦也,北海道,9,逃げ,坂本　紘規,青　森,5,,平沼　由充,福　島,1-9,540円,(2),20240519,3R,函館,1-9-5,"1,250円",(2)
Ｓ級選抜,G3,,11,3,2,差し,大矢　崇弘,東　京,5,捲り,佐伯　亮輔,岡　山,7,,小沼　良,埼　玉,2-5,"2,560円",(11),20240519,4R,函館,2-5-7,"13,080円",(45)
Ｓ級選抜,G3,,11,3,2,差し,荻原　尚人,宮　城,7,捲り,堀内　俊介,神奈川,6,,庄子　信弘,宮　城,2-7,"1,040円",(3),20240519,5R,函館,2-7-6,"2,390円",(1)
Ｓ級選抜,G3,,11,3,7,差し,大坪　功一,福　岡,6,マーク,高津　晃治,岡　山,3,,田村　大,宮　崎,7-6,"3,330円",(16),20240519,6R,函館,7-6-3,"11,240円",(38)
Ｓ級特選,G3,,11,3,2,捲り,高橋　晋也,福　島,5,マーク,守澤　太志,秋　田,9,,菊池　岳仁,長　野,2-5,"1,130円",(2),20240519,7R,函館,2-5-9,"5,010円",(13)
Ｓ級特選,G3,,11,3,1,捲り,新山　響平,青　森,9,マーク,永澤　剛,青　森,7,,久米　康平,徳　島,1-9,240円,(1),20240519,8R,函館,1-9-7,"1,510円",(3)
Ｓ級特選,G3,,11,3,7,逃げ,眞杉　匠,栃　木,1,マーク,高橋　築,東　京,9,,山田　久徳,京　都,7-1,250円,(1),20240519,9R,函館,7-1-9,650円,(1)
Ｓ級特別優秀,G3,,11,3,7,差し,渡部　幸訓,福　島,2,捲り,小林　泰正,群　馬,1,,木村　隆弘,徳　島,7-2,490円,(2),20240519,10R,函館,7-2-1,"3,430円",(9)
Ｓ級特別優秀,G3,,11,3,9,差し,佐藤　礼文,茨　城,1,逃げ,山口　拳矢,岐　阜,2,,和田真久留,神奈川,9-1,"1,540円",(6),20240519,11R,函館,9-1-2,"5,680円",(15)
Ｓ級決勝,G3,,11,3,9,差し,古性　優作,大　阪,2,逃げ,松井　宏佑,神奈川,7,,東口　善朋,和歌山,9-2,"3,570円",(12),20240519,12R,函館,9-2-7,"31,500円",(86)
Ａ級一般,F1,,36,1,4,差し,坂本　毅,岩　手,1,捲り,荻原　寿嗣,北海道,6,,薮　謙治,京　都,4-1,"4,120円",(13),20240519,1R,小田原,4-1-6,"41,280円",(93)
Ａ級一般,F1,,36,1,7,逃げ,勝俣　亮,神奈川,1,マーク,亀谷　隆一,神奈川,5,,根本　雄紀,茨　城,7-1,350円,(1),20240519,2R,小田原,7-1-5,"2,790円",(5)
Ａ級準決勝,F1,,36,1,1,逃げ,末廣　快理,兵　庫,3,マーク,五十嵐　力,神奈川,4,,栗田　雄矢,静　岡,1-3,380円,(2),20240519,3R,小田原,1-3-4,640円,(2)
