category,grade,kaisai_name,keirin_cd,meeting_icon,pos1_car_no,pos1_decision,pos1_name,pos1_region,pos2_car_no,pos2_decision,pos2_name,pos2_region,pos3_car_no,pos3_decision,pos3_name,pos3_region,quinella,quinella_payout,quinella_popularity,race_date,race_no,track,trifecta,trifecta_payout,trifecta_popularity
Ａ級一般,F1,,35,1,5,捲り,高山　雄丞,愛　媛,4,マーク,水木　裕聡,高　知,3,,南儀　拓海,富　山,5-4,"1,520円",(4),20240131,1R,平塚,5-4-3,"7,470円",(19)
Ａ級一般,F1,,35,1,7,差し,中澤　央治,大　阪,4,捲り,川田　忍,神奈川,6,,興呂木雄治,熊　本,7-4,510円,(2),20240131,2R,平塚,7-4-6,"4,440円",(9)
Ａ級特選,F1,,35,1,4,差し,伊藤　彰規,神奈川,6,マーク,上野　真吾,神奈川,1,,日当　泰之,青　森,4-6,"1,540円",(5),20240131,3R,平塚,4-6-1,"2,820円",(6)
Ａ級特選,F1,,35,1,3,差し,立花　成泰,岡　山,7,捲り,甲斐　俊祐,大　分,5,,二條　祐也,徳　島,3-7,450円,(2),20240131,4R,平塚,3-7-5,720円,(2)
Ｓ級一般,F1,,35,1,3,捲り,角　令央奈,福　岡,6,マーク,池田　浩士,佐　賀,1,,桐山敬太郎,神奈川,3-6,"4,820円",(14),20240131,5R,平塚,3-6-1,"28,810円",(70)
Ｓ級一般,F1,,35,1,3,捲り,小川　丈太,徳　島,4,マーク,山中　貴雄,高　知,1,,藤原　憲征,新　潟,3-4,360円,(1),20240131,6R,平塚,3-4-1,"2,590円",(7)
Ｓ級一般,F1,,35,1,7,差し,関　貴之,茨　城,2,捲り,鈴木　輝大,東　京,3,,佐藤愼太郎,福　島,7-2,920円,(3),20240131,7R,平塚,7-2-3,"4,040円",(10)
Ｓ級特選,F1,,35,1,1,差し,石塚　孝幸,神奈川,7,逃げ,齋木　翔多,静　岡,6,,山田　敦也,北海道,1-7,"1,950円",(5),20240131,8R,平塚,1-7-6,"5,230円",(15)
Ｓ級特選,F1,,35,1,5,逃げ,山口　多聞,埼　玉,7,マーク,成田　和也,福　島,4,,高橋　和也,愛　知,5-7,930円,(3),20240131,9R,平塚,5-7-4,"8,900円",(24)
Ｓ級特選,F1,,35,1,2,捲り,坂井　洋,栃　木,4,マーク,横山　尚則,茨　城,1,,上田　尭弥,熊　本,2-4,180円,(1),20240131,10R,平塚,2-4-1,700円,(2)
Ａ級決勝,F1,,35,1,3,捲り,疋田　力也,愛　知,4,逃げ,山本　浩成,福　岡,5,,猪俣　康一,神奈川,3-4,"3,830円",(14),20240131,11R,平塚,3-4-5,"13,070円",(46)
Ｓ級決勝,F1,,35,1,1,逃げ,北井　佑季,神奈川,3,マーク,東口　善朋,和歌山,5,,松本　貴治,愛　媛,1-3,450円,(2),20240131,12R,平塚,1-3-5,"2,140円",(4)
Ａ級予選,F1,,81,3,4,逃げ,利根　正明,大　分,5,差し,吉良　勝信,福　岡,1,,小野　俊之,大　分,4-5,"3,680円",(10),20240131,1R,小倉,4-5-1,"5,980円",(22)
Ａ級予選,F1,,81,3,2,差し,山口　龍也,長　崎,6,逃げ,池田伍功羽,熊　本,3,,木村　浩宣,香　川,2-6,650円,(2),20240131,2R,小倉,2-6-3,"2,730円",(6)
Ａ級予選,F1,,81,3,4,捲り,石坂　永伍,岡　山,3,差し,三ッ井　武,神奈川,5,,小玉　勇一,埼　玉,4-3,"8,340円",(15),20240131,3R,小倉,4-3-5,"15,760円",(28)
Ａ級予選,F1,,81,3,7,逃げ,青木　瑞樹,岡　山,5,差し,島野　浩司,愛　知,3,,村瀬　大和,岐　阜,7-5,600円,(2),20240131,4R,小倉,7-5-3,"1,720円",(6)
Ａ級初日特選,F1,,81,3,7,差し,原井　博斗,福　岡,2,逃げ,城戸　俊潔,岡　山,5,,五十嵐　綾,福　島,7-2,670円,(2),20240131,5R,小倉,7-2-5,"1,750円",(3)
Ｌ級ガールズ予選（第１走）,F1,,81,3,6,捲り,野本　怜菜,埼　玉,7,逃げ,佐藤　友香,青　森,4,,枝光　美奈,福　岡,6-7,"1,260円",(4),20240131,6R,小倉,6-7-4,"12,780円",(27)
Ｌ級ガールズ予選（第１走）,F1,,81,3,7,逃げ,小林　優香,福　岡,1,マーク,高橋　朋恵,東　京,4,,中村　美那,神奈川,7-1,180円,(1),20240131,7R,小倉,7-1-4,550円,(1)
Ｓ級予選,F1,,81,3,2,差し,松尾　勇吾,熊　本,4,捲り,金ヶ江勇気,佐　賀,7,,森安　崇之,香　川,2-4,930円,(5),20240131,8R,小倉,2-4-7,"14,580円",(41)
Ｓ級予選,F1,,81,3,4,逃げ,貴志　修己,和歌山,2,マーク,磯島　康祐,青　森,3,,松坂　英司,神奈川,4-2,"5,280円",(15),20240131,9R,小倉,4-2-3,"74,270円",(118)
Ｓ級予選,F1,,81,3,3,差し,元砂　勇雪,奈　良,7,差し,中川　貴徳,栃　木,2,,堀内　俊介,神奈川,3-7,"3,730円",(11),20240131,10R,小倉,3-7-2,"8,670円",(27)
Ｓ級予選,F1,,81,3,1,差し,田中　誠,福　岡,5,捲り,阿部　将大,大　分,2,,紺野　哲也,宮　城,1-5,180円,(1),20240131,11R,小倉,1-5-2,"1,240円",(3)
Ｓ級初日特選,F1,,81,3,3,差し,佐藤　一伸,福　島,5,逃げ,根田　空史,千　葉,7,,阿部　力也,宮　城,3-5,420円,(1),20240131,12R,小倉,3-5-7,690円,(1)
Ａ級特予選,F2,,22,5,1,差し,浦川　尊明,茨　城,2,差し,尾崎　悠生,埼　玉,3,,坂木田雄介,千　葉,1-2,200円,(1),20240131,1R,前橋,1-2-3,"1,670円",(4)
Ａ級特予選,F2,,22,5,3,差し,柴田功一郎,神奈川,4,マーク,中川　拓也,群　馬,1,,志佐　明,神奈川,3-4,"3,760円",(12),20240131,2R,前橋,3-4-1,"9,340円",(32)
Ａ級特予選,F2,,22,5,1,逃げ,三浦　翔大,宮　城,2,マーク,寺林　正秋,宮　城,4,,杉浦　康一,北海道,1-2,130円,(1),20240131,3R,前橋,1-2-4,230円,(1)
Ａ級特予選,F2,,22,5,2,差し,梅山　英樹,群　馬,1,逃げ,菅谷　隆司,東　京,6,,根本　雄紀,茨　城,2-1,230円,(2),20240131,4R,前橋,2-1-6,"2,400円",(5)
Ａ級初日特選,F2,,22,5,6,捲り,前川　大輔,福　島,3,差し,高橋　昇平,埼　玉,4,,藤田　周磨,埼　玉,6-3,"4,140円",(15),20240131,5R,前橋,6-3-4,"9,600円",(25)
Ｌ級ガールズ予選１Ｂ,F2,,22,5,1,逃げ,細田　愛未,埼　玉,3,逃げ,田中　まい,千　葉,2,,山口　伊吹,長　崎,1-3,290円,(2),20240131,6R,前橋,1-3-2,690円,(2)
Ｌ級ガールズ予選１Ｂ,F2,,22,5,3,逃げ,畠山ひすい,北海道,2,マーク,元砂七夕美,奈　良,1,,尾崎　睦,神奈川,3-2,"4,140円",(9),20240131,7R,前橋,3-2-1,"8,030円",(20)
Ｌ級ガールズ予選１Ａ,F2,,22,5,2,捲り,藤田まりあ,埼　玉,1,マーク,太田　瑛美,三　重,3,,蛯原　杏奈,北海道,2-1,240円,(1),20240131,8R,前橋,2-1-3,650円,(2)
Ｌ級ガールズ予選１Ａ,F2,,22,5,1,捲り,吉川　美穂,和歌山,3,逃げ,河内　桜雪,群　馬,2,,廣木　まこ,福　岡,1-3,370円,(2),20240131,9R,前橋,1-3-2,590円,(2)
Ａ級チャレンジ予選,F2,,47,5,3,捲り,片山　直人,福　岡,6,差し,辻本　兼市,兵　庫,1,,高田　大輔,徳　島,3-6,"5,670円",(18),20240131,1R,松阪,3-6-1,"15,750円",(56)
Ａ級チャレンジ予選,F2,,47,5,2,逃げ,村上　翔馬,兵　庫,3,差し,齋藤　仁,徳　島,1,,倉松　涼,高　知,2-3,760円,(3),20240131,2R,松阪,2-3-1,"1,320円",(5)
Ａ級チャレンジ予選,F2,,47,5,1,逃げ,佐藤　壮志,熊　本,2,マーク,船倉　卓郎,長　崎,5,,岡田　大門,愛　知,1-2,120円,(1),20240131,3R,松阪,1-2-5,890円,(3)
Ａ級チャレンジ予選,F2,,47,5,2,逃げ,尾方　祐仁,岐　阜,1,マーク,岩見　潤,三　重,6,,滝川　秀嗣,愛　知,2-1,120円,(1),20240131,4R,松阪,2-1-6,190円,(1)
Ａ級特予選,F2,,47,5,3,逃げ,一ノ瀬　匠,佐　賀,6,マーク,山崎　岳志,佐　賀,2,,布居　寛幸,和歌山,3-6,680円,(3),20240131,5R,松阪,3-6-2,"4,380円",(13)
Ａ級特予選,F2,,47,5,4,差し,前田　義和,鹿児島,1,差し,菊谷　信一,大　阪,5,,徳吉　広紀,福　岡,4-1,"1,170円",(5),20240131,6R,松阪,4-1-5,"4,570円",(18)
Ａ級特予選,F2,,47,5,1,差し,山崎　泰己,岡　山,2,捲り,和泉　尚吾,愛　媛,7,,内村　竜也,山　口,1-2,180円,(1),20240131,7R,松阪,1-2-7,740円,(3)
Ａ級特予選,F2,,47,5,1,差し,徳丸　泰教,兵　庫,2,捲り,原田　翔真,和歌山,5,,穴井　利久,福　岡,1-2,240円,(1),20240131,8R,松阪,1-2-5,"4,700円",(16)
Ａ級初日特選,F2,,47,5,3,差し,桶谷　明誉,広　島,5,マーク,富　弥昭,山　口,1,,中村　一将,兵　庫,3-5,"1,500円",(4),20240131,9R,松阪,3-5-1,"2,790円",(5)
Ａ級チャレンジ一般,F2,,56,1,1,差し,小林　寛弥,静　岡,4,逃げ,布居　翼,和歌山,2,,大川　栄二,和歌山,1-4,"1,140円",(5),20240131,1R,岸和田,1-4-2,"2,220円",(7)
Ａ級チャレンジ一般,F2,,56,1,3,差し,花村　直人,三　重,5,捲り,國井　裕樹,神奈川,4,,廣川　貞治,東　京,3-5,670円,(3),20240131,2R,岸和田,3-5-4,"4,240円",(16)
Ａ級チャレンジ選抜,F2,,56,1,3,捲り,井坂　泰誓,大　阪,4,マーク,黒木　誠一,兵　庫,1,,山中　貴雄,愛　知,3-4,430円,(1),20240131,3R,岸和田,3-4-1,790円,(2)
Ａ級チャレンジ選抜,F2,,56,1,3,捲り,鈴木　裕斗,宮　城,7,マーク,阿部　晃,宮　城,1,,小出　慎也,和歌山,3-7,"4,560円",(10),20240131,4R,岸和田,3-7-1,"17,050円",(33)
Ａ級チャレンジ決勝,F2,,56,1,2,捲り,吉田　晏生,埼　玉,5,マーク,早川　成矢,埼　玉,3,,池邉　聖,神奈川,2-5,710円,(2),20240131,5R,岸和田,2-5-3,"2,940円",(3)
Ｌ級ガールズ一般,F2,,56,1,6,捲り,永塚　祐子,神奈川,2,マーク,三宅　玲奈,岡　山,7,,藤巻絵里佳,福　島,6-2,310円,(1),20240131,6R,岸和田,6-2-7,900円,(2)
Ｌ級ガールズ決勝,F2,,56,1,2,捲り,坂口　楓華,愛　知,3,マーク,松本　詩乃,東　京,4,,村田　奈穂,熊　本,2-3,300円,(2),20240131,7R,岸和田,2-3-4,"1,340円",(4)
Ａ級特一般,F2,,56,1,6,捲り,亀井　雅斗,群　馬,7,逃げ,小坂　丈,茨　城,3,,関戸　努,宮　城,6-7,"4,770円",(11),20240131,8R,岸和田,6-7-3,"62,410円",(83)
Ａ級特一般,F2,,56,1,3,差し,平石　浩之,茨　城,6,逃げ,伊早坂駿一,茨　城,5,,塚本　和宏,栃　木,3-6,"2,910円",(10),20240131,9R,岸和田,3-6-5,"4,710円",(9)
Ａ級特選,F2,,56,1,2,差し,植原　琢也,埼　玉,4,捲り,辰己　豊,奈　良,1,,前田　拓也,大　阪,2-4,"1,660円",(8),20240131,10R,岸和田,2-4-1,"6,110円",(19)
Ａ級特選,F2,,56,1,7,差し,佐藤　成人,奈　良,3,差し,藤田　大輔,千　葉,4,,小林　卓人,大　阪,7-3,"1,710円",(7),20240131,11R,岸和田,7-3-4,"5,730円",(14)
Ａ級決勝,F2,,56,1,3,差し,菅原　裕太,静　岡,2,逃げ,高橋　成英,愛　知,6,,山田　晃久,石　川,3-2,"1,770円",(7),20240131,12R,岸和田,3-2-6,"19,080円",(63)
Ａ級チャレンジ一般,F2,,86,8,6,差し,石田　岳彦,岩　手,1,捲り,武藤　貴志,千　葉,7,,郷坪　和博,神奈川,6-1,"6,480円",(28),20240131,1R,別府,6-1-7,"21,860円",(96)
Ａ級チャレンジ一般,F2,,86,8,4,差し,藤田　和彦,神奈川,2,捲り,伊藤　之人,東　京,5,,黒瀬　浩一,静　岡,4-2,520円,(2),20240131,2R,別府,4-2-5,"1,070円",(2)
Ａ級チャレンジ選抜,F2,,86,8,1,差し,鈴木　孝征,埼　玉,3,差し,内海　雅夫,群　馬,7,,浦山　一栄,東　京,1-3,"2,880円",(10),20240131,3R,別府,1-3-7,"12,090円",(42)
Ａ級チャレンジ選抜,F2,,86,8,7,逃げ,石川　航大,宮　崎,1,マーク,望月　紀男,静　岡,3,,脇田　良雄,広　島,7-1,160円,(1),20240131,4R,別府,7-1-3,"1,540円",(4)
