category,grade,kaisai_name,keirin_cd,meeting_icon,pos1_car_no,pos1_decision,pos1_name,pos1_region,pos2_car_no,pos2_decision,pos2_name,pos2_region,pos3_car_no,pos3_decision,pos3_name,pos3_region,quinella,quinella_payout,quinella_popularity,race_date,race_no,track,trifecta,trifecta_payout,trifecta_popularity
Ｓ級一般,G3,,75,1,7,差し,薦田　将伍,愛　媛,6,マーク,吉永　好宏,広　島,2,,高市　訓但,愛　媛,7-6,"24,100円",(56),20240309,1R,松山,7-6-2,"111,600円",(272)
Ｓ級一般,G3,,75,1,9,差し,坂口　晃輔,三　重,2,マーク,藤田　昌宏,岡　山,5,,林　敬宏,愛　知,9-2,930円,(2),20240309,2R,松山,9-2-5,"7,460円",(24)
Ｓ級一般,G3,,75,1,1,差し,山中　貴雄,高　知,5,差し,棚橋　勉,岡　山,4,,梁島　邦友,茨　城,1-5,"4,330円",(13),20240309,3R,松山,1-5-4,"70,730円",(215)
Ｓ級選抜,G3,,75,1,1,差し,鈴木　竜士,東　京,7,逃げ,山口　多聞,埼　玉,9,,瓜生　崇智,熊　本,1-7,360円,(1),20240309,4R,松山,1-7-9,970円,(1)
Ｓ級選抜,G3,,75,1,2,捲り,渡口　勝成,山　口,7,差し,保科　千春,宮　城,6,,小池　千啓,栃　木,2-7,"1,930円",(7),20240309,5R,松山,2-7-6,"65,390円",(165)
Ｓ級選抜,G3,,75,1,5,捲り,佐々木　豪,愛　媛,3,差し,藤田　勝也,和歌山,1,,田尾　駿介,高　知,5-3,640円,(2),20240309,6R,松山,5-3-1,"1,690円",(5)
Ｓ級特選,G3,,75,1,3,捲り,久田　裕也,徳　島,6,マーク,吉田　智哉,愛　媛,9,,大槻　寛徳,宮　城,3-6,"1,140円",(3),20240309,7R,松山,3-6-9,"3,360円",(4)
Ｓ級特選,G3,,75,1,1,捲り,坂井　洋,栃　木,4,差し,上野　優太,熊　本,9,,河端　朋之,岡　山,1-4,"1,560円",(5),20240309,8R,松山,1-4-9,"8,160円",(25)
Ｓ級特選,G3,,75,1,2,捲り,犬伏　湧也,徳　島,9,差し,磯島　成介,青　森,5,,山下　一輝,山　口,2-9,"1,130円",(4),20240309,9R,松山,2-9-5,"5,100円",(14)
Ｓ級準決勝,G3,,75,1,3,捲り,深谷　知広,静　岡,9,マーク,和田健太郎,千　葉,7,,和田　圭,宮　城,3-9,620円,(2),20240309,10R,松山,3-9-7,"3,720円",(12)
Ｓ級準決勝,G3,,75,1,9,差し,松本　貴治,愛　媛,1,逃げ,北井　佑季,神奈川,4,,橋本　強,愛　媛,9-1,440円,(1),20240309,11R,松山,9-1-4,"1,030円",(1)
Ｓ級準決勝,G3,,75,1,5,捲り,古性　優作,大　阪,9,差し,小原　太樹,神奈川,2,,和田真久留,神奈川,5-9,"2,900円",(10),20240309,12R,松山,5-9-2,"8,690円",(28)
Ａ級一般,F1,,28,1,7,捲り,田頭　寛之,千　葉,3,差し,十文字菊雄,福　島,1,,佐藤　明,静　岡,7-3,590円,(2),20240309,1R,立川,7-3-1,"1,090円",(2)
Ａ級一般,F1,,28,1,7,逃げ,山崎　駿哉,岡　山,1,マーク,藤田　洋平,徳　島,3,,緒方　剛,埼　玉,7-1,270円,(1),20240309,2R,立川,7-1-3,"3,850円",(11)
Ａ級準決勝,F1,,28,1,2,捲り,永井　哉多,東　京,3,逃げ,板崎　佑矢,愛　媛,5,,室井　竜二,徳　島,2-3,"2,970円",(12),20240309,3R,立川,2-3-5,"6,880円",(25)
Ａ級準決勝,F1,,28,1,3,捲り,馬場　和広,埼　玉,7,差し,藤原　浩,高　知,6,,西巻　秀太,新　潟,3-7,"5,220円",(19),20240309,4R,立川,3-7-6,"44,260円",(102)
Ａ級準決勝,F1,,28,1,5,捲り,小原　唯志,茨　城,1,マーク,寺沼　将彦,東　京,3,,土井　勲,岡　山,5-1,560円,(2),20240309,5R,立川,5-1-3,"1,800円",(5)
Ｓ級一般,F1,,28,1,3,逃げ,太田　竜馬,徳　島,2,差し,阿部　拓真,宮　城,1,,栗本　尚宗,千　葉,3-2,390円,(2),20240309,6R,立川,3-2-1,"1,330円",(4)
Ｓ級一般,F1,,28,1,4,差し,角　令央奈,福　岡,3,差し,真船圭一郎,福　島,2,,近藤　俊明,神奈川,4-3,"6,580円",(21),20240309,7R,立川,4-3-2,"23,580円",(76)
Ｓ級選抜,F1,,28,1,1,逃げ,畝木　聖,岡　山,5,マーク,山口　貴弘,佐　賀,4,,開坂　秀明,青　森,1-5,390円,(1),20240309,8R,立川,1-5-4,"5,150円",(15)
Ｓ級選抜,F1,,28,1,2,逃げ,木村　弘,青　森,4,マーク,佐藤　康紀,青　森,5,,松川　高大,熊　本,2-4,360円,(1),20240309,9R,立川,2-4-5,"1,560円",(3)
Ｓ級準決勝,F1,,28,1,7,差し,成田　和也,福　島,2,捲り,小松崎大地,福　島,1,,大矢　崇弘,東　京,7-2,270円,(1),20240309,10R,立川,7-2-1,"1,890円",(5)
Ｓ級準決勝,F1,,28,1,3,差し,芦澤　辰弘,茨　城,6,捲り,堀江　省吾,長　野,7,,川越　勇星,神奈川,3-6,740円,(2),20240309,11R,立川,3-6-7,"7,760円",(28)
Ｓ級準決勝,F1,,28,1,4,捲り,松井　宏佑,神奈川,7,マーク,松坂　洋平,神奈川,5,,橋本　瑠偉,栃　木,4-7,230円,(1),20240309,12R,立川,4-7-5,"1,350円",(4)
Ａ級予選,F1,,48,3,4,差し,小林　卓人,大　阪,5,マーク,玉手　翔,兵　庫,1,,高谷　敏史,青　森,4-5,630円,(2),20240309,1R,四日市,4-5-1,"5,350円",(14)
Ａ級予選,F1,,48,3,5,逃げ,井田　晶之,三　重,1,マーク,三浦　稔希,愛　知,7,,田中　誇士,静　岡,5-1,470円,(2),20240309,2R,四日市,5-1-7,"2,910円",(8)
Ａ級予選,F1,,48,3,1,差し,武田　哲二,京　都,4,マーク,川西　亮介,和歌山,6,,川村　昭弘,新　潟,1-4,"2,130円",(9),20240309,3R,四日市,1-4-6,"15,740円",(45)
Ａ級予選,F1,,48,3,1,捲り,下岡　将也,三　重,2,差し,橋本　紀彰,茨　城,7,,大庭　正紀,富　山,1-2,430円,(2),20240309,4R,四日市,1-2-7,"1,270円",(3)
Ａ級初日特選,F1,,48,3,4,逃げ,片折　亮太,埼　玉,1,マーク,桑名　僚也,埼　玉,6,,三澤　康人,宮　城,4-1,320円,(2),20240309,5R,四日市,4-1-6,740円,(2)
Ｓ級予選,F1,,48,3,2,捲り,高橋　和也,愛　知,1,差し,近藤　保,千　葉,4,,柿澤　大貴,長　野,2-1,"1,170円",(5),20240309,6R,四日市,2-1-4,"5,920円",(23)
Ｓ級予選,F1,,48,3,7,差し,阿部　大樹,埼　玉,2,捲り,土生　敦弘,大　阪,3,,小林　潤二,群　馬,7-2,"1,240円",(5),20240309,7R,四日市,7-2-3,"3,180円",(7)
Ｓ級予選,F1,,48,3,2,差し,坂上　樹大,石　川,7,捲り,藤井　栄二,兵　庫,3,,福田　滉,栃　木,2-7,380円,(1),20240309,8R,四日市,2-7-3,"8,970円",(29)
Ｓ級予選,F1,,48,3,7,差し,森川　大輔,岐　阜,1,逃げ,纐纈　洸翔,愛　知,4,,三宅　裕武,三　重,7-1,370円,(2),20240309,9R,四日市,7-1-4,620円,(2)
Ｓ級予選,F1,,48,3,1,差し,武藤　篤弘,埼　玉,7,マーク,磯田　旭,栃　木,4,,河合　佑弥,東　京,1-7,450円,(2),20240309,10R,四日市,1-7-4,680円,(2)
Ｓ級予選,F1,,48,3,7,差し,笠松　信幸,愛　知,2,差し,相澤　政宏,宮　城,3,,鰐淵　圭佑,群　馬,7-2,"1,800円",(5),20240309,11R,四日市,7-2-3,"8,470円",(21)
Ｓ級初日特選,F1,,48,3,2,差し,浅井　康太,三　重,1,捲り,平原　康多,埼　玉,4,,志田　龍星,岐　阜,2-1,560円,(2),20240309,12R,四日市,2-1-4,"2,200円",(6)
Ａ級チャレンジ一般,F2,,26,5,3,差し,亀井　道佳,宮　城,1,マーク,尾崎　勝弘,徳　島,2,,本馬　鎌,福　島,3-1,"1,920円",(6),20240309,1R,西武園,3-1-2,"3,640円",(8)
Ａ級チャレンジ一般,F2,,26,5,3,差し,塚本　諭,福　島,7,マーク,徳永　真一,青　森,5,,小峰　一貴,埼　玉,3-7,"7,350円",(21),20240309,2R,西武園,3-7-5,"82,260円",(117)
Ａ級チャレンジ準決勝,F2,,26,5,1,捲り,鳥海　創,千　葉,2,逃げ,中岡　海,愛　媛,5,,石川　一浩,静　岡,1-2,290円,(2),20240309,3R,西武園,1-2-5,970円,(4)
Ａ級チャレンジ準決勝,F2,,26,5,1,逃げ,吉田　晏生,埼　玉,2,マーク,本田　拓也,新　潟,4,,對馬　太陽,神奈川,1-2,110円,(1),20240309,4R,西武園,1-2-4,170円,(1)
Ａ級特一般,F2,,26,5,3,逃げ,神開　一輝,福　岡,5,マーク,山本　貴章,岡　山,7,,石山　直哉,徳　島,3-5,400円,(1),20240309,5R,西武園,3-5-7,800円,(1)
Ａ級特一般,F2,,26,5,2,逃げ,梅田加津也,神奈川,4,マーク,湯浅　弘光,千　葉,1,,山口　茂,福　島,2-4,350円,(1),20240309,6R,西武園,2-4-1,460円,(1)
Ａ級準決勝,F2,,26,5,2,逃げ,中川　聖大,福　岡,6,マーク,小玉　勇一,埼　玉,4,,山崎　輝夫,埼　玉,2-6,"1,460円",(4),20240309,7R,西武園,2-6-4,"3,870円",(12)
Ａ級準決勝,F2,,26,5,1,差し,吉田　裕全,埼　玉,4,差し,多田　晃紀,岡　山,5,,三ッ井　武,神奈川,1-4,"3,290円",(11),20240309,8R,西武園,1-4-5,"23,130円",(64)
Ａ級準決勝,F2,,26,5,1,捲り,内山　雅貴,静　岡,3,マーク,副島　和人,神奈川,5,,成清謙二郎,千　葉,1-3,310円,(1),20240309,9R,西武園,1-3-5,730円,(1)
Ａ級チャレンジ予選,F2,,36,8,4,差し,吉竹　雄城,千　葉,5,差し,宮澤　晃,山　梨,7,,市川　博章,静　岡,4-5,"13,240円",(22),20240309,1R,小田原,4-5-7,"62,290円",(72)
Ａ級チャレンジ予選,F2,,36,8,2,差し,光畑　政志,岡　山,5,逃げ,野見　泰要,岡　山,1,,高田　誠,福　岡,2-5,220円,(1),20240309,2R,小田原,2-5-1,310円,(1)
Ａ級チャレンジ予選,F2,,36,8,3,捲り,鈴木　康平,静　岡,7,差し,赤松　秀展,高　知,4,,友永　龍介,山　口,3-7,690円,(3),20240309,3R,小田原,3-7-4,"1,440円",(4)
Ａ級チャレンジ予選,F2,,36,8,7,差し,佐川　拓也,福　島,1,捲り,久保　将史,神奈川,3,,和泉田喜一,千　葉,7-1,"4,620円",(13),20240309,4R,小田原,7-1-3,"29,270円",(60)
Ａ級チャレンジ予選,F2,,36,8,3,差し,船倉　卓郎,長　崎,5,逃げ,堀越　翔己,福　岡,4,,前島　恭平,長　野,3-5,430円,(2),20240309,5R,小田原,3-5-4,"1,760円",(6)
Ｌ級ガールズ予選（第１走）,F2,,36,8,6,捲り,山原さくら,高　知,3,逃げ,渡口まりあ,山　口,2,,小坂　知子,岐　阜,6-3,260円,(2),20240309,6R,小田原,6-3-2,470円,(2)
Ｌ級ガールズ予選（第１走）,F2,,36,8,7,逃げ,尾崎　睦,神奈川,1,マーク,篠崎　新純,千　葉,5,,蛯原　杏奈,北海道,7-1,170円,(1),20240309,7R,小田原,7-1-5,310円,(1)
Ａ級チャレンジ一般,F2,,42,1,1,捲り,真崎　章徳,佐　賀,7,差し,眞鍋　伸也,香　川,2,,藤縄　洋介,兵　庫,1-7,"3,010円",(13),20240309,1R,名古屋,1-7-2,"10,540円",(41)
Ａ級チャレンジ一般,F2,,42,1,6,逃げ,千原　洋晋,和歌山,1,マーク,山村　慮太,大　阪,7,,高尾　剛文,福　岡,6-1,330円,(1),20240309,2R,名古屋,6-1-7,"2,190円",(5)
Ａ級チャレンジ準決勝,F2,,42,1,7,逃げ,野上　竜太,岡　山,2,逃げ,野崎　翼,岐　阜,5,,花村　直人,三　重,7-2,970円,(3),20240309,3R,名古屋,7-2-5,"2,970円",(10)
Ａ級チャレンジ準決勝,F2,,42,1,3,捲り,半田　誠,熊　本,7,逃げ,岡崎　陸登,愛　媛,1,,岩見　潤,三　重,3-7,150円,(1),20240309,4R,名古屋,3-7-1,"1,460円",(5)
Ａ級チャレンジ準決勝,F2,,42,1,5,捲り,櫻木　雄太,福　岡,1,捲り,小出　慎也,和歌山,3,,永田　隼一,福　岡,5-1,250円,(2),20240309,5R,名古屋,5-1-3,760円,(3)
Ｌ級ガールズ予選（第２走）,F2,,42,1,4,差し,中野　咲,愛　知,7,捲り,松井　優佳,大　阪,2,,吉田りんご,大　阪,4-7,250円,(1),20240309,6R,名古屋,4-7-2,"1,660円",(5)
Ｌ級ガールズ予選（第２走）,F2,,42,1,1,差し,尾方　真生,福　岡,6,マーク,比嘉真梨代,沖　縄,7,,佐藤亜貴子,神奈川,1-6,370円,(2),20240309,7R,名古屋,1-6-7,"3,440円",(13)
Ａ級特一般,F2,,42,1,3,差し,櫻井　太士,岡　山,5,逃げ,日浅　保幸,岡　山,7,,中石　昌芳,広　島,3-5,320円,(1),20240309,8R,名古屋,3-5-7,560円,(1)
Ａ級特一般,F2,,42,1,7,逃げ,小川　祐司,愛　媛,2,マーク,辻　力,石　川,3,,白川　有司,福　岡,7-2,"4,350円",(7),20240309,9R,名古屋,7-2-3,"40,550円",(40)
Ａ級準決勝,F2,,42,1,3,差し,四宮　哲郎,京　都,4,マーク,島村　匠,福　岡,6,,谷口　友真,大　阪,3-4,"6,600円",(28),20240309,10R,名古屋,3-4-6,"45,640円",(121)
Ａ級準決勝,F2,,42,1,3,逃げ,坂田　康季,佐　賀,7,差し,本郷　雄三,熊　本,1,,村上　竜馬,広　島,3-7,530円,(2),20240309,11R,名古屋,3-7-1,"1,940円",(6)
Ａ級準決勝,F2,,42,1,4,逃げ,前田　義和,鹿児島,1,マーク,三浦　貴大,岐　阜,3,,佐藤　成人,奈　良,4-1,"6,750円",(20),20240309,12R,名古屋,4-1-3,"15,820円",(44)
Ｌ級ガールズ予選（第２走）,F2,,84,5,2,差し,青木　美保,埼　玉,1,マーク,那須　萌美,宮　崎,4,,田中　月菜,佐　賀,2-1,320円,(1),20240309,1R,武雄,2-1-4,"1,370円",(7)
Ｌ級ガールズ予選（第２走）,F2,,84,5,1,捲り,吉川　美穂,和歌山,3,マーク,黒河内由実,長　野,2,,岡本　二菜,東　京,1-3,290円,(2),20240309,2R,武雄,1-3-2,460円,(2)
Ａ級一般,F2,,84,5,5,差し,四元　慎也,宮　崎,1,マーク,清水　広幸,愛　知,6,,林　洋二,岐　阜,5-1,900円,(4),20240309,3R,武雄,5-1-6,"7,750円",(29)
Ａ級一般,F2,,84,5,3,差し,岡田　啓渡,愛　媛,7,差し,ラモスレオ,沖　縄,1,,吉岡伸太郎,愛　媛,3-7,"6,040円",(16),20240309,4R,武雄,3-7-1,"32,700円",(61)
Ａ級選抜,F2,,84,5,3,逃げ,中井　勇介,大　阪,1,差し,小川　大地,愛　知,6,,松本　大地,熊　本,3-1,490円,(2),20240309,5R,武雄,3-1-6,"7,100円",(16)
Ａ級選抜,F2,,84,5,1,捲り,福田　要,宮　崎,3,差し,大崎　和也,青　森,2,,佐藤　清之,千　葉,1-3,580円,(3),20240309,6R,武雄,1-3-2,"2,080円",(7)
Ａ級準決勝,F2,,84,5,4,差し,大瀬戸潤一,広　島,2,捲り,吉川　起也,富　山,6,,近藤　修康,岡　山,4-2,"1,300円",(4),20240309,7R,武雄,4-2-6,"3,100円",(7)
Ａ級準決勝,F2,,84,5,2,差し,谷田　泰平,岐　阜,3,マーク,肥後　尚己,大　阪,6,,中山遼太郎,熊　本,2-3,660円,(2),20240309,8R,武雄,2-3-6,"6,870円",(23)
Ａ級準決勝,F2,,84,5,2,差し,古川　貴之,佐　賀,1,逃げ,梅崎　隆介,長　崎,3,,篠原　龍馬,高　知,2-1,340円,(2),20240309,9R,武雄,2-1-3,540円,(2)
