category,grade,kaisai_name,keirin_cd,meeting_icon,pos1_car_no,pos1_decision,pos1_name,pos1_region,pos2_car_no,pos2_decision,pos2_name,pos2_region,pos3_car_no,pos3_decision,pos3_name,pos3_region,quinella,quinella_payout,quinella_popularity,race_date,race_no,track,trifecta,trifecta_payout,trifecta_popularity
Ｓ級一般,G3,,83,1,3,捲り,藤根　俊貴,岩　手,7,マーク,佐藤　真一,東　京,4,,滝本　泰行,岡　山,3-7,400円,(1),20240624,1R,久留米,3-7-4,"1,610円",(4)
Ｓ級一般,G3,,83,1,4,逃げ,藤田　昌宏,岡　山,5,マーク,原井　博斗,福　岡,2,,桑原　亮,福　岡,4-5,"2,960円",(12),20240624,2R,久留米,4-5-2,"13,630円",(47)
Ｓ級一般,G3,,83,1,5,差し,田中　誠,福　岡,2,差し,吉田　勇人,埼　玉,1,,中村　良二,福　岡,5-2,"1,570円",(4),20240624,3R,久留米,5-2-1,"3,120円",(7)
Ｓ級選抜,G3,,83,1,9,逃げ,佐々木　豪,愛　媛,3,マーク,掛水　泰範,高　知,6,,良永　浩一,福　岡,9-3,320円,(1),20240624,4R,久留米,9-3-6,"1,250円",(2)
Ｓ級選抜,G3,,83,1,5,捲り,黒沢　征治,埼　玉,3,マーク,中川　貴徳,栃　木,7,,坂本　紘規,青　森,5-3,"2,890円",(9),20240624,5R,久留米,5-3-7,"16,360円",(46)
Ｓ級選抜,G3,,83,1,7,捲り,三谷　竜生,奈　良,6,差し,佐々木吉徳,秋　田,2,,佐方　良行,熊　本,7-6,"7,620円",(15),20240624,6R,久留米,7-6-2,"80,400円",(117)
Ｓ級特選,G3,,83,1,1,捲り,石原　颯,香　川,9,マーク,坂本健太郎,福　岡,2,,山本　伸一,奈　良,1-9,260円,(1),20240624,7R,久留米,1-9-2,770円,(1)
Ｓ級特選,G3,,83,1,1,捲り,宿口　陽一,埼　玉,9,差し,佐々木雄一,福　島,3,,嵯峨昇喜郎,青　森,1-9,"1,440円",(6),20240624,8R,久留米,1-9-3,"7,490円",(27)
Ｓ級特選,G3,,83,1,5,捲り,小松崎大地,福　島,1,マーク,佐藤慎太郎,福　島,9,,竹山　陵太,宮　城,5-1,"1,150円",(4),20240624,9R,久留米,5-1-9,"2,530円",(5)
Ｓ級準決勝,G3,,83,1,3,捲り,嘉永　泰斗,熊　本,5,捲り,森田　優弥,埼　玉,7,,阿部　力也,宮　城,3-5,940円,(3),20240624,10R,久留米,3-5-7,"2,700円",(5)
