category,grade,kaisai_name,keirin_cd,meeting_icon,pos1_car_no,pos1_decision,pos1_name,pos1_region,pos2_car_no,pos2_decision,pos2_name,pos2_region,pos3_car_no,pos3_decision,pos3_name,pos3_region,quinella,quinella_payout,quinella_popularity,race_date,race_no,track,trifecta,trifecta_payout,trifecta_popularity
Ａ級予選,F1,,12,3,2,捲り,梅田加津也,神奈川,5,マーク,小野　裕次,千　葉,7,,阿部　充宏,山　口,2-5,480円,(2),20250623,1R,青森,2-5-7,"5,850円",(16)
Ａ級予選,F1,,12,3,7,捲り,一ノ瀬　匠,佐　賀,2,マーク,阿部　兼士,福　岡,3,,白石　大輔,福　島,7-2,240円,(1),20250623,2R,青森,7-2-3,460円,(1)
Ａ級予選,F1,,12,3,7,逃げ,佐々木亮太,青　森,1,マーク,大崎　和也,青　森,5,,竹内　優也,北海道,7-1,110円,(1),20250623,3R,青森,7-1-5,190円,(1)
Ａ級予選,F1,,12,3,3,逃げ,小川三士郎,徳　島,6,捲り,樋口　瑛土,東　京,2,,佐藤　謙,栃　木,3-6,"2,660円",(5),20250623,4R,青森,3-6-2,"23,130円",(32)
Ａ級初日特選,F1,,12,3,5,差し,土屋　壮登,埼　玉,1,捲り,稲吉　悠大,福　岡,4,,蓮井　祐輝,香　川,5-1,840円,(3),20250623,5R,青森,5-1-4,"6,290円",(16)
Ｓ級予選,F1,,12,3,3,差し,佐藤　龍二,神奈川,2,差し,高原　仁志,徳　島,5,,中川　貴徳,栃　木,3-2,"3,390円",(14),20250623,6R,青森,3-2-5,"12,470円",(52)
Ｓ級予選,F1,,12,3,7,差し,牧　剛央,大　分,1,逃げ,甲斐　俊祐,大　分,2,,後藤　悠,岩　手,7-1,"1,680円",(9),20250623,7R,青森,7-1-2,"7,310円",(26)
Ｓ級予選,F1,,12,3,3,差し,黒田　淳,岡　山,5,捲り,齋木　翔多,静　岡,6,,石丸　寛之,岡　山,3-5,"5,730円",(21),20250623,8R,青森,3-5-6,"49,870円",(124)
Ｓ級予選,F1,,12,3,2,捲り,橋本　智昭,宮　城,5,マーク,尾形　鉄馬,宮　城,7,,坂本　修一,岡　山,2-5,440円,(2),20250623,9R,青森,2-5-7,"1,870円",(6)
Ｓ級予選,F1,,12,3,7,捲り,上野　雅彦,香　川,5,差し,真崎新太郎,栃　木,3,,中田　健太,埼　玉,7-5,"3,240円",(10),20250623,10R,青森,7-5-3,"12,860円",(38)
