category,grade,kaisai_name,keirin_cd,meeting_icon,pos1_car_no,pos1_decision,pos1_name,pos1_region,pos2_car_no,pos2_decision,pos2_name,pos2_region,pos3_car_no,pos3_decision,pos3_name,pos3_region,quinella,quinella_payout,quinella_popularity,race_date,race_no,track,trifecta,trifecta_payout,trifecta_popularity
Ａ級予選,F1,,84,3,5,逃げ,天野　純平,佐　賀,1,マーク,茅野　寛史,鹿児島,4,,中武三四郎,大　阪,5-1,"2,720円",(9),20240526,1R,武雄,5-1-4,"22,370円",(73)
Ａ級予選,F1,,84,3,5,捲り,井田　晶之,三　重,1,マーク,上田　隼,岐　阜,2,,大竹野裕樹,鹿児島,5-1,930円,(3),20240526,2R,武雄,5-1-2,"4,330円",(13)
Ａ級予選,F1,,84,3,7,差し,竹内　一暢,滋　賀,3,逃げ,江端　隆司,福　井,1,,飯塚　隼人,佐　賀,7-3,190円,(1),20240526,3R,武雄,7-3-1,940円,(1)
Ａ級予選,F1,,84,3,2,差し,松田　優一,茨　城,7,逃げ,熊崎　麻人,埼　玉,1,,宇根　秀俊,愛　媛,2-7,750円,(3),20240526,4R,武雄,2-7-1,"1,570円",(4)
Ａ級初日特選,F1,,84,3,7,差し,今井　聡,東　京,5,逃げ,猪狩　祐樹,福　島,1,,高塩　讓次,栃　木,7-5,790円,(3),20240526,5R,武雄,7-5-1,"1,100円",(2)
Ｓ級予選,F1,,84,3,7,差し,澤田　義和,兵　庫,4,マーク,舘　泰守,愛　知,1,,中村　昌弘,広　島,7-4,"2,450円",(8),20240526,6R,武雄,7-4-1,"14,690円",(41)
Ｓ級予選,F1,,84,3,5,捲り,佐川　翔吾,大　阪,7,マーク,武井　大介,千　葉,1,,平尾　一晃,長　崎,5-7,"2,170円",(8),20240526,7R,武雄,5-7-1,"7,670円",(25)
Ｓ級予選,F1,,84,3,1,差し,磯田　旭,栃　木,5,逃げ,嵯峨昇喜郎,青　森,3,,古賀　勝大,和歌山,1-5,260円,(1),20240526,8R,武雄,1-5-3,660円,(1)
Ｓ級予選,F1,,84,3,7,捲り,芦澤　辰弘,茨　城,2,差し,津村洸次郎,福　岡,4,,児玉慎一郎,香　川,7-2,"1,060円",(4),20240526,9R,武雄,7-2-4,"5,160円",(15)
Ｓ級予選,F1,,84,3,1,差し,森山　智徳,熊　本,7,逃げ,緒方　将樹,熊　本,4,,福島　栄一,香　川,1-7,210円,(1),20240526,10R,武雄,1-7-4,280円,(1)
Ｓ級予選,F1,,84,3,7,逃げ,石原　颯,香　川,5,差し,中村　隆生,栃　木,4,,田中　勇二,岡　山,7-5,"2,680円",(5),20240526,11R,武雄,7-5-4,"10,680円",(19)
Ｓ級初日特選,F1,,84,3,7,逃げ,町田　太我,広　島,3,マーク,片岡　迪之,岡　山,2,,杉森　輝大,茨　城,7-3,320円,(1),20240526,12R,武雄,7-3-2,"1,440円",(3)
Ａ級特一般,F2,,11,3,3,逃げ,高井　流星,岡　山,5,差し,佐藤　謙,栃　木,2,,井上　雄三,埼　玉,3-5,620円,(3),20240526,1R,函館,3-5-2,"3,350円",(8)
Ａ級特一般,F2,,11,3,5,差し,村上　卓茂,愛　知,4,差し,山信田　学,埼　玉,1,,伊藤　太一,山　梨,5-4,"1,610円",(8),20240526,2R,函館,5-4-1,"6,910円",(21)
Ａ級男子新人戦一般,F2,,11,3,5,捲り,福田　健太,宮　城,1,逃げ,福田　稔希,栃　木,4,,齊藤英伊須,青　森,5-1,"3,800円",(18),20240526,3R,函館,5-1-4,"21,880円",(91)
Ａ級男子新人戦一般,F2,,11,3,2,差し,高橋　舜,宮　城,1,捲り,佐々木亮太,青　森,3,,貝原　涼太,栃　木,2-1,"1,510円",(3),20240526,4R,函館,2-1-3,"8,820円",(23)
Ａ級男子新人戦一般,F2,,11,3,5,捲り,橋谷　成海,埼　玉,4,マーク,梅澤　忠秀,三　重,1,,川田　真也,埼　玉,5-4,"2,220円",(7),20240526,5R,函館,5-4-1,"7,470円",(23)
Ａ級男子新人戦一般,F2,,11,3,2,逃げ,中石　湊,北海道,4,差し,中村　龍吉,福　島,6,,中島　竜誠,山　梨,2-4,450円,(1),20240526,6R,函館,2-4-6,"2,350円",(4)
Ａ級特選,F2,,11,3,2,捲り,矢口　大樹,千　葉,4,捲り,中川　繁樹,京　都,1,,徳丸　泰教,兵　庫,2-4,"1,950円",(6),20240526,7R,函館,2-4-1,"4,700円",(13)
Ａ級特選,F2,,11,3,2,差し,山田　晃久,石　川,7,差し,佐々木健司,青　森,4,,根藤　浩二,千　葉,2-7,"19,490円",(35),20240526,8R,函館,2-7-4,"77,220円",(139)
Ａ級決勝,F2,,11,3,2,差し,曽我　圭佑,熊　本,5,逃げ,吉川　起也,富　山,4,,小川将二郎,徳　島,2-5,"3,860円",(12),20240526,9R,函館,2-5-4,"22,280円",(66)
Ｌ級ガールズ新人決勝,F2,,11,3,7,逃げ,仲澤　春香,福　井,5,差し,中島　瞳,埼　玉,2,,豊田　美香,徳　島,7-5,160円,(1),20240526,10R,函館,7-5-2,310円,(1)
Ａ級男子新人戦決勝,F2,,11,3,4,差し,川上　隆義,栃　木,2,差し,渡邉　壘,新　潟,5,,森田　一郎,埼　玉,4-2,"14,190円",(35),20240526,11R,函館,4-2-5,"40,320円",(134)
Ａ級一般,F2,,23,8,1,差し,赤井　学,千　葉,7,差し,深澤　伸介,静　岡,5,,阿久津浩之,東　京,1-7,"3,430円",(14),20240526,1R,取手,1-7-5,"8,870円",(28)
Ａ級一般,F2,,23,8,2,逃げ,伊早坂駿一,茨　城,7,マーク,大越　啓介,栃　木,5,,中西　司,神奈川,2-7,660円,(2),20240526,2R,取手,2-7-5,720円,(2)
Ａ級一般,F2,,23,8,5,捲り,舘　真成,茨　城,1,マーク,若林　耕司,群　馬,3,,柳　充,青　森,5-1,420円,(2),20240526,3R,取手,5-1-3,"2,390円",(4)
Ａ級特選,F2,,23,8,1,差し,落合　達彦,静　岡,6,捲り,坂木田雄介,千　葉,5,,荒木　伸哉,静　岡,1-6,550円,(2),20240526,4R,取手,1-6-5,770円,(1)
Ａ級特選,F2,,23,8,1,捲り,宇佐見裕輝,福　島,7,差し,小川　圭二,徳　島,2,,荻野　哲,神奈川,1-7,"5,000円",(16),20240526,5R,取手,1-7-2,"33,090円",(77)
Ａ級特選,F2,,23,8,2,捲り,磯川　勝裕,東　京,5,マーク,宇佐見優介,福　島,3,,大崎　和也,青　森,2-5,250円,(1),20240526,6R,取手,2-5-3,350円,(1)
Ａ級決勝,F2,,23,8,3,差し,室井蓮太朗,徳　島,5,マーク,日野　博幸,愛　媛,4,,桑名　僚也,埼　玉,3-5,190円,(1),20240526,7R,取手,3-5-4,"1,290円",(4)
