category,grade,kaisai_name,keirin_cd,meeting_icon,pos1_car_no,pos1_decision,pos1_name,pos1_region,pos2_car_no,pos2_decision,pos2_name,pos2_region,pos3_car_no,pos3_decision,pos3_name,pos3_region,quinella,quinella_payout,quinella_popularity,race_date,race_no,track,trifecta,trifecta_payout,trifecta_popularity
Ｓ級一般,G3,,22,1,4,逃げ,山田　義彦,埼　玉,9,マーク,久保田泰弘,山　口,2,,菅原　晃,大　分,4-9,"6,680円",(21),20240604,1R,前橋,4-9-2,"65,150円",(175)
Ｓ級一般,G3,,22,1,9,差し,三好恵一郎,群　馬,5,差し,山口　貴嗣,福　岡,7,,中嶋　宣成,長　野,9-5,"2,900円",(9),20240604,2R,前橋,9-5-7,"13,160円",(28)
Ｓ級選抜,G3,,22,1,9,捲り,真鍋　顕汰,三　重,4,差し,真船圭一郎,福　島,3,,板垣　昴,福　島,9-4,"2,170円",(5),20240604,3R,前橋,9-4-3,"15,610円",(40)
Ｓ級選抜,G3,,22,1,3,差し,津村洸次郎,福　岡,9,捲り,大西　貴晃,大　分,6,,杉山　悠也,秋　田,3-9,"1,410円",(5),20240604,4R,前橋,3-9-6,"21,320円",(71)
Ｓ級選抜,G3,,22,1,5,差し,小林　大介,群　馬,1,逃げ,河合　佑弥,東　京,9,,橋本　智昭,宮　城,5-1,660円,(1),20240604,5R,前橋,5-1-9,"6,920円",(13)
Ｓ級特選,G3,,22,1,9,捲り,坂井　洋,栃　木,7,逃げ,町田　太我,広　島,1,,木暮　安由,群　馬,9-7,630円,(3),20240604,6R,前橋,9-7-1,"1,610円",(4)
Ｓ級特選,G3,,22,1,2,捲り,新田　祐大,福　島,7,マーク,佐藤　博紀,岩　手,1,,浅井　康太,三　重,2-7,290円,(1),20240604,7R,前橋,2-7-1,810円,(1)
Ｓ級特選,G3,,22,1,2,逃げ,深谷　知広,静　岡,4,マーク,真鍋　智寛,愛　媛,1,,戸田　洋平,岡　山,2-4,"2,070円",(7),20240604,8R,前橋,2-4-1,"4,560円",(12)
Ａ級Ａ級ファイナル,G3,,22,1,1,捲り,片折　亮太,埼　玉,7,マーク,高橋　昇平,埼　玉,5,,加賀山　淳,千　葉,1-7,380円,(1),20240604,9R,前橋,1-7-5,"3,430円",(5)
Ｓ級特別優秀,G3,,22,1,9,逃げ,菅田　壱道,宮　城,1,マーク,大槻　寛徳,宮　城,8,,川口　雄太,徳　島,9-1,440円,(1),20240604,10R,前橋,9-1-8,"5,700円",(10)
