race_encp,race_date,track,race_no,grade,syumoku,syabanBgColorInfo,syabanCharColorInfo,syaban,wakuban,sensyuRegistNo,sensyuName,ketujyouTuikaHojyuColorInfo,ketujyouTuikaHojyu,huKen,prevKyuhan,kyuhan,kyakusitu,heikinTokuten,nigeCnt,makuriCnt,sasiCnt,markCnt,backCnt
ZHNqMDrv_PhK_RMqwDdB9lVndOdgcVFYw2af6afn71ZH9cu-gDlZBrdSfGy7i9ep,20240322,取手,1,G2,Ｓ級特一般,base_color_1_bk,base_color_1,1,1,015598,大川　剛,,,青　森,S2,S2,逃,103.75,4,2,0,0,12
ZHNqMDrv_PhK_RMqwDdB9lVndOdgcVFYw2af6afn71ZH9cu-gDlZBrdSfGy7i9ep,20240322,取手,1,G2,Ｓ級特一般,base_color_2_bk,base_color_2,2,2,013745,中川誠一郎,,,熊　本,S1,S1,両,106.43,1,4,4,0,3
ZHNqMDrv_PhK_RMqwDdB9lVndOdgcVFYw2af6afn71ZH9cu-gDlZBrdSfGy7i9ep,20240322,取手,1,G2,Ｓ級特一般,base_color_3_bk,base_color_3,3,3,013851,和田健太郎,,,千　葉,S1,S1,追,113.38,0,0,13,7,0
ZHNqMDrv_PhK_RMqwDdB9lVndOdgcVFYw2af6afn71ZH9cu-gDlZBrdSfGy7i9ep,20240322,取手,1,G2,Ｓ級特一般,base_color_4_bk,base_color_4,4,4,014052,飯野　祐太,,,福　島,S1,S1,両,103.53,0,2,4,3,3
ZHNqMDrv_PhK_RMqwDdB9lVndOdgcVFYw2af6afn71ZH9cu-gDlZBrdSfGy7i9ep,20240322,取手,1,G2,Ｓ級特一般,base_color_5_bk,base_color_5,5,4,015096,大石　剣士,,,静　岡,S1,S1,逃,106.48,8,2,1,0,17
ZHNqMDrv_PhK_RMqwDdB9lVndOdgcVFYw2af6afn71ZH9cu-gDlZBrdSfGy7i9ep,20240322,取手,1,G2,Ｓ級特一般,base_color_6_bk,base_color_6,6,5,014752,竹内　雄作,color_blue,補充,岐　阜,S1,S2,逃,100.37,11,3,0,0,19
ZHNqMDrv_PhK_RMqwDdB9lVndOdgcVFYw2af6afn71ZH9cu-gDlZBrdSfGy7i9ep,20240322,取手,1,G2,Ｓ級特一般,base_color_7_bk,base_color_7,7,5,015475,伊藤　旭,,,熊　本,S1,S1,逃,108.70,1,6,4,0,10
ZHNqMDrv_PhK_RMqwDdB9lVndOdgcVFYw2af6afn71ZH9cu-gDlZBrdSfGy7i9ep,20240322,取手,1,G2,Ｓ級特一般,base_color_8_bk,base_color_8,8,6,014537,西村　光太,,,三　重,S2,S1,追,102.20,0,0,10,2,0
ZHNqMDrv_PhK_RMqwDdB9lVndOdgcVFYw2af6afn71ZH9cu-gDlZBrdSfGy7i9ep,20240322,取手,1,G2,Ｓ級特一般,base_color_9_bk,base_color_9,9,6,014016,石塚　孝幸,color_blue,追加,神奈川,S2,S2,追,104.70,0,0,8,1,0
ZHNqMDrv_PhK_RMqwDdB9n17FNqf08lEeSWZmjDMGpEvdVqDI1jP_mOLx3_-0L7T,20240322,取手,2,G2,Ｓ級特一般,base_color_1_bk,base_color_1,1,1,014605,中井　太祐,,,奈　良,S1,S1,両,107.05,0,5,8,3,4
