category,grade,kaisai_name,keirin_cd,meeting_icon,pos1_car_no,pos1_decision,pos1_name,pos1_region,pos2_car_no,pos2_decision,pos2_name,pos2_region,pos3_car_no,pos3_decision,pos3_name,pos3_region,quinella,quinella_payout,quinella_popularity,race_date,race_no,track,trifecta,trifecta_payout,trifecta_popularity
Ｓ級一次予選,G3,,83,1,7,差し,坂本健太郎,福　岡,1,逃げ,後藤　大輝,福　岡,9,,小林　弘和,佐　賀,7-1,220円,(1),20250628,1R,久留米,7-1-9,320円,(1)
Ｓ級一次予選,G3,,83,1,1,差し,西村　光太,三　重,9,逃げ,岸田　剛,福　井,5,,阿部　英斗,福　岡,1-9,390円,(1),20250628,2R,久留米,1-9-5,"2,480円",(6)
Ｓ級一次予選,G3,,83,1,2,捲り,渡邉　雅也,静　岡,7,マーク,大槻　寛徳,宮　城,9,,松田　治之,大　阪,2-7,810円,(4),20250628,3R,久留米,2-7-9,"3,840円",(12)
Ｓ級一次予選,G3,,83,1,3,差し,久島　尚樹,宮　崎,4,逃げ,立部　楓真,佐　賀,2,,根田　空史,千　葉,3-4,"1,840円",(6),20250628,4R,久留米,3-4-2,"23,450円",(78)
Ｓ級一次予選,G3,,83,1,7,差し,佐藤　礼文,茨　城,8,差し,根本　哲吏,秋　田,3,,青野　将大,神奈川,7-8,"7,160円",(17),20250628,5R,久留米,7-8-3,"20,450円",(47)
Ｓ級一次予選,G3,,83,1,2,差し,宿口　陽一,埼　玉,8,差し,西田　大志,福　岡,9,,寺沼　拓摩,東　京,2-8,"16,290円",(31),20250628,6R,久留米,2-8-9,"90,350円",(155)
Ｓ級一次予選,G3,,83,1,9,差し,小川　勇介,福　岡,2,捲り,松岡　辰泰,熊　本,4,,小酒　大勇,宮　崎,9-2,290円,(1),20250628,7R,久留米,9-2-4,780円,(1)
Ｓ級一次予選,G3,,83,1,7,捲り,野田　源一,福　岡,1,マーク,原井　博斗,福　岡,8,,五十嵐　綾,福　島,7-1,300円,(1),20250628,8R,久留米,7-1-8,"3,010円",(5)
Ｓ級一次予選,G3,,83,1,9,捲り,北津留　翼,福　岡,2,マーク,松岡　貴久,熊　本,5,,大野　悟郎,大　分,9-2,310円,(2),20250628,9R,久留米,9-2-5,900円,(2)
Ｓ級一次予選,G3,,83,1,2,捲り,石原　颯,香　川,1,差し,竹山　陵太,宮　城,7,,香川　雄介,香　川,2-1,750円,(3),20250628,10R,久留米,2-1-7,"1,850円",(5)
Ｓ級一次予選,G3,,83,1,1,逃げ,太田　海也,岡　山,5,マーク,吉本　卓仁,福　岡,7,,角　令央奈,福　岡,1-5,130円,(1),20250628,11R,久留米,1-5-7,190円,(1)
Ｓ級初日特選,G3,,83,1,4,差し,三谷　将太,奈　良,3,差し,松本　貴治,愛　媛,1,,郡司　浩平,神奈川,4-3,"20,910円",(40),20250628,12R,久留米,4-3-1,"139,060円",(234)
Ａ級一般,F1,,22,3,4,逃げ,野口　修平,神奈川,1,差し,大利　航平,和歌山,2,,安坂　洋一,神奈川,4-1,"2,870円",(7),20250628,1R,前橋,4-1-2,"9,600円",(20)
