category,grade,kaisai_name,keirin_cd,meeting_icon,pos1_car_no,pos1_decision,pos1_name,pos1_region,pos2_car_no,pos2_decision,pos2_name,pos2_region,pos3_car_no,pos3_decision,pos3_name,pos3_region,quinella,quinella_payout,quinella_popularity,race_date,race_no,track,trifecta,trifecta_payout,trifecta_popularity
Ｌ級ガールズ一般,G3,,11,3,5,差し,本多　優,群　馬,2,逃げ,布居　光,和歌山,1,,松尾　智佳,愛　媛,5-2,590円,(2),20240608,1R,函館,5-2-1,"2,380円",(6)
Ｌ級ガールズ準決勝,G3,,11,3,5,差し,山口　伊吹,長　崎,4,マーク,増茂るるこ,東　京,7,,渡邉　栞奈,静　岡,5-4,340円,(1),20240608,2R,函館,5-4-7,"2,530円",(7)
Ｌ級ガールズ準決勝,G3,,11,3,6,差し,小坂　知子,岐　阜,4,マーク,中村由香里,東　京,1,,加瀬加奈子,新　潟,6-4,"3,970円",(17),20240608,3R,函館,6-4-1,"8,230円",(33)
Ｓ級選抜,G3,,11,3,7,差し,山崎　将幸,宮　城,2,捲り,磯島　成介,青　森,1,,高橋　広大,埼　玉,7-2,870円,(2),20240608,4R,函館,7-2-1,"3,750円",(5)
Ｓ級選抜,G3,,11,3,3,捲り,児玉慎一郎,香　川,6,マーク,紫原　政文,福　岡,1,,山口　聖矢,岐　阜,3-6,"3,950円",(11),20240608,5R,函館,3-6-1,"45,060円",(142)
Ｓ級選抜,G3,,11,3,3,差し,神山雄一郎,栃　木,5,差し,開坂　秀明,青　森,4,,高橋　雅之,千　葉,3-5,"14,780円",(30),20240608,6R,函館,3-5-4,"165,020円",(252)
Ｓ級特選,G3,,11,3,9,捲り,渡邉　雅也,静　岡,2,差し,福島　武士,香　川,1,,望月　永悟,静　岡,9-2,620円,(2),20240608,7R,函館,9-2-1,"2,390円",(3)
Ｓ級特選,G3,,11,3,9,捲り,竹内　翼,広　島,1,マーク,大塚健一郎,大　分,7,,阪本　和也,長　崎,9-1,"1,020円",(3),20240608,8R,函館,9-1-7,"1,780円",(1)
Ｓ級特選,G3,,11,3,1,差し,片岡　迪之,岡　山,7,捲り,久米　康平,徳　島,5,,稲吉　悠大,福　岡,1-7,330円,(1),20240608,9R,函館,1-7-5,520円,(1)
Ｓ級準決勝,G3,,11,3,5,差し,坂本　貴史,青　森,1,マーク,櫻井　正孝,宮　城,9,,大川　剛,青　森,5-1,360円,(1),20240608,10R,函館,5-1-9,"1,710円",(2)
Ｓ級準決勝,G3,,11,3,1,逃げ,菊池　岳仁,長　野,7,マーク,菊地　圭尚,北海道,8,,竹村　勇祐,秋　田,1-7,710円,(2),20240608,11R,函館,1-7-8,"1,510円",(1)
Ｓ級準決勝,G3,,11,3,5,捲り,阿部　将大,大　分,9,逃げ,酒井　雄多,福　島,4,,杉本　正隆,茨　城,5-9,"1,150円",(4),20240608,12R,函館,5-9-4,"13,550円",(37)
Ｓ級一般,G3,,53,1,2,捲り,小笠原　光,岩　手,7,マーク,中田　雄喜,福　島,5,,紺野　哲也,宮　城,2-7,"1,710円",(8),20240608,1R,奈良,2-7-5,"3,190円",(7)
Ｓ級一般,G3,,53,1,5,差し,小林　稜武,千　葉,4,差し,中村　良二,福　岡,7,,土屋　壮登,埼　玉,5-4,"3,560円",(12),20240608,2R,奈良,5-4-7,"11,820円",(40)
Ｓ級一般,G3,,53,1,1,捲り,長田　龍拳,静　岡,7,差し,小橋　明紀,青　森,4,,金澤　竜二,福　島,1-7,"4,070円",(16),20240608,3R,奈良,1-7-4,"9,810円",(34)
Ｓ級選抜,G3,,53,1,1,差し,谷　和也,大　阪,4,マーク,高間　悠平,福　井,8,,田中　大我,奈　良,1-4,350円,(1),20240608,4R,奈良,1-4-8,"3,100円",(6)
Ｓ級選抜,G3,,53,1,9,差し,清水　剛志,福　井,1,差し,柴田　洋輔,東　京,6,,松岡　孔明,熊　本,9-1,"12,400円",(30),20240608,5R,奈良,9-1-6,"207,430円",(283)
Ｓ級選抜,G3,,53,1,7,差し,高橋　和也,愛　知,5,逃げ,平尾　一晃,長　崎,3,,川口公太朗,岐　阜,7-5,"4,780円",(18),20240608,6R,奈良,7-5-3,"11,670円",(37)
Ｓ級特選,G3,,53,1,7,差し,飯野　祐太,福　島,3,逃げ,小原丈一郎,青　森,8,,蒔田　英彦,千　葉,7-3,720円,(2),20240608,7R,奈良,7-3-8,"16,820円",(61)
Ｓ級特選,G3,,53,1,1,差し,池田　良,広　島,3,差し,山口　泰生,岐　阜,7,,箱田　優樹,青　森,1-3,"10,410円",(32),20240608,8R,奈良,1-3-7,"89,120円",(239)
