category,grade,kaisai_name,keirin_cd,meeting_icon,pos1_car_no,pos1_decision,pos1_name,pos1_region,pos2_car_no,pos2_decision,pos2_name,pos2_region,pos3_car_no,pos3_decision,pos3_name,pos3_region,quinella,quinella_payout,quinella_popularity,race_date,race_no,track,trifecta,trifecta_payout,trifecta_popularity
Ｓ級選抜,G3,,21,1,3,捲り,松本　憲斗,熊　本,4,差し,芦澤　大輔,茨　城,5,,神田　龍,三　重,3-4,"1,850円",(8),20250711,1R,弥彦,3-4-5,"10,970円",(37)
Ｓ級選抜,G3,,21,1,2,捲り,月森　亮輔,岡　山,5,逃げ,棚瀬　義大,岐　阜,9,,北野　武史,石　川,2-5,"2,620円",(10),20250711,2R,弥彦,2-5-9,"29,560円",(87)
Ｓ級選抜,G3,,21,1,7,捲り,松本秀之介,熊　本,1,マーク,小林　弘和,佐　賀,2,,濱田　浩司,愛　媛,7-1,310円,(1),20250711,3R,弥彦,7-1-2,"1,660円",(3)
Ｓ級選抜,G3,,21,1,2,捲り,根本　哲吏,秋　田,1,捲り,長島　大介,栃　木,9,,上吹越直樹,鹿児島,2-1,"1,910円",(6),20250711,4R,弥彦,2-1-9,"15,220円",(53)
Ｓ級選抜,G3,,21,1,7,差し,五日市　誠,青　森,2,捲り,高橋　晋也,福　島,4,,福島　栄一,香　川,7-2,270円,(1),20250711,5R,弥彦,7-2-4,"3,110円",(7)
Ｓ級二次予選,G3,,21,1,2,差し,坂井　洋,栃　木,7,マーク,山下　渡,茨　城,4,,昼田　達哉,岡　山,2-7,300円,(1),20250711,6R,弥彦,2-7-4,"7,220円",(19)
Ｓ級二次予選,G3,,21,1,9,逃げ,佐々木悠葵,群　馬,7,マーク,武藤　龍生,埼　玉,4,,岡田　泰地,栃　木,9-7,330円,(2),20250711,7R,弥彦,9-7-4,"1,270円",(2)
Ｓ級二次予選,G3,,21,1,2,差し,浅井　康太,三　重,7,差し,末木　浩二,山　梨,9,,藤原　憲征,新　潟,2-7,550円,(1),20250711,8R,弥彦,2-7-9,"4,030円",(12)
Ｓ級二次予選,G3,,21,1,7,差し,櫻井祐太郎,宮　城,9,捲り,石原　颯,香　川,3,,山崎　芳仁,福　島,7-9,"3,720円",(13),20250711,9R,弥彦,7-9-3,"10,880円",(33)
Ｓ級二次予選,G3,,21,1,7,差し,松浦　悠士,広　島,1,逃げ,取鳥　雄吾,岡　山,2,,柿澤　大貴,長　野,7-1,150円,(1),20250711,10R,弥彦,7-1-2,560円,(2)
Ｓ級二次予選,G3,,21,1,7,差し,渡部　幸訓,福　島,1,逃げ,新山　響平,青　森,4,,貴志　修己,和歌山,7-1,230円,(1),20250711,11R,弥彦,7-1-4,"8,470円",(16)
Ｓ級二次予選,G3,,21,1,9,捲り,脇本　雄太,福　井,1,マーク,三谷　竜生,奈　良,4,,松田　治之,大　阪,9-1,160円,(1),20250711,12R,弥彦,9-1-4,680円,(3)
Ａ級予選,F1,,38,3,1,差し,大矢　将大,埼　玉,7,差し,坂本　匡洋,大　阪,2,,星島　太,岡　山,1-7,"5,340円",(10),20250711,1R,静岡,1-7-2,"52,530円",(66)
Ａ級予選,F1,,38,3,7,逃げ,矢部　駿人,岡　山,4,差し,高木　竜司,熊　本,6,,本田　拓也,新　潟,7-4,"2,540円",(9),20250711,2R,静岡,7-4-6,"45,020円",(99)
Ａ級予選,F1,,38,3,2,逃げ,高橋　舜,宮　城,7,マーク,宇佐見優介,福　島,4,,水谷　将司,愛　知,2-7,140円,(1),20250711,3R,静岡,2-7-4,"1,000円",(4)
Ａ級予選,F1,,38,3,3,逃げ,谷内　健太,京　都,7,差し,勝部　貴博,福　岡,1,,竹内　真一,福　岡,3-7,"3,070円",(6),20250711,4R,静岡,3-7-1,"10,420円",(19)
