category,grade,kaisai_name,keirin_cd,meeting_icon,pos1_car_no,pos1_decision,pos1_name,pos1_region,pos2_car_no,pos2_decision,pos2_name,pos2_region,pos3_car_no,pos3_decision,pos3_name,pos3_region,quinella,quinella_payout,quinella_popularity,race_date,race_no,track,trifecta,trifecta_payout,trifecta_popularity
Ｓ級一般,G3,,47,1,5,差し,神田　龍,三　重,7,差し,池田　憲昭,香　川,3,,畝木　努,岡　山,5-7,"1,150円",(4),20251013,1R,松阪,5-7-3,"7,590円",(23)
Ｓ級一般,G3,,47,1,3,差し,角　令央奈,福　岡,7,マーク,隅田　洋介,岡　山,1,,伊代野貴照,奈　良,3-7,"2,040円",(8),20251013,2R,松阪,3-7-1,"7,290円",(25)
Ｓ級一般,G3,,47,1,1,差し,今村麟太郎,高　知,2,差し,島田　竜二,熊　本,,,,,1-2,"1,770円",(10),20251013,3R,松阪,1-2-5,"4,500円",(24)
Ｓ級選抜,G3,,47,1,2,捲り,久米　康平,徳　島,3,差し,伊藤　正樹,愛　知,9,,川津　悠揮,北海道,2-3,"5,090円",(20),20251013,4R,松阪,2-3-9,"20,350円",(76)
Ｓ級選抜,G3,,47,1,5,差し,竹内　智彦,宮　城,3,逃げ,磯島　成介,青　森,4,,山本　浩成,福　岡,5-3,470円,(1),20251013,5R,松阪,5-3-4,"8,510円",(24)
Ｓ級選抜,G3,,47,1,7,差し,相川　永伍,埼　玉,8,マーク,鈴木　輝大,東　京,3,,堀江　省吾,長　野,7-8,"2,290円",(6),20251013,6R,松阪,7-8-3,"3,650円",(8)
Ｓ級特選,G3,,47,1,1,捲り,末木　浩二,山　梨,3,捲り,櫻井祐太郎,宮　城,9,,星野　洋輝,福　島,1-3,"1,410円",(6),20251013,7R,松阪,1-3-9,"3,290円",(9)
Ｓ級特選,G3,,47,1,3,捲り,松本　貴治,愛　媛,7,マーク,大崎飛雄馬,愛　媛,5,,渡邉　雄太,静　岡,3-7,440円,(1),20251013,8R,松阪,3-7-5,"1,670円",(1)
Ｓ級特選,G3,,47,1,9,差し,山本　伸一,奈　良,5,逃げ,取鳥　雄吾,岡　山,7,,山形　一気,徳　島,9-5,"2,230円",(5),20251013,9R,松阪,9-5-7,"5,780円",(11)
Ｓ級特別優秀,G3,,47,1,7,差し,桑原　大志,山　口,2,差し,原田研太朗,徳　島,5,,皿屋　豊,三　重,7-2,"1,670円",(4),20251013,10R,松阪,7-2-5,"6,930円",(20)
Ｓ級特別優秀,G3,,47,1,7,差し,吉澤　純平,茨　城,4,差し,松本秀之介,熊　本,3,,岸田　剛,福　井,7-4,"2,470円",(10),20251013,11R,松阪,7-4-3,"51,930円",(122)
Ｓ級決勝,G3,,47,1,7,捲り,新山　響平,青　森,3,差し,渡部　幸訓,福　島,6,,佐藤　一伸,福　島,7-3,"1,830円",(9),20251013,12R,松阪,7-3-6,"4,320円",(10)
Ａ級一般,F1,,11,3,3,捲り,石口　慶多,兵　庫,4,差し,荻野　哲,神奈川,6,,石貞　有基,兵　庫,3-4,770円,(3),20251013,1R,函館,3-4-6,"5,390円",(18)
Ａ級一般,F1,,11,3,5,差し,竹内　優也,北海道,4,差し,大橋　徹,栃　木,3,,櫻木　雄太,福　岡,5-4,"14,730円",(29),20251013,2R,函館,5-4-3,"57,210円",(120)
Ａ級特選,F1,,11,3,3,捲り,佐々木祐太,岩　手,4,差し,都築　巧,高　知,7,,宮司　周郎,愛　知,3-4,"1,410円",(6),20251013,3R,函館,3-4-7,"8,950円",(32)
Ａ級特選,F1,,11,3,5,差し,小酒　大勇,宮　崎,4,逃げ,多田　晃紀,岡　山,2,,梶原　恵介,大　分,5-4,160円,(1),20251013,4R,函館,5-4-2,340円,(1)
Ｌ級ガールズ一般,F1,,11,3,2,差し,長澤　彩,福　岡,1,捲り,杉沢毛伊子,静　岡,7,,蛯原　杏奈,北海道,2-1,"1,230円",(5),20251013,5R,函館,2-1-7,"3,560円",(8)
Ｓ級一般,F1,,11,3,7,捲り,中西　大,和歌山,2,マーク,高間　悠平,福　井,4,,渡辺　正光,福　島,7-2,300円,(1),20251013,6R,函館,7-2-4,620円,(1)
Ｓ級一般,F1,,11,3,3,差し,土屋　壮登,埼　玉,1,差し,良永　浩一,福　岡,2,,吉川　起也,富　山,3-1,"20,050円",(35),20251013,7R,函館,3-1-2,"135,230円",(175)
Ｓ級特選,F1,,11,3,3,捲り,藤井　昭吾,滋　賀,4,差し,中村　圭志,熊　本,2,,嵯峨昇喜郎,青　森,3-4,"2,810円",(12),20251013,8R,函館,3-4-2,"23,270円",(76)
Ｓ級特選,F1,,11,3,5,逃げ,梶原　海斗,福　岡,4,差し,友定　祐己,岡　山,1,,北村　信明,徳　島,5-4,"5,820円",(21),20251013,9R,函館,5-4-1,"9,860円",(28)
Ａ級決勝,F1,,11,3,6,差し,樋口　開土,東　京,3,差し,鰐淵　圭佑,群　馬,4,,望月　湧世,静　岡,6-3,"12,720円",(32),20251013,10R,函館,6-3-4,"71,940円",(154)
Ｌ級ガールズ決勝,F1,,11,3,1,差し,尾崎　睦,神奈川,4,マーク,元砂七夕美,奈　良,5,,坂口　楓華,愛　知,1-4,920円,(3),20251013,11R,函館,1-4-5,"1,660円",(5)
Ｓ級決勝,F1,,11,3,3,捲り,深谷　知広,静　岡,5,マーク,菅原　大也,神奈川,2,,大森　慶一,北海道,3-5,180円,(1),20251013,12R,函館,3-5-2,710円,(2)
Ａ級予選,F1,,81,3,1,差し,高橋　義秋,大　分,7,逃げ,松本　昂大,長　崎,3,,佐伯　辰哉,広　島,1-7,710円,(1),20251013,1R,小倉,1-7-3,"2,010円",(2)
Ａ級予選,F1,,81,3,5,差し,松田　大,富　山,1,逃げ,佐藤　大地,三　重,3,,板崎　佑矢,愛　媛,5-1,560円,(3),20251013,2R,小倉,5-1-3,"5,370円",(16)
Ａ級予選,F1,,81,3,5,捲り,中原　航大,岡　山,1,マーク,近藤　修康,岡　山,7,,櫻井　宏智,広　島,5-1,180円,(1),20251013,3R,小倉,5-1-7,350円,(1)
Ａ級予選,F1,,81,3,4,捲り,川上　隆義,栃　木,2,逃げ,岡崎　陸登,愛　媛,5,,野本　翔太,高　知,4-2,740円,(3),20251013,4R,小倉,4-2-5,"1,260円",(5)
Ａ級初日特選,F1,,81,3,4,捲り,小柳　智徳,長　崎,7,差し,谷津田将吾,福　島,3,,南部　翔大,大　阪,4-7,"7,980円",(23),20251013,5R,小倉,4-7-3,"54,620円",(131)
Ｓ級予選,F1,,81,3,7,差し,中村　良二,福　岡,4,マーク,守谷　陽介,岡　山,1,,坂田　康季,佐　賀,7-4,"2,530円",(8),20251013,6R,小倉,7-4-1,"3,920円",(12)
Ｓ級予選,F1,,81,3,4,捲り,河合　佑弥,東　京,2,マーク,武藤　篤弘,埼　玉,7,,古川　尚耶,栃　木,4-2,400円,(1),20251013,7R,小倉,4-2-7,760円,(1)
Ｓ級予選,F1,,81,3,7,逃げ,室井蓮太朗,徳　島,1,マーク,田尾　駿介,高　知,3,,米嶋　恵介,岡　山,7-1,560円,(2),20251013,8R,小倉,7-1-3,740円,(2)
Ｓ級予選,F1,,81,3,3,捲り,堀内　俊介,神奈川,5,マーク,福島　栄一,香　川,2,,西田　将士,長　崎,3-5,"11,040円",(17),20251013,9R,小倉,3-5-2,"125,260円",(109)
Ｓ級予選,F1,,81,3,2,差し,恩田　淳平,群　馬,5,捲り,金子　幸央,栃　木,3,,近谷　涼,富　山,2-5,170円,(1),20251013,10R,小倉,2-5-3,"4,790円",(11)
Ｓ級予選,F1,,81,3,2,捲り,小川　丈太,徳　島,5,マーク,木村　隆弘,徳　島,1,,杉本　正隆,茨　城,2-5,"1,900円",(4),20251013,11R,小倉,2-5-1,"4,490円",(9)
