category,grade,kaisai_name,keirin_cd,meeting_icon,pos1_car_no,pos1_decision,pos1_name,pos1_region,pos2_car_no,pos2_decision,pos2_name,pos2_region,pos3_car_no,pos3_decision,pos3_name,pos3_region,quinella,quinella_payout,quinella_popularity,race_date,race_no,track,trifecta,trifecta_payout,trifecta_popularity
Ａ級一般,F1,,31,3,7,差し,山崎　光展,京　都,1,捲り,江端　隆司,福　井,3,,柳原　司,大　阪,7-1,"1,650円",(8),20240912,1R,松戸,7-1-3,"8,600円",(35)
Ａ級一般,F1,,31,3,4,逃げ,中武三四郎,大　阪,3,マーク,石貞　有基,兵　庫,2,,石田　宏樹,青　森,4-3,"1,870円",(5),20240912,2R,松戸,4-3-2,"11,350円",(30)
Ａ級準決勝,F1,,31,3,4,差し,飯田　辰哉,千　葉,1,捲り,遠藤　勝弥,静　岡,7,,坂本　拓也,福　島,4-1,810円,(3),20240912,3R,松戸,4-1-7,"2,620円",(5)
Ａ級準決勝,F1,,31,3,5,捲り,小嶋　敬二,石　川,2,差し,今井　聡,東　京,4,,小坂　丈,茨　城,5-2,330円,(1),20240912,4R,松戸,5-2-4,"1,600円",(3)
Ａ級準決勝,F1,,31,3,2,捲り,赤塚　悠人,山　形,7,逃げ,片桐　善也,新　潟,4,,出口謙一郎,岐　阜,2-7,"2,010円",(9),20240912,5R,松戸,2-7-4,"10,650円",(38)
Ｓ級一般,F1,,31,3,1,捲り,阿部　拓真,宮　城,2,捲り,土生　敦弘,大　阪,6,,高塩　讓次,栃　木,1-2,620円,(3),20240912,6R,松戸,1-2-6,"7,620円",(28)
Ｓ級一般,F1,,31,3,7,逃げ,山口　多聞,埼　玉,2,マーク,久木原　洋,埼　玉,3,,武田　憲祐,神奈川,7-2,190円,(1),20240912,7R,松戸,7-2-3,"1,440円",(4)
Ｓ級選抜,F1,,31,3,7,逃げ,五十嵐　綾,福　島,2,差し,中村　浩士,千　葉,1,,山口　泰生,岐　阜,7-2,"1,320円",(4),20240912,8R,松戸,7-2-1,"6,480円",(16)
Ｓ級選抜,F1,,31,3,1,逃げ,鈴木　庸之,新　潟,7,マーク,岡　光良,埼　玉,3,,田中　孝彦,静　岡,1-7,200円,(1),20240912,9R,松戸,1-7-3,"1,570円",(4)
Ｓ級準決勝,F1,,31,3,2,差し,尾形　鉄馬,宮　城,3,差し,上田　国広,三　重,4,,木村　弘,青　森,2-3,"4,750円",(20),20240912,10R,松戸,2-3-4,"14,860円",(55)
Ｓ級準決勝,F1,,31,3,4,差し,竹村　勇祐,秋　田,5,逃げ,脇本　勇希,福　井,1,,西村　光太,三　重,4-5,"13,430円",(31),20240912,11R,松戸,4-5-1,"68,430円",(138)
Ｓ級準決勝,F1,,31,3,7,逃げ,新田　祐大,福　島,1,マーク,佐藤　友和,岩　手,3,,寺沼　拓摩,東　京,7-1,190円,(1),20240912,12R,松戸,7-1-3,670円,(1)
Ａ級一般,F1,,46,1,5,逃げ,乾　庄平,滋　賀,1,マーク,川又　裕樹,鹿児島,4,,國武　耕二,佐　賀,5-1,"3,080円",(11),20240912,1R,富山,5-1-4,"6,600円",(26)
Ａ級一般,F1,,46,1,3,差し,布居　寛幸,和歌山,1,捲り,市本　隆司,広　島,4,,白川　有司,福　岡,3-1,980円,(4),20240912,2R,富山,3-1-4,"3,310円",(15)
Ａ級特選,F1,,46,1,4,差し,上吹越直樹,鹿児島,1,差し,坂本　匡洋,大　阪,6,,田村　風起,奈　良,4-1,570円,(1),20240912,3R,富山,4-1-6,"3,440円",(10)
Ａ級特選,F1,,46,1,7,捲り,奥出　良,石　川,4,マーク,伊藤　正樹,愛　知,5,,谷口　幸司,高　知,7-4,910円,(3),20240912,4R,富山,7-4-5,"5,040円",(12)
Ｓ級一般,F1,,46,1,1,差し,栗山　俊介,奈　良,6,逃げ,伊原　克彦,福　井,4,,佐藤　成人,奈　良,1-6,490円,(1),20240912,5R,富山,1-6-4,820円,(1)
Ｓ級一般,F1,,46,1,1,捲り,原口　昌平,福　岡,4,差し,畝木　努,岡　山,3,,西岡　正一,和歌山,1-4,"2,580円",(10),20240912,6R,富山,1-4-3,"16,310円",(50)
Ｓ級一般,F1,,46,1,4,捲り,竹澤　浩司,富　山,1,マーク,松崎　貴久,富　山,3,,横内　裕人,愛　媛,4-1,410円,(2),20240912,7R,富山,4-1-3,"3,250円",(7)
Ｓ級特選,F1,,46,1,2,逃げ,山本　奨,岡　山,6,マーク,吉永　好宏,広　島,3,,稲吉　悠大,福　岡,2-6,"3,220円",(12),20240912,8R,富山,2-6-3,"13,020円",(40)
Ｓ級特選,F1,,46,1,7,差し,原　誠宏,香　川,3,逃げ,竹内　翼,広　島,5,,三ツ石康洋,徳　島,7-3,270円,(1),20240912,9R,富山,7-3-5,400円,(1)
Ｓ級特選,F1,,46,1,2,差し,山内　卓也,愛　知,5,捲り,久米　康平,徳　島,1,,池田　憲昭,香　川,2-5,"4,050円",(15),20240912,10R,富山,2-5-1,"12,680円",(38)
Ａ級決勝,F1,,46,1,2,捲り,黒瀬浩太郎,広　島,3,逃げ,河崎　正晴,熊　本,5,,富永　益生,愛　知,2-3,"1,390円",(5),20240912,11R,富山,2-3-5,"20,360円",(85)
Ｓ級決勝,F1,,46,1,6,捲り,橋本　優己,岐　阜,1,マーク,川口公太朗,岐　阜,3,,松村　友和,大　阪,6-1,530円,(2),20240912,12R,富山,6-1-3,"1,840円",(3)
Ａ級一般,F1,,84,1,1,捲り,長松　大祐,大　分,7,マーク,安東　宏高,大　分,3,,山崎　岳志,佐　賀,1-7,270円,(2),20240912,1R,武雄,1-7-3,420円,(2)
Ａ級一般,F1,,84,1,1,捲り,寺沼　伊織,東　京,5,逃げ,梶原　大地,福　岡,4,,金野　俊秋,千　葉,1-5,"1,050円",(4),20240912,2R,武雄,1-5-4,"3,680円",(12)
Ａ級特選,F1,,84,1,1,差し,菅谷　隆司,東　京,4,逃げ,船瀬　惇平,広　島,3,,三宅　旬,岡　山,1-4,"3,110円",(13),20240912,3R,武雄,1-4-3,"8,360円",(28)
Ａ級特選,F1,,84,1,7,差し,小川　祐司,愛　媛,2,捲り,中野光太郎,徳　島,5,,中川　聖大,福　岡,7-2,"2,240円",(7),20240912,4R,武雄,7-2-5,"7,570円",(22)
Ｓ級一般,F1,,84,1,3,差し,中村　昌弘,広　島,5,逃げ,藤原俊太郎,岡　山,4,,丸山　貴秀,秋　田,3-5,340円,(1),20240912,5R,武雄,3-5-4,"1,410円",(5)
Ｓ級一般,F1,,84,1,7,差し,藤岡　隆治,徳　島,3,逃げ,上野　雅彦,香　川,1,,坂本　亮馬,福　岡,7-3,820円,(3),20240912,6R,武雄,7-3-1,"3,550円",(9)
Ｓ級一般,F1,,84,1,2,捲り,萩原　孝之,静　岡,7,マーク,山本　紳貴,千　葉,6,,越智　展孝,愛　媛,2-7,"1,070円",(4),20240912,7R,武雄,2-7-6,"4,810円",(15)
Ｓ級特選,F1,,84,1,6,差し,岸澤　賢太,埼　玉,7,捲り,菅原　大也,神奈川,5,,芦澤　大輔,茨　城,6-7,"22,010円",(38),20240912,8R,武雄,6-7-5,"73,470円",(153)
Ｓ級特選,F1,,84,1,5,差し,阪本　和也,長　崎,7,マーク,佐藤　康紀,青　森,3,,東矢　圭吾,熊　本,5-7,"6,550円",(24),20240912,9R,武雄,5-7-3,"12,000円",(42)
Ｓ級特選,F1,,84,1,1,差し,須永　優太,福　島,4,捲り,坂本　貴史,青　森,6,,坂本　周作,青　森,1-4,"3,560円",(15),20240912,10R,武雄,1-4-6,"6,820円",(20)
Ａ級決勝,F1,,84,1,5,差し,吉本　哲郎,広　島,6,差し,板崎　佑矢,愛　媛,4,,守谷　陽介,岡　山,5-6,940円,(2),20240912,11R,武雄,5-6-4,"1,920円",(1)
Ｓ級決勝,F1,,84,1,1,逃げ,松本秀之介,熊　本,2,マーク,成田　和也,福　島,7,,福島　武士,香　川,1-2,"1,000円",(2),20240912,12R,武雄,1-2-7,"4,220円",(9)
Ａ級チャレンジ予選,F2,,11,3,7,捲り,小川　辰徳,埼　玉,4,捲り,國井　裕樹,神奈川,2,,小田　恭介,青　森,7-4,"35,410円",(30),20240912,1R,函館,7-4-2,"78,550円",(104)
Ａ級チャレンジ予選,F2,,11,3,5,逃げ,森崎　英登,愛　知,7,マーク,塚本　貴雄,岐　阜,3,,牧田　賢也,福　島,5-7,120円,(1),20240912,2R,函館,5-7-3,800円,(2)
Ａ級チャレンジ予選,F2,,11,3,3,差し,三木　翔太,群　馬,4,逃げ,里見　恒平,千　葉,2,,角田　光,福　島,3-4,"56,370円",(27),20240912,3R,函館,3-4-2,"147,760円",(86)
Ａ級チャレンジ予選,F2,,11,3,1,逃げ,小堀　敢太,北海道,5,マーク,柴田　昌樹,愛　知,3,,相良　勝美,福　島,1-5,"4,490円",(6),20240912,4R,函館,1-5-3,"67,200円",(53)
Ａ級チャレンジ予選,F2,,11,3,3,逃げ,谷内　健太,京　都,4,マーク,坂本　佳憲,大　阪,7,,中川　博文,福　井,3-4,150円,(1),20240912,5R,函館,3-4-7,500円,(1)
