race_encp,race_date,track,race_no,grade,syumoku,syabanBgColorInfo,syabanCharColorInfo,syaban,wakuban,sensyuRegistNo,sensyuName,ketujyouTuikaHojyuColorInfo,ketujyouTuikaHojyu,huKen,prevKyuhan,kyuhan,kyakusitu,heikinTokuten,nigeCnt,makuriCnt,sasiCnt,markCnt,backCnt
II_18ke30tFAZvFi9_0G4LSdWIprKOEnc7I6du_cOdHJNqQk48CBBRv3u29Y6ot2,20240108,大宮,1,G3,Ｓ級一般,base_color_1_bk,base_color_1,1,,013482,松崎　貴久,,,富　山,A1,S2,追,93.48,0,2,8,4,0
II_18ke30tFAZvFi9_0G4LSdWIprKOEnc7I6du_cOdHJNqQk48CBBRv3u29Y6ot2,20240108,大宮,1,G3,Ｓ級一般,base_color_2_bk,base_color_2,2,,013993,佐藤　朋也,,,秋　田,S2,S2,両,97.68,0,1,1,0,1
II_18ke30tFAZvFi9_0G4LSdWIprKOEnc7I6du_cOdHJNqQk48CBBRv3u29Y6ot2,20240108,大宮,1,G3,Ｓ級一般,base_color_3_bk,base_color_3,3,,014849,宗崎　世連,,,高　知,S2,S2,逃,92.37,0,1,0,1,5
II_18ke30tFAZvFi9_0G4LSdWIprKOEnc7I6du_cOdHJNqQk48CBBRv3u29Y6ot2,20240108,大宮,1,G3,Ｓ級一般,base_color_4_bk,base_color_4,4,,014461,山中　秀将,,,千　葉,S2,S2,逃,90.00,0,0,0,0,0
II_18ke30tFAZvFi9_0G4LSdWIprKOEnc7I6du_cOdHJNqQk48CBBRv3u29Y6ot2,20240108,大宮,1,G3,Ｓ級一般,base_color_5_bk,base_color_5,5,,013868,岡崎　景介,,,広　島,A1,S2,逃,87.66,0,0,0,1,0
II_18ke30tFAZvFi9_0G4CzGOz2t1OWyTSOPG5FOeJ2E5UvYZmkEF6TJ6EUes6lc,20240108,大宮,2,G3,Ｓ級一般,base_color_1_bk,base_color_1,1,,014655,山口　翼,,,茨　城,S2,S2,逃,101.93,1,3,7,2,2
II_18ke30tFAZvFi9_0G4CzGOz2t1OWyTSOPG5FOeJ2E5UvYZmkEF6TJ6EUes6lc,20240108,大宮,2,G3,Ｓ級一般,base_color_2_bk,base_color_2,2,,012592,水谷　良和,,,愛　知,S2,S2,追,98.17,0,0,2,0,0
II_18ke30tFAZvFi9_0G4CzGOz2t1OWyTSOPG5FOeJ2E5UvYZmkEF6TJ6EUes6lc,20240108,大宮,2,G3,Ｓ級一般,base_color_3_bk,base_color_3,3,,014679,小玉　拓真,,,岡　山,S2,S2,逃,95.38,1,1,0,1,4
II_18ke30tFAZvFi9_0G4CzGOz2t1OWyTSOPG5FOeJ2E5UvYZmkEF6TJ6EUes6lc,20240108,大宮,2,G3,Ｓ級一般,base_color_4_bk,base_color_4,4,,012972,金子　貴志,,,愛　知,S2,S2,追,91.55,0,0,0,0,0
II_18ke30tFAZvFi9_0G4CzGOz2t1OWyTSOPG5FOeJ2E5UvYZmkEF6TJ6EUes6lc,20240108,大宮,2,G3,Ｓ級一般,base_color_5_bk,base_color_5,5,,015042,高橋　泰裕,color_blue,追加,埼　玉,S2,S2,両,93.36,0,0,2,2,0
