category,grade,kaisai_name,keirin_cd,meeting_icon,pos1_car_no,pos1_decision,pos1_name,pos1_region,pos2_car_no,pos2_decision,pos2_name,pos2_region,pos3_car_no,pos3_decision,pos3_name,pos3_region,quinella,quinella_payout,quinella_popularity,race_date,race_no,track,trifecta,trifecta_payout,trifecta_popularity
Ｓ級一般,G3,,84,1,4,捲り,福田　知也,神奈川,7,マーク,春日　勇人,千　葉,2,,上田　裕和,三　重,4-7,980円,(3),20250412,1R,武雄,4-7-2,"6,470円",(17)
Ｓ級一般,G3,,84,1,1,差し,中田　雄喜,福　島,8,差し,吉松　直人,高　知,3,,佐藤　成人,奈　良,1-8,"2,190円",(6),20250412,2R,武雄,1-8-3,"21,710円",(60)
Ｓ級一般,G3,,84,1,7,捲り,中島　詩音,山　梨,3,マーク,城　幸弘,山　梨,4,,山本　紳貴,千　葉,7-3,"1,290円",(4),20250412,3R,武雄,7-3-4,"2,140円",(3)
Ｓ級選抜,G3,,84,1,3,差し,庄子　信弘,宮　城,9,捲り,根本　哲吏,秋　田,5,,青柳　靖起,佐　賀,3-9,"3,000円",(14),20250412,4R,武雄,3-9-5,"11,110円",(36)
Ｓ級選抜,G3,,84,1,9,捲り,岡田　亮太,東　京,1,マーク,横山　尚則,茨　城,2,,渡口　勝成,山　口,9-1,"1,420円",(6),20250412,5R,武雄,9-1-2,"6,120円",(15)
Ｓ級選抜,G3,,84,1,7,差し,中村　圭志,熊　本,9,差し,坂田　康季,佐　賀,3,,友定　祐己,岡　山,7-9,910円,(3),20250412,6R,武雄,7-9-3,"4,170円",(10)
Ｓ級特選,G3,,84,1,1,差し,大槻　寛徳,宮　城,7,捲り,阿部　拓真,宮　城,5,,高橋　和也,愛　知,1-7,630円,(1),20250412,7R,武雄,1-7-5,"4,570円",(10)
Ｓ級特選,G3,,84,1,6,捲り,佐々木堅次,福　島,2,差し,中村　浩士,千　葉,3,,紺野　哲也,宮　城,6-2,"45,090円",(67),20250412,8R,武雄,6-2-3,"442,310円",(466)
Ｓ級特選,G3,,84,1,5,差し,橋本　強,愛　媛,9,逃げ,北津留　翼,福　岡,1,,山口　敦也,佐　賀,5-9,"2,110円",(8),20250412,9R,武雄,5-9-1,"2,810円",(6)
Ｓ級準決勝,G3,,84,1,3,差し,坂井　洋,栃　木,7,マーク,杉森　輝大,茨　城,1,,山田　久徳,京　都,3-7,"1,810円",(8),20250412,10R,武雄,3-7-1,"14,040円",(41)
Ｓ級準決勝,G3,,84,1,5,差し,山田　庸平,佐　賀,1,捲り,太田　海也,岡　山,6,,山口　貴弘,佐　賀,5-1,180円,(1),20250412,11R,武雄,5-1-6,"1,180円",(3)
Ｓ級準決勝,G3,,84,1,2,捲り,嘉永　泰斗,熊　本,5,マーク,園田　匠,福　岡,9,,高橋　築,東　京,2-5,"2,980円",(8),20250412,12R,武雄,2-5-9,"20,650円",(46)
Ａ級予選,F1,,12,3,2,逃げ,小坂　丈,茨　城,5,マーク,堀　政美,茨　城,7,,藤原　悠斗,岡　山,2-5,670円,(3),20250412,1R,青森,2-5-7,"3,800円",(12)
Ａ級予選,F1,,12,3,5,差し,竹内　真一,福　岡,1,捲り,田川　翔琉,熊　本,2,,吉永　和生,広　島,5-1,"1,350円",(7),20250412,2R,青森,5-1-2,"13,720円",(37)
Ａ級予選,F1,,12,3,4,逃げ,小笠原一真,青　森,1,マーク,寺林　正秋,宮　城,6,,下野　義城,愛　媛,4-1,250円,(1),20250412,3R,青森,4-1-6,"7,430円",(22)
Ａ級予選,F1,,12,3,6,逃げ,佐々木亮太,青　森,4,マーク,宇佐見裕輝,福　島,5,,神山　尚,栃　木,6-4,150円,(1),20250412,4R,青森,6-4-5,730円,(2)
Ａ級初日特選,F1,,12,3,4,捲り,薦田　将伍,愛　媛,1,マーク,木村　幸希,広　島,7,,樫山　恭柄,福　岡,4-1,780円,(3),20250412,5R,青森,4-1-7,"1,970円",(3)
Ｓ級予選,F1,,12,3,5,捲り,山根　慶太,岡　山,4,差し,安部　貴之,宮　城,6,,佐々木省司,青　森,5-4,"1,780円",(8),20250412,6R,青森,5-4-6,"15,520円",(50)
Ｓ級予選,F1,,12,3,1,差し,星野　洋輝,福　島,2,差し,那須　久幸,福　岡,7,,甲斐　俊祐,大　分,1-2,900円,(3),20250412,7R,青森,1-2-7,"2,140円",(3)
Ｓ級予選,F1,,12,3,7,差し,近藤　保,千　葉,1,捲り,山賀　雅仁,千　葉,3,,一丸　尚伍,大　分,7-1,450円,(2),20250412,8R,青森,7-1-3,"1,090円",(2)
Ｓ級予選,F1,,12,3,5,捲り,金子　幸央,栃　木,3,マーク,武田　豊樹,茨　城,2,,五十嵐　綾,福　島,5-3,370円,(2),20250412,9R,青森,5-3-2,"2,240円",(7)
Ｓ級予選,F1,,12,3,5,捲り,渡邉　一成,福　島,1,マーク,保科　千春,宮　城,2,,山本　奨,岡　山,5-1,400円,(2),20250412,10R,青森,5-1-2,"2,560円",(8)
Ｓ級予選,F1,,12,3,3,差し,井上　昌己,長　崎,1,逃げ,岩谷　拓磨,福　岡,5,,菅原　大也,神奈川,3-1,130円,(1),20250412,11R,青森,3-1-5,480円,(2)
Ｓ級初日特選,F1,,12,3,7,差し,松谷　秀幸,神奈川,1,捲り,雨谷　一樹,栃　木,6,,佐藤　礼文,茨　城,7-1,"1,940円",(7),20250412,12R,青森,7-1-6,"25,090円",(87)
Ａ級一般,F1,,22,3,2,逃げ,増田　利明,静　岡,5,マーク,小坂　敏之,栃　木,7,,金子　浩貴,京　都,2-5,170円,(1),20250412,1R,前橋,2-5-7,"2,180円",(5)
Ａ級一般,F1,,22,3,5,捲り,緑川　修平,福　島,4,差し,坂上　忠克,石　川,1,,中川　拓也,群　馬,5-4,"1,420円",(6),20250412,2R,前橋,5-4-1,"8,100円",(30)
Ａ級特選,F1,,22,3,7,差し,小林　卓人,大　阪,1,捲り,大森　光明,北海道,2,,堀　兼壽,岐　阜,7-1,"12,430円",(29),20250412,3R,前橋,7-1-2,"24,180円",(62)
