race_encp,race_date,track,race_no,grade,syumoku,syoriKbn,syusouInfoExistFlg,yudoSensyuName,raceResult1Syaban,raceResult2Syaban,backCnt1Syaban,backCnt2Syaban,lastUpdateTime
gIRMXgAGv6muOiBOKbDFDw9g2AAFEXrqXEEUqbebtetegbGPYHbWDIQ2az4NfKvB,20240401,宇都宮,1,F1,Ａ級予選,1,1,安達　隆己,5,1,2,7,2024/04/01 07:01&nbsp;更新
gIRMXgAGv6muOiBOKbDFD93CCG5fkraNgVN1345Fmo3DXI4VMpbDvWT1krHOkMFX,20240401,宇都宮,2,F1,Ａ級予選,1,1,栗原　稔貴,1,7,1,3,2024/04/01 07:01&nbsp;更新
gIRMXgAGv6muOiBOKbDFDxO7yHC-mLnQ-Vy4vSkrhUFlgnjkjg-objFZiwRWu9sz,20240401,宇都宮,3,F1,Ａ級予選,1,1,安達　隆己,7,2,7,1,2024/04/01 07:01&nbsp;更新
gIRMXgAGv6muOiBOKbDFD5a2xO4jljJsM275lWBypRlgXaSfSaVF9U3hRcIQU90x,20240401,宇都宮,4,F1,Ａ級予選,1,1,栗原　稔貴,2,4,1,5,2024/04/01 07:01&nbsp;更新
gIRMXgAGv6muOiBOKbDFD0IqFWPKhQKhXZqQJDR_Yow99ZiVFUqGIDjOEgl528DW,20240401,宇都宮,5,F1,Ａ級初日特選,1,1,安達　隆己,3,7,7,3,2024/04/01 07:01&nbsp;更新
gIRMXgAGv6muOiBOKbDFD-wYtpUsQbjIOENlaGLuUbjyaM0TA--OJk76Ky07qWh7,20240401,宇都宮,6,F1,Ｓ級予選,1,1,渡邉　藤男,1,3,6,3,2024/04/01 07:01&nbsp;更新
gIRMXgAGv6muOiBOKbDFD7GKJbX2E11iiOH1ie7Jma6KJ4ng07c-1FstQHLAEsZd,20240401,宇都宮,7,F1,Ｓ級予選,1,1,坂本将太郎,4,1,3,5,2024/04/01 07:01&nbsp;更新
gIRMXgAGv6muOiBOKbDFD30Ag02YQTRfzS9Ar2gaOX0isA3yfHZcJcEK5DXvisHL,20240401,宇都宮,8,F1,Ｓ級予選,1,1,真崎新太郎,1,7,4,6,2024/04/01 07:01&nbsp;更新
gIRMXgAGv6muOiBOKbDFD2NrmnydA5yGyYFOqt-jVgvznCUTIeey5KW3zhWF15om,20240401,宇都宮,9,F1,Ｓ級予選,1,1,渡邉　藤男,7,1,1,6,2024/04/01 07:01&nbsp;更新
gIRMXgAGv6muOiBOKbDFD69dVVTaIhqE39kvvgkuJKJccRLUaPOnux9QrKyZdiPx,20240401,宇都宮,10,F1,Ｓ級予選,1,1,坂本将太郎,4,1,6,1,2024/04/01 07:01&nbsp;更新
