category,grade,kaisai_name,keirin_cd,meeting_icon,pos1_car_no,pos1_decision,pos1_name,pos1_region,pos2_car_no,pos2_decision,pos2_name,pos2_region,pos3_car_no,pos3_decision,pos3_name,pos3_region,quinella,quinella_payout,quinella_popularity,race_date,race_no,track,trifecta,trifecta_payout,trifecta_popularity
Ｓ級一般,G3,,75,1,1,捲り,横内　裕人,愛　媛,5,差し,竹山　陵太,宮　城,7,,青井　賢治,徳　島,1-5,"3,470円",(13),20240810,1R,松山,1-5-7,"11,360円",(35)
Ｓ級一般,G3,,75,1,4,差し,稲吉　悠大,福　岡,5,差し,溪　飛雄馬,愛　媛,2,,岡崎　景介,広　島,4-5,"1,150円",(4),20240810,2R,松山,4-5-2,"2,430円",(4)
Ｓ級一般,G3,,75,1,7,差し,大野　悟郎,大　分,2,捲り,久島　尚樹,宮　崎,9,,今岡　徹二,広　島,7-2,"1,000円",(2),20240810,3R,松山,7-2-9,"3,610円",(5)
Ｓ級選抜,G3,,75,1,2,差し,松村　友和,大　阪,8,捲り,矢野　昌彦,栃　木,9,,北村　信明,徳　島,2-8,"14,100円",(39),20240810,4R,松山,2-8-9,"91,960円",(199)
Ｓ級選抜,G3,,75,1,3,逃げ,日高　裕太,静　岡,7,マーク,田中　晴基,千　葉,8,,武田　憲祐,神奈川,3-7,"1,030円",(3),20240810,5R,松山,3-7-8,"3,240円",(4)
Ｓ級選抜,G3,,75,1,2,逃げ,蕗澤鴻太郎,群　馬,5,マーク,志村　太賀,山　梨,8,,江連　和洋,栃　木,2-5,340円,(1),20240810,6R,松山,2-5-8,"1,190円",(1)
Ｓ級特選,G3,,75,1,9,捲り,池野　健太,兵　庫,1,マーク,藤田　勝也,和歌山,5,,岡　光良,埼　玉,9-1,510円,(2),20240810,7R,松山,9-1-5,"1,030円",(2)
Ｓ級特選,G3,,75,1,3,差し,石毛　克幸,千　葉,4,捲り,近藤　夏樹,千　葉,2,,松川　高大,熊　本,3-4,"3,420円",(13),20240810,8R,松山,3-4-2,"23,090円",(79)
Ｓ級特選,G3,,75,1,1,捲り,佐藤　一伸,福　島,7,マーク,川津　悠揮,北海道,5,,吉田　敏洋,愛　知,1-7,470円,(1),20240810,9R,松山,1-7-5,"3,190円",(6)
Ｓ級準決勝,G3,,75,1,9,捲り,片岡　迪之,岡　山,3,マーク,福島　武士,香　川,2,,宿口　潤平,埼　玉,9-3,780円,(2),20240810,10R,松山,9-3-2,"4,060円",(6)
Ｓ級準決勝,G3,,75,1,8,差し,原　誠宏,香　川,4,差し,吉田　智哉,愛　媛,1,,真鍋　智寛,愛　媛,8-4,"8,390円",(29),20240810,11R,松山,8-4-1,"40,980円",(127)
Ｓ級準決勝,G3,,75,1,3,捲り,新田　祐大,福　島,7,差し,坂本健太郎,福　岡,5,,飯野　祐太,福　島,3-7,690円,(2),20240810,12R,松山,3-7-5,"2,550円",(8)
Ａ級予選,F1,,26,1,7,差し,須藤　誠,千　葉,4,マーク,深澤　伸介,静　岡,2,,吉原　友彦,神奈川,7-4,660円,(2),20240810,1R,西武園,7-4-2,"1,420円",(2)
Ａ級予選,F1,,26,1,3,差し,田中　洋輔,宮　崎,4,捲り,長松　大祐,大　分,5,,高山　雄丞,愛　媛,3-4,290円,(2),20240810,2R,西武園,3-4-5,"1,220円",(4)
Ａ級予選,F1,,26,1,2,逃げ,鈴木　涼介,福　島,1,差し,徳吉　広紀,福　岡,3,,吉岡　篤志,徳　島,2-1,"1,560円",(4),20240810,3R,西武園,2-1-3,"8,950円",(25)
Ａ級予選,F1,,26,1,5,差し,蓮井　祐輝,香　川,7,捲り,和泉　尚吾,愛　媛,3,,守安　政雄,岡　山,5-7,550円,(2),20240810,4R,西武園,5-7-3,"1,240円",(4)
Ａ級初日特選,F1,,26,1,2,逃げ,荒木　貴大,埼　玉,5,マーク,阿久津　修,栃　木,4,,角　令央奈,福　岡,2-5,440円,(1),20240810,5R,西武園,2-5-4,"1,400円",(1)
Ｌ級ガールズ予選（第１走）,F1,,26,1,3,捲り,中野　咲,愛　知,7,マーク,林　真奈美,福　岡,1,,佐伯　智恵,愛　媛,3-7,320円,(1),20240810,6R,西武園,3-7-1,"1,210円",(3)
Ｌ級ガールズ予選（第１走）,F1,,26,1,6,逃げ,細田　愛未,埼　玉,3,マーク,田中　まい,千　葉,5,,磯村　光舞,山　口,6-3,400円,(2),20240810,7R,西武園,6-3-5,"1,520円",(5)
Ｓ級予選,F1,,26,1,5,逃げ,中嶋　宣成,長　野,3,捲り,阿部　拓真,宮　城,1,,伊勢崎彰大,千　葉,5-3,"1,380円",(5),20240810,8R,西武園,5-3-1,"9,790円",(25)
Ｓ級予選,F1,,26,1,1,差し,金子　幸央,栃　木,5,マーク,吉田　勇人,埼　玉,4,,照井　拓成,岩　手,1-5,270円,(1),20240810,9R,西武園,1-5-4,"1,540円",(4)
Ｓ級予選,F1,,26,1,2,逃げ,山本　修平,東　京,4,捲り,月森　亮輔,岡　山,6,,紺野　哲也,宮　城,2-4,"4,640円",(9),20240810,10R,西武園,2-4-6,"114,300円",(108)
Ｓ級予選,F1,,26,1,7,逃げ,野口　裕史,千　葉,5,マーク,中村　浩士,千　葉,1,,大西　祐,愛　媛,7-5,130円,(1),20240810,11R,西武園,7-5-1,660円,(2)
Ｓ級初日特選,F1,,26,1,5,逃げ,久田　裕也,徳　島,3,マーク,湊　聖二,徳　島,1,,塚本　大樹,熊　本,5-3,"1,180円",(3),20240810,12R,西武園,5-3-1,"8,460円",(27)
Ａ級予選,F1,,47,3,3,捲り,中村　翔平,福　岡,1,逃げ,中村　泰輔,和歌山,5,,肥後　尚己,大　阪,3-1,"1,730円",(9),20240810,1R,松阪,3-1-5,"5,380円",(18)
Ａ級予選,F1,,47,3,7,差し,高橋清太郎,岡　山,6,マーク,野崎　翼,岐　阜,4,,小竹　洋平,福　岡,7-6,"4,530円",(14),20240810,2R,松阪,7-6-4,"21,050円",(68)
Ａ級予選,F1,,47,3,5,差し,古川　貴之,佐　賀,7,捲り,板崎　佑矢,愛　媛,1,,黒田　大介,愛　媛,5-7,"1,970円",(4),20240810,3R,松阪,5-7-1,"20,010円",(59)
Ａ級予選,F1,,47,3,4,差し,大谷　靖茂,愛　知,1,逃げ,栗山　和樹,岐　阜,7,,真田　晃,兵　庫,4-1,330円,(2),20240810,4R,松阪,4-1-7,460円,(2)
Ａ級初日特選,F1,,47,3,4,差し,佐藤　健太,福　岡,1,マーク,本郷　雄三,熊　本,3,,安藤　直希,京　都,4-1,980円,(3),20240810,5R,松阪,4-1-3,"3,950円",(9)
Ｌ級ガールズ予選（第１走）,F1,,47,3,1,差し,松本　詩乃,東　京,3,捲り,永禮　美瑠,愛　知,6,,高本　美穂,熊　本,1-3,370円,(2),20240810,6R,松阪,1-3-6,"8,350円",(24)
Ｌ級ガールズ予選（第１走）,F1,,47,3,2,差し,野口諭実可,大　分,3,マーク,平子　結菜,三　重,6,,吉村早耶香,静　岡,2-3,"3,140円",(10),20240810,7R,松阪,2-3-6,"5,400円",(19)
Ｓ級予選,F1,,47,3,1,差し,不破　将登,岐　阜,5,差し,小西　晴己,三　重,4,,棚橋　勉,岡　山,1-5,430円,(1),20240810,8R,松阪,1-5-4,"2,280円",(8)
Ｓ級予選,F1,,47,3,7,差し,柳詰　正宏,福　岡,3,逃げ,瀬戸　栄作,長　崎,1,,吉松　直人,高　知,7-3,"1,420円",(6),20240810,9R,松阪,7-3-1,"6,620円",(23)
Ｓ級予選,F1,,47,3,4,逃げ,藤原俊太郎,岡　山,5,差し,上野　優太,熊　本,1,,平尾　一晃,長　崎,4-5,"4,980円",(14),20240810,10R,松阪,4-5-1,"25,220円",(58)
Ｓ級予選,F1,,47,3,1,捲り,山根　将太,岡　山,7,捲り,中西　大,和歌山,5,,戸田　洋平,岡　山,1-7,"1,400円",(4),20240810,11R,松阪,1-7-5,"2,590円",(7)
Ｓ級初日特選,F1,,47,3,5,差し,高久保雄介,京　都,4,差し,中村　圭志,熊　本,2,,松岡　篤哉,岐　阜,5-4,"3,270円",(14),20240810,12R,松阪,5-4-2,"19,040円",(67)
Ａ級チャレンジ予選,F2,,11,5,4,逃げ,福田　健太,宮　城,7,差し,岡田　哲夫,福　島,6,,鈴木　規純,福　島,4-7,"6,410円",(16),20240810,1R,函館,4-7-6,"11,860円",(35)
Ａ級チャレンジ予選,F2,,11,5,3,逃げ,貝原　涼太,栃　木,2,マーク,黒崎　直行,栃　木,4,,永山　英司,神奈川,3-2,350円,(1),20240810,2R,函館,3-2-4,"1,840円",(5)
