category,grade,kaisai_name,keirin_cd,meeting_icon,pos1_car_no,pos1_decision,pos1_name,pos1_region,pos2_car_no,pos2_decision,pos2_name,pos2_region,pos3_car_no,pos3_decision,pos3_name,pos3_region,quinella,quinella_payout,quinella_popularity,race_date,race_no,track,trifecta,trifecta_payout,trifecta_popularity
Ｓ級一般,G1,,35,3,6,捲り,原田研太朗,徳　島,3,差し,志智　俊夫,岐　阜,7,,河端　朋之,岡　山,6-3,"4,660円",(18),20240817,1R,平塚,6-3-7,"21,950円",(79)
Ｓ級一般,G1,,35,3,5,差し,神田　紘輔,大　阪,8,マーク,渡辺　十夢,福　井,6,,村田　祐樹,富　山,5-8,"2,890円",(11),20240817,2R,平塚,5-8-6,"13,700円",(43)
Ｓ級選抜（２）,G1,,35,3,1,逃げ,谷口　遼平,三　重,5,マーク,山口　富生,岐　阜,8,,横山　尚則,茨　城,1-5,"2,000円",(5),20240817,3R,平塚,1-5-8,"39,780円",(122)
Ｓ級選抜（２）,G1,,35,3,3,差し,園田　匠,福　岡,4,差し,石塚輪太郎,和歌山,6,,鈴木　裕,千　葉,3-4,"22,660円",(65),20240817,4R,平塚,3-4-6,"206,400円",(446)
Ｓ級特選（２）,G1,,35,3,2,差し,山崎　芳仁,福　島,9,捲り,佐々木悠葵,群　馬,3,,小川　勇介,福　岡,2-9,"2,030円",(7),20240817,5R,平塚,2-9-3,"20,730円",(67)
Ｓ級特選（２）,G1,,35,3,8,捲り,小原　佑太,青　森,7,捲り,野田　源一,福　岡,2,,成田　和也,福　島,8-7,"3,520円",(13),20240817,6R,平塚,8-7-2,"10,100円",(25)
Ｓ級特選（１）,G1,,35,3,5,差し,山田　英明,佐　賀,3,逃げ,北津留　翼,福　岡,6,,中本　匠栄,熊　本,5-3,"3,030円",(9),20240817,7R,平塚,5-3-6,"9,200円",(24)
Ｓ級特選（１）,G1,,35,3,2,差し,坂井　洋,栃　木,1,差し,三谷　将太,奈　良,7,,和田健太郎,千　葉,2-1,"2,910円",(10),20240817,8R,平塚,2-1-7,"7,230円",(19)
Ｓ級準決勝,G1,,35,3,3,逃げ,新山　響平,青　森,9,マーク,佐藤慎太郎,福　島,8,,渡部　幸訓,福　島,3-9,"2,370円",(8),20240817,9R,平塚,3-9-8,"5,230円",(8)
Ｓ級準決勝,G1,,35,3,4,捲り,松井　宏佑,神奈川,1,マーク,守澤　太志,秋　田,3,,眞杉　匠,栃　木,4-1,"2,590円",(11),20240817,10R,平塚,4-1-3,"11,510円",(38)
Ｓ級準決勝,G1,,35,3,5,逃げ,窓場千加頼,京　都,3,マーク,古性　優作,大　阪,2,,郡司　浩平,神奈川,5-3,"4,270円",(17),20240817,11R,平塚,5-3-2,"18,620円",(64)
Ａ級一般,F1,,22,1,5,捲り,鈴木　広人,神奈川,2,逃げ,宮崎　一彰,高　知,7,,近藤　直幹,徳　島,5-2,"2,260円",(10),20240817,1R,前橋,5-2-7,"6,190円",(22)
Ａ級一般,F1,,22,1,1,逃げ,吉松　賢二,群　馬,4,マーク,小室　貴広,茨　城,3,,是永　幸寛,福　岡,1-4,"1,560円",(4),20240817,2R,前橋,1-4-3,"4,990円",(16)
Ａ級準決勝,F1,,22,1,2,差し,森山　智徳,熊　本,7,差し,松本　卓也,徳　島,1,,増田　仁,広　島,2-7,"1,830円",(8),20240817,3R,前橋,2-7-1,"9,150円",(33)
Ａ級準決勝,F1,,22,1,2,差し,武藤　篤弘,埼　玉,3,捲り,渡邉　直弥,静　岡,5,,宇佐見優介,福　島,2-3,"1,950円",(10),20240817,4R,前橋,2-3-5,"6,140円",(21)
Ａ級準決勝,F1,,22,1,4,捲り,浮島　知稀,群　馬,3,マーク,坂本　拓也,福　島,6,,栗林　巧,青　森,4-3,540円,(3),20240817,5R,前橋,4-3-6,"3,070円",(12)
Ｓ級一般,F1,,22,1,7,マーク,江守　昇,千　葉,6,マーク,野口　大誠,熊　本,4,,上田　学,愛　媛,7-6,"8,160円",(25),20240817,6R,前橋,7-6-4,"43,140円",(124)
Ｓ級一般,F1,,22,1,1,逃げ,塩崎　隼秀,愛　媛,5,マーク,今野　大輔,岡　山,7,,土屋　壮登,埼　玉,1-5,280円,(1),20240817,7R,前橋,1-5-7,950円,(3)
Ｓ級選抜,F1,,22,1,2,逃げ,佐伯　亮輔,岡　山,1,差し,佐藤　康紀,青　森,6,,山崎　将幸,宮　城,2-1,"1,170円",(3),20240817,8R,前橋,2-1-6,"4,340円",(12)
Ｓ級選抜,F1,,22,1,7,差し,久島　尚樹,宮　崎,2,逃げ,畝木　努,岡　山,3,,金成　和幸,福　島,7-2,"4,130円",(12),20240817,9R,前橋,7-2-3,"18,040円",(41)
Ｓ級準決勝,F1,,22,1,2,差し,松岡　辰泰,熊　本,1,捲り,新村　穣,神奈川,4,,萩原　孝之,静　岡,2-1,"1,450円",(5),20240817,10R,前橋,2-1-4,"3,540円",(11)
Ｓ級準決勝,F1,,22,1,4,逃げ,武田　亮,東　京,2,マーク,寺沼　拓摩,東　京,1,,福島　武士,香　川,4-2,"3,190円",(11),20240817,11R,前橋,4-2-1,"15,230円",(45)
Ｓ級準決勝,F1,,22,1,1,逃げ,橋本　瑠偉,栃　木,5,マーク,芦澤　辰弘,茨　城,2,,近藤　保,千　葉,1-5,400円,(1),20240817,12R,前橋,1-5-2,"1,320円",(2)
Ａ級一般,F1,,42,1,4,捲り,野村　典嗣,愛　媛,2,差し,前田　義和,鹿児島,3,,櫻井　宏智,広　島,4-2,840円,(3),20240817,1R,名古屋,4-2-3,"2,110円",(6)
Ａ級一般,F1,,42,1,5,差し,清水　邦章,香　川,7,逃げ,村上　翔馬,兵　庫,2,,三浦　稔希,愛　知,5-7,"6,160円",(21),20240817,2R,名古屋,5-7-2,"17,120円",(46)
Ａ級準決勝,F1,,42,1,1,差し,松岡　孝高,熊　本,4,逃げ,石川　航大,宮　崎,2,,西村　豊,三　重,1-4,510円,(2),20240817,3R,名古屋,1-4-2,"2,000円",(5)
Ａ級準決勝,F1,,42,1,6,差し,高田　修汰,福　井,2,捲り,小川　祐司,愛　媛,4,,中川　聖大,福　岡,6-2,"3,430円",(12),20240817,4R,名古屋,6-2-4,"10,180円",(36)
Ａ級準決勝,F1,,42,1,1,差し,北野　良栄,愛　知,5,逃げ,吉川　起也,富　山,7,,福田　真平,愛　知,1-5,180円,(1),20240817,5R,名古屋,1-5-7,260円,(1)
Ｓ級一般,F1,,42,1,2,差し,松田　治之,大　阪,4,差し,山内　卓也,愛　知,1,,柴崎　俊光,三　重,2-4,"1,020円",(5),20240817,6R,名古屋,2-4-1,"5,720円",(20)
Ｓ級一般,F1,,42,1,3,差し,中野　雄喜,京　都,1,逃げ,門田　凌,愛　媛,6,,北川大五郎,大　阪,3-1,"2,650円",(11),20240817,7R,名古屋,3-1-6,"16,490円",(59)
Ｓ級選抜,F1,,42,1,5,差し,澤田　義和,兵　庫,1,捲り,張野　幸聖,和歌山,4,,小堺　浩二,石　川,5-1,"1,270円",(3),20240817,8R,名古屋,5-1-4,"4,160円",(12)
Ｓ級選抜,F1,,42,1,5,捲り,竹内　翼,広　島,2,差し,上田　裕和,三　重,6,,愛敬　博之,愛　知,5-2,"1,000円",(4),20240817,9R,名古屋,5-2-6,"5,120円",(18)
Ｓ級準決勝,F1,,42,1,1,逃げ,昼田　達哉,岡　山,5,マーク,池田　良,広　島,2,,神田　龍,三　重,1-5,"1,620円",(7),20240817,10R,名古屋,1-5-2,"5,080円",(16)
Ｓ級準決勝,F1,,42,1,3,逃げ,林　慶次郎,福　岡,5,マーク,吉本　卓仁,福　岡,2,,北村　信明,徳　島,3-5,440円,(2),20240817,11R,名古屋,3-5-2,820円,(2)
Ｓ級準決勝,F1,,42,1,1,逃げ,池野　健太,兵　庫,4,マーク,吉田　敏洋,愛　知,7,,山口　貴嗣,福　岡,1-4,310円,(1),20240817,12R,名古屋,1-4-7,"1,870円",(5)
Ａ級一般,F2,,21,5,1,差し,新井僚太郎,山　梨,4,マーク,齋藤　昌弘,群　馬,5,,渡邊　恭典,栃　木,1-4,410円,(1),20240817,1R,弥彦,1-4-5,"1,340円",(3)
Ａ級一般,F2,,21,5,2,差し,有賀　高士,石　川,4,マーク,柴田　祐也,岐　阜,5,,山田　和巧,神奈川,2-4,"2,220円",(8),20240817,2R,弥彦,2-4-5,"20,540円",(68)
Ａ級選抜,F2,,21,5,1,差し,田口　裕一,千　葉,2,捲り,國廣　哲治,埼　玉,4,,高橋　健太,静　岡,1-2,"1,180円",(4),20240817,3R,弥彦,1-2-4,"2,730円",(7)
Ａ級選抜,F2,,21,5,2,捲り,伊藤　太一,山　梨,6,マーク,手島　志誠,群　馬,5,,松根　真,東　京,2-6,"1,460円",(4),20240817,4R,弥彦,2-6-5,"3,030円",(6)
Ａ級準決勝,F2,,21,5,1,差し,城　幸弘,山　梨,2,捲り,菅谷　隆司,東　京,5,,宮内　善光,群　馬,1-2,390円,(1),20240817,5R,弥彦,1-2-5,760円,(1)
