race_encp,race_date,track,race_no,grade,syumoku,syabanBgColorInfo,syabanCharColorInfo,syaban,wakuban,sensyuRegistNo,sensyuName,ketujyouTuikaHojyuColorInfo,ketujyouTuikaHojyu,huKen,prevKyuhan,kyuhan,kyakusitu,heikinTokuten,nigeCnt,makuriCnt,sasiCnt,markCnt,backCnt
hHQoBSTIFmBY5TBll3-vbvZj4iS8P2rLLxGiTwIK8eIPrfqZc0nl15pmTRqyG1QB,20240301,玉野,1,G3,Ｓ級選抜,base_color_1_bk,base_color_1,1,1,014399,佐川　翔吾,,,大　阪,S2,S2,逃,98.39,2,2,2,0,2
hHQoBSTIFmBY5TBll3-vbvZj4iS8P2rLLxGiTwIK8eIPrfqZc0nl15pmTRqyG1QB,20240301,玉野,1,G3,Ｓ級選抜,base_color_2_bk,base_color_2,2,2,013495,友定　祐己,color_blue,追加,岡　山,S2,S2,追,98.37,0,0,4,0,0
hHQoBSTIFmBY5TBll3-vbvZj4iS8P2rLLxGiTwIK8eIPrfqZc0nl15pmTRqyG1QB,20240301,玉野,1,G3,Ｓ級選抜,base_color_3_bk,base_color_3,3,3,014081,田中　晴基,,,千　葉,S2,S1,追,103.58,0,0,1,3,1
hHQoBSTIFmBY5TBll3-vbvZj4iS8P2rLLxGiTwIK8eIPrfqZc0nl15pmTRqyG1QB,20240301,玉野,1,G3,Ｓ級選抜,base_color_4_bk,base_color_4,4,4,014981,磯島　康祐,,,青　森,S2,S2,逃,96.04,1,0,1,1,3
hHQoBSTIFmBY5TBll3-vbvZj4iS8P2rLLxGiTwIK8eIPrfqZc0nl15pmTRqyG1QB,20240301,玉野,1,G3,Ｓ級選抜,base_color_5_bk,base_color_5,5,4,014253,伊藤　信,,,大　阪,S1,S1,逃,104.52,1,7,0,0,1
hHQoBSTIFmBY5TBll3-vbvZj4iS8P2rLLxGiTwIK8eIPrfqZc0nl15pmTRqyG1QB,20240301,玉野,1,G3,Ｓ級選抜,base_color_6_bk,base_color_6,6,5,015060,滝本　泰行,color_blue,補充,岡　山,A1,S2,逃,94.32,1,1,4,0,7
hHQoBSTIFmBY5TBll3-vbvZj4iS8P2rLLxGiTwIK8eIPrfqZc0nl15pmTRqyG1QB,20240301,玉野,1,G3,Ｓ級選抜,base_color_7_bk,base_color_7,7,5,012786,佐藤　康紀,,,青　森,S2,S2,追,99.69,0,0,1,0,0
hHQoBSTIFmBY5TBll3-vbvZj4iS8P2rLLxGiTwIK8eIPrfqZc0nl15pmTRqyG1QB,20240301,玉野,1,G3,Ｓ級選抜,base_color_8_bk,base_color_8,8,6,014983,高木　翔,,,岩　手,A1,S2,両,94.44,0,0,2,1,0
hHQoBSTIFmBY5TBll3-vbvZj4iS8P2rLLxGiTwIK8eIPrfqZc0nl15pmTRqyG1QB,20240301,玉野,1,G3,Ｓ級選抜,base_color_9_bk,base_color_9,9,6,015619,日高　裕太,,,静　岡,S2,S2,逃,100.30,7,0,0,0,9
hHQoBSTIFmBY5TBll3-vbiNJ4pwpl2Ncd-fOmJnzJMCsqjEl6F72TDl1dKPKKv90,20240301,玉野,2,G3,Ｓ級選抜,base_color_1_bk,base_color_1,1,1,014082,高橋　雅之,,,千　葉,S2,S2,追,98.76,0,0,1,2,0
