category,grade,kaisai_name,keirin_cd,meeting_icon,pos1_car_no,pos1_decision,pos1_name,pos1_region,pos2_car_no,pos2_decision,pos2_name,pos2_region,pos3_car_no,pos3_decision,pos3_name,pos3_region,quinella,quinella_payout,quinella_popularity,race_date,race_no,track,trifecta,trifecta_payout,trifecta_popularity
Ａ級一般,F1,,23,1,2,差し,吉岡　篤志,徳　島,5,逃げ,井寺　亮太,長　崎,4,,乾　庄平,滋　賀,2-5,300円,(1),20250312,1R,取手,2-5-4,540円,(1)
Ａ級一般,F1,,23,1,4,差し,芳野　匠,愛　媛,2,捲り,牛田樹希斗,愛　知,7,,山根　泰道,岡　山,4-2,"4,890円",(17),20250312,2R,取手,4-2-7,"23,660円",(63)
Ａ級特選,F1,,23,1,2,捲り,小柳　智徳,長　崎,4,捲り,荒川　仁,千　葉,7,,助川翔太郎,埼　玉,2-4,"1,360円",(4),20250312,3R,取手,2-4-7,"7,430円",(23)
Ａ級特選,F1,,23,1,1,差し,早坂　秀悟,茨　城,3,差し,愛敬　博之,愛　知,7,,塚本　和宏,栃　木,1-3,"1,560円",(6),20250312,4R,取手,1-3-7,"8,710円",(29)
Ｌ級ガールズ一般,F1,,23,1,6,捲り,高木　佑真,神奈川,3,マーク,田口　梓乃,山　口,4,,佐々木恵理,愛　知,6-3,"2,160円",(8),20250312,5R,取手,6-3-4,"9,330円",(37)
Ｓ級一般,F1,,23,1,2,捲り,中村　一将,兵　庫,3,捲り,一戸　康宏,埼　玉,5,,大木　雅也,静　岡,2-3,"2,240円",(12),20250312,6R,取手,2-3-5,"20,540円",(92)
Ｓ級一般,F1,,23,1,1,逃げ,格清　洋介,静　岡,7,マーク,平原　啓多,埼　玉,5,,小西　晴己,三　重,1-7,210円,(1),20250312,7R,取手,1-7-5,"2,560円",(7)
Ｓ級特選,F1,,23,1,6,逃げ,吉田　昌司,茨　城,5,捲り,大石　剣士,静　岡,1,,稲垣　裕之,京　都,6-5,"13,740円",(36),20250312,8R,取手,6-5-1,"66,420円",(162)
Ｓ級特選,F1,,23,1,1,捲り,木村　皆斗,茨　城,7,差し,川口公太朗,岐　阜,2,,須永　優太,福　島,1-7,640円,(2),20250312,9R,取手,1-7-2,"3,410円",(9)
Ｌ級ガールズ決勝,F1,,23,1,3,差し,久米　詩,静　岡,2,逃げ,奥井　迪,東　京,6,,宇野　紅音,岐　阜,3-2,200円,(1),20250312,10R,取手,3-2-6,470円,(1)
Ａ級決勝,F1,,23,1,4,逃げ,菊地　圭,宮　城,1,マーク,三澤　康人,宮　城,2,,大矢　将大,埼　玉,4-1,"1,430円",(5),20250312,11R,取手,4-1-2,"2,510円",(6)
Ｓ級決勝,F1,,23,1,2,捲り,深谷　知広,静　岡,3,差し,纐纈　洸翔,愛　知,4,,大川　剛,青　森,2-3,590円,(2),20250312,12R,取手,2-3-4,"2,320円",(7)
Ａ級一般,F1,,83,3,6,捲り,戸田　康平,香　川,3,マーク,清水　邦章,香　川,2,,添田　龍児,神奈川,6-3,"2,300円",(8),20250312,1R,久留米,6-3-2,"16,640円",(43)
Ａ級一般,F1,,83,3,7,差し,大利　航平,和歌山,1,捲り,高田　修汰,福　井,6,,玉村　元気,香　川,7-1,540円,(2),20250312,2R,久留米,7-1-6,"5,490円",(17)
Ａ級特選,F1,,83,3,1,捲り,栗本　尚宗,千　葉,5,マーク,成清　貴之,千　葉,2,,大島　将人,福　島,1-5,420円,(2),20250312,3R,久留米,1-5-2,"1,360円",(2)
