category,grade,kaisai_name,keirin_cd,meeting_icon,pos1_car_no,pos1_decision,pos1_name,pos1_region,pos2_car_no,pos2_decision,pos2_name,pos2_region,pos3_car_no,pos3_decision,pos3_name,pos3_region,quinella,quinella_payout,quinella_popularity,race_date,race_no,track,trifecta,trifecta_payout,trifecta_popularity
Ｓ級一般,G3,,24,1,2,捲り,格清　洋介,静　岡,7,マーク,齋藤登志信,宮　城,3,,松本　憲斗,熊　本,2-7,470円,(1),20250517,1R,宇都宮,2-7-3,"3,120円",(3)
Ｓ級一般,G3,,24,1,5,差し,岡田　征陽,東　京,1,逃げ,日高　裕太,静　岡,8,,安部　達也,埼　玉,5-1,370円,(1),20250517,2R,宇都宮,5-1-8,"1,250円",(1)
Ｓ級一般,G3,,24,1,7,差し,武田　亮,東　京,5,差し,荻原　尚人,宮　城,1,,佐伯　亮輔,岡　山,7-5,"3,860円",(17),20250517,3R,宇都宮,7-5-1,"14,260円",(54)
Ｓ級選抜,G3,,24,1,2,差し,中村　浩士,千　葉,4,逃げ,原田　亮太,千　葉,5,,佐藤　幸治,長　崎,2-4,"3,250円",(13),20250517,4R,宇都宮,2-4-5,"26,710円",(76)
Ｓ級選抜,G3,,24,1,9,差し,戸田　洋平,岡　山,7,マーク,竹山　陵太,宮　城,2,,久米　康平,徳　島,9-7,"25,240円",(51),20250517,5R,宇都宮,9-7-2,"185,660円",(290)
Ｓ級選抜,G3,,24,1,2,差し,藤井　昭吾,滋　賀,5,マーク,大洞　翔平,岐　阜,3,,佐藤慎太郎,福　島,2-5,"1,700円",(5),20250517,6R,宇都宮,2-5-3,"4,390円",(10)
Ｓ級特選,G3,,24,1,5,差し,山口　富生,岐　阜,3,捲り,中井　太祐,奈　良,8,,長松　空吾,大　分,5-3,"1,680円",(5),20250517,7R,宇都宮,5-3-8,"36,650円",(93)
Ｓ級特選,G3,,24,1,3,逃げ,岡田　亮太,東　京,6,差し,池田　勇人,埼　玉,4,,柴田　洋輔,東　京,3-6,"13,910円",(48),20250517,8R,宇都宮,3-6-4,"23,470円",(76)
Ｓ級特選,G3,,24,1,3,捲り,原田研太朗,徳　島,9,差し,雨谷　一樹,栃　木,1,,黒沢　征治,埼　玉,3-9,"1,210円",(4),20250517,9R,宇都宮,3-9-1,"3,870円",(9)
Ｓ級準決勝,G3,,24,1,2,差し,坂井　洋,栃　木,3,マーク,阿部　拓真,宮　城,9,,清水　裕友,山　口,2-3,"3,710円",(15),20250517,10R,宇都宮,2-3-9,"24,270円",(68)
Ｓ級準決勝,G3,,24,1,7,捲り,嘉永　泰斗,熊　本,4,捲り,小森　貴大,福　井,5,,伏見　俊昭,福　島,7-4,"32,890円",(54),20250517,11R,宇都宮,7-4-5,"367,780円",(399)
Ｓ級準決勝,G3,,24,1,5,マーク,神山　拓弥,栃　木,3,マーク,小原　太樹,神奈川,9,,大塚　玲,神奈川,5-3,"10,860円",(22),20250517,12R,宇都宮,5-3-9,"127,120円",(164)
Ａ級一般,F1,,34,3,3,差し,隅　貴史,山　口,1,逃げ,山崎　晃,石　川,2,,佐山　俊樹,埼　玉,3-1,490円,(2),20250517,1R,川崎,3-1-2,"1,020円",(1)
Ａ級一般,F1,,34,3,1,差し,中込　健太,秋　田,7,逃げ,照井　力斗,岩　手,5,,阿部　充宏,山　口,1-7,240円,(1),20250517,2R,川崎,1-7-5,"1,370円",(5)
Ａ級特選,F1,,34,3,4,捲り,村上　翔馬,兵　庫,2,マーク,金子　貴志,愛　知,7,,松本　卓也,徳　島,4-2,440円,(2),20250517,3R,川崎,4-2-7,"1,550円",(3)
Ａ級特選,F1,,34,3,1,差し,高本　和也,神奈川,7,捲り,松本　京太,静　岡,5,,石田　洋秀,広　島,1-7,240円,(1),20250517,4R,川崎,1-7-5,"1,770円",(5)
Ｓ級一般,F1,,34,3,1,捲り,森山　智徳,熊　本,2,差し,宿口　潤平,埼　玉,3,,浮島　知稀,群　馬,1-2,"2,450円",(7),20250517,5R,川崎,1-2-3,"6,240円",(13)
Ｓ級一般,F1,,34,3,3,差し,伊東　翔貴,福　島,2,捲り,棚瀬　義大,岐　阜,5,,吉田　健市,愛　知,3-2,"2,220円",(9),20250517,6R,川崎,3-2-5,"11,110円",(40)
Ｓ級一般,F1,,34,3,4,差し,荒木　貴大,埼　玉,3,マーク,武藤　篤弘,埼　玉,5,,近藤　隆司,千　葉,4-3,610円,(2),20250517,7R,川崎,4-3-5,"5,600円",(18)
