race_encp,race_date,track,race_no,grade,syumoku,syoriKbn,syusouInfoExistFlg,yudoSensyuName,raceResult1Syaban,raceResult2Syaban,backCnt1Syaban,backCnt2Syaban,lastUpdateTime
II_18ke30tFAZvFi9_0G4LSdWIprKOEnc7I6du_cOdHJNqQk48CBBRv3u29Y6ot2,20240108,大宮,1,G3,Ｓ級一般,1,1,渡邊　政幸,2,1,3,2,2024/01/08 07:02&nbsp;更新
II_18ke30tFAZvFi9_0G4CzGOz2t1OWyTSOPG5FOeJ2E5UvYZmkEF6TJ6EUes6lc,20240108,大宮,2,G3,Ｓ級一般,1,1,大澤　裕之,1,2,3,1,2024/01/08 07:02&nbsp;更新
II_18ke30tFAZvFi9_0G4HjnIw4b5LeiJjBWqIUpxH7Ip6O3gbWlGWK2OPr99gvG,20240108,大宮,3,G3,Ｓ級一般,1,1,渡邊　政幸,5,4,3,1,2024/01/08 07:02&nbsp;更新
II_18ke30tFAZvFi9_0G4Pb33YEpx_Z5HaLvwTTYYa0UecbJRNHjnl2pGhsyv8Nt,20240108,大宮,4,G3,Ｓ級選抜,1,1,大澤　裕之,1,2,2,8,2024/01/08 07:02&nbsp;更新
II_18ke30tFAZvFi9_0G4JTXFBUbkEFC9_4KKEhTI5qW9NQpEUm5vuyC-Y3v8Gz1,20240108,大宮,5,G3,Ｓ級選抜,1,1,伊藤　亮,1,9,2,3,2024/01/08 07:02&nbsp;更新
II_18ke30tFAZvFi9_0G4PFJ6inv3jkvJqrHfUgbLWf6pe-zMb_QIrk1TozBMmUF,20240108,大宮,6,G3,Ｓ級選抜,1,1,小島　雅章,2,3,8,2,2024/01/08 07:02&nbsp;更新
II_18ke30tFAZvFi9_0G4MCtSrcpEk3WFiLSAOaccKEH1PqTj7BRcJauHkKskcUT,20240108,大宮,7,G3,Ｓ級特選,1,1,岡　光良,3,5,3,2,2024/01/08 07:02&nbsp;更新
II_18ke30tFAZvFi9_0G4L5kyfXMBLvM21tclkRSqgnt8_DS29wnjEdfIfHACifb,20240108,大宮,8,G3,Ｓ級特選,1,1,渡邊　政幸,1,9,9,6,2024/01/08 07:02&nbsp;更新
II_18ke30tFAZvFi9_0G4NC-CiT1Ct2hZSE81GzC8cj2oaWqAacrtMgZJ022Y38L,20240108,大宮,9,G3,Ｓ級特選,1,1,大澤　裕之,2,7,2,3,2024/01/08 07:02&nbsp;更新
II_18ke30tFAZvFi9_0G4OfgMKauOMjBgIFVIHw5h8SLo-ag-vSBAYtvohgHrn83,20240108,大宮,10,G3,Ｓ級特別優秀,1,1,小島　雅章,9,7,3,"5,6",2024/01/08 07:02&nbsp;更新
II_18ke30tFAZvFi9_0G4HP_xAhD7uh8dXQFvsLl5IKLPUDa_AQHT2trGZ1jma2p,20240108,大宮,11,G3,Ｓ級特別優秀,1,1,岡　光良,3,9,9,8,2024/01/08 07:02&nbsp;更新
II_18ke30tFAZvFi9_0G4O9thXZxJ_gI4fFpHb4HCSOMws3_aamZKcvORh8qDVRo,20240108,大宮,12,G3,Ｓ級決勝,1,1,伊藤　亮,2,1,3,8,2024/01/08 07:02&nbsp;更新
smk0n7SBH_a9mcIxlw8veophcIN6tIZr6_gAusIAH7IUdEq4viHoszf2nzbWlGds,20240108,伊東,1,F1,Ａ級一般,1,1,斯波　雅貴,3,5,1,4,2024/01/08 07:02&nbsp;更新
smk0n7SBH_a9mcIxlw8vekNP480YgyHkhmgkbSFE69VGPUnFAK7xcI-03jJ5--Kw,20240108,伊東,2,F1,Ａ級一般,1,1,深瀬　泰我,2,3,1,5,2024/01/08 07:02&nbsp;更新
smk0n7SBH_a9mcIxlw8vethnocDL64DBqgj6bgiiHcfUkBArQNydA9tB06BZvcEv,20240108,伊東,3,F1,Ａ級特選,1,1,道場　晃規,2,1,3,5,2024/01/08 07:02&nbsp;更新
smk0n7SBH_a9mcIxlw8vem7yD9Vnr6kG6yUmPvRz-xvjqwVtqoWdWkf-JJwvNj4F,20240108,伊東,4,F1,Ａ級特選,1,1,田中　孝彦,7,1,1,6,2024/01/08 07:02&nbsp;更新
smk0n7SBH_a9mcIxlw8vers5G3-iyYOgzhOfCn5tZWOlFluPmOx25gO7GgVo9crw,20240108,伊東,5,F1,Ｓ級一般,1,1,斯波　雅貴,5,2,2,4,2024/01/08 07:02&nbsp;更新
smk0n7SBH_a9mcIxlw8vetNmdGlzuIXQsSe9MBehzYQHwqDFyPwWJtaG9GewP5Xi,20240108,伊東,6,F1,Ｓ級一般,1,1,遠藤　勝行,2,1,4,1,2024/01/08 07:02&nbsp;更新
smk0n7SBH_a9mcIxlw8vejAmRktWn9lzo9lEeTjoQiWnzxJ2pgV044q-ywuTed85,20240108,伊東,7,F1,Ｓ級一般,1,1,道場　晃規,5,2,5,6,2024/01/08 07:02&nbsp;更新
smk0n7SBH_a9mcIxlw8vepSwAomfEI2S-Kfk2pJpFO_XWWafDbMSkxpec9TNf1VV,20240108,伊東,8,F1,Ｓ級特選,1,1,斯波　雅貴,3,4,2,3,2024/01/08 07:02&nbsp;更新
smk0n7SBH_a9mcIxlw8vekIlZPLqLc0pEFSDOHtsf3DtSD4YdGcajGlJ64XGaB9c,20240108,伊東,9,F1,Ｓ級特選,1,1,深瀬　泰我,1,3,"3,7",,2024/01/08 07:02&nbsp;更新
smk0n7SBH_a9mcIxlw8veklYERboVcM3Phh5pOtIdGHKaUewyn3itzSkcU-CJWSR,20240108,伊東,10,F1,Ｓ級特選,1,1,遠藤　勝行,1,4,6,7,2024/01/08 07:02&nbsp;更新
smk0n7SBH_a9mcIxlw8veq_z9gIlubKXCTI2oTsb8wQOYV7tCbNZJWlVMQMEqU4e,20240108,伊東,11,F1,Ａ級決勝,1,1,田中　孝彦,5,4,7,5,2024/01/08 07:02&nbsp;更新
smk0n7SBH_a9mcIxlw8veiqm5p-FQ0q0riQG1psRXr73QsM6bGi1wrImQ80qGmxY,20240108,伊東,12,F1,Ｓ級決勝,1,1,道場　晃規,2,4,1,3,2024/01/08 07:02&nbsp;更新
UosXmmT46sas3f00b2K8zJJGuAUS3dQwHzRXceVbrhd_mCRTV0Qk9hk8TS4HisJE,20240108,岸和田,1,F1,Ａ級一般,1,1,井上　将志,1,2,4,"1,6",2024/01/08 07:02&nbsp;更新
UosXmmT46sas3f00b2K8zOo6P3yegGN4bNVgrMyAkpUXnWmvm8G6X9DqrJYcg8pP,20240108,岸和田,2,F1,Ａ級一般,1,1,中武三四郎,7,5,3,4,2024/01/08 07:02&nbsp;更新
UosXmmT46sas3f00b2K8zEHZHRiPguWjc8e9SpTIr-kqr5jckluMgHhw6uM1kd-E,20240108,岸和田,3,F1,Ａ級準決勝,1,1,伊藤　成紀,2,1,7,5,2024/01/08 07:02&nbsp;更新
UosXmmT46sas3f00b2K8zMJ4phFZcoO00r0LW5bYYdODhDSDTs7CFrVE_UKnuUxL,20240108,岸和田,4,F1,Ａ級準決勝,1,1,井上　将志,2,1,5,2,2024/01/08 07:02&nbsp;更新
UosXmmT46sas3f00b2K8zBIBJP1C40-we0nnp_9daKINEMlDaHjZBjhpN631n2Va,20240108,岸和田,5,F1,Ａ級準決勝,1,1,志水　祐彦,5,4,1,4,2024/01/08 07:02&nbsp;更新
UosXmmT46sas3f00b2K8zMktQFh88iBbkFh5wyMo86xU-qyc3B2UYM7_JwGhp3uK,20240108,岸和田,6,F1,Ｓ級一般,1,1,原田　隆,2,4,2,1,2024/01/08 07:02&nbsp;更新
UosXmmT46sas3f00b2K8zCgvQaWQEiFNunZu9J3Rigb78T3WCbaGxXeuS732pDV2,20240108,岸和田,7,F1,Ｓ級一般,1,1,伊藤　成紀,1,2,6,3,2024/01/08 07:02&nbsp;更新
UosXmmT46sas3f00b2K8zL-DjbZJAY-11YUbZzjemS0jEuBCjOTSzoNweaiKFORV,20240108,岸和田,8,F1,Ｓ級選抜,1,1,原田　隆,3,1,3,5,2024/01/08 07:02&nbsp;更新
UosXmmT46sas3f00b2K8zOEEVjI3WmNKakwCdauQeKhRUcR8qx8qs7kqU9IFTJBb,20240108,岸和田,9,F1,Ｓ級選抜,1,1,中武三四郎,2,1,2,7,2024/01/08 07:02&nbsp;更新
UosXmmT46sas3f00b2K8zPZbyXCzgGJO9aYXsyW2OqoF6-p_TT_hufDRG7ra_bk8,20240108,岸和田,10,F1,Ｓ級準決勝,1,1,伊藤　成紀,7,1,5,6,2024/01/08 07:02&nbsp;更新
UosXmmT46sas3f00b2K8zGP8XfH_AFRAz_Qd-_HQmGDL8EVXMm7DbtxCbNhkxumY,20240108,岸和田,11,F1,Ｓ級準決勝,1,1,志水　祐彦,5,1,7,3,2024/01/08 07:02&nbsp;更新
UosXmmT46sas3f00b2K8zA_TUhHxNp9v-izT-73fSOwkp1v_n3vazrRsQiBV79yX,20240108,岸和田,12,F1,Ｓ級準決勝,1,1,原田　隆,1,5,3,4,2024/01/08 07:02&nbsp;更新
L-h0DRY0KFM8zxiuG3qDbAQ4mAY5uq-UfaHbJlU8WEm_zKGU7dL2J8OmbnnmeC_2,20240108,松山,1,F1,Ａ級予選,1,1,升澤　祥晃,2,1,6,5,2024/01/08 07:02&nbsp;更新
L-h0DRY0KFM8zxiuG3qDbODolJOwQJFUASOAym1nb96yjFi0EVtpkC4BNxvY3Exb,20240108,松山,2,F1,Ａ級予選,1,1,板崎　佑矢,1,4,"1,5",,2024/01/08 07:02&nbsp;更新
L-h0DRY0KFM8zxiuG3qDbJm_qIYRW86zEkJCN923w5nr4Utu6rhdaRQ8_w148qRL,20240108,松山,3,F1,Ａ級予選,1,1,小川　祐司,2,7,3,2,2024/01/08 07:02&nbsp;更新
L-h0DRY0KFM8zxiuG3qDbKZ60OWCl7vO_yXIn7pYMojuWlVkpJ54_n4mPYyVhQhE,20240108,松山,4,F1,Ａ級予選,1,1,宇根　秀俊,5,1,"2,3",,2024/01/08 07:02&nbsp;更新
L-h0DRY0KFM8zxiuG3qDbD6JyQCj6bGbSmLjaobU06DvuWRC0wKLrkIm4OVMHVSy,20240108,松山,5,F1,Ａ級初日特選,1,1,溪　飛雄馬,2,7,2,5,2024/01/08 07:02&nbsp;更新
L-h0DRY0KFM8zxiuG3qDbLdib0A2gN0rRWQVdpQjxK8aL9jyaGwD8jwT0Tt3_qdj,20240108,松山,6,F1,Ｌ級ガールズ予選（第１走）,1,1,升澤　祥晃,1,7,4,"1,2,7",2024/01/08 07:02&nbsp;更新
L-h0DRY0KFM8zxiuG3qDbGghP5V23d3AjmwIfkop0ltUzk1Bwndq4y1HmYRmwLfT,20240108,松山,7,F1,Ｌ級ガールズ予選（第１走）,1,1,板崎　佑矢,4,6,1,"2,6",2024/01/08 07:02&nbsp;更新
L-h0DRY0KFM8zxiuG3qDbHqrlOe5swj6l0oFwpr6F0zTyFz5zvanckADXZaGKwGS,20240108,松山,8,F1,Ｓ級予選,1,1,宇根　秀俊,1,3,7,"2,5",2024/01/08 07:02&nbsp;更新
L-h0DRY0KFM8zxiuG3qDbFJl76Qp1bHmTOOtw6EMQOe0dtO-lkU6DB1gpgomXfGJ,20240108,松山,9,F1,Ｓ級予選,1,1,小川　祐司,1,3,5,2,2024/01/08 07:02&nbsp;更新
L-h0DRY0KFM8zxiuG3qDbBRcabEF7a12k_iq1kHCB5c8yVlB_14p_zhhCan6YdLO,20240108,松山,10,F1,Ｓ級予選,1,1,板崎　佑矢,1,2,4,6,2024/01/08 07:02&nbsp;更新
L-h0DRY0KFM8zxiuG3qDbCfs4belVjmsHKr8OjfsesW3KCntFKY26BfDOx0Ji4rz,20240108,松山,11,F1,Ｓ級予選,1,1,宇根　秀俊,5,3,3,6,2024/01/08 07:02&nbsp;更新
L-h0DRY0KFM8zxiuG3qDbAYbtlQCxv4kZRwjri9l6kO6jc6BZESmvz4XC46P_RmL,20240108,松山,12,F1,Ｓ級初日特選,1,1,溪　飛雄馬,5,2,2,4,2024/01/08 07:02&nbsp;更新
wWGgXEq2uuee3jKNfyXvkOFwoUZGaFPoyAX9TxDjarunvmWgzZLghvb7ciZuQiA0,20240108,松戸,1,F2,Ｌ級ガールズ予選（第２走）,1,1,根藤　浩二,1,2,1,2,2024/01/08 10:52&nbsp;更新
wWGgXEq2uuee3jKNfyXvkFLup3R7QjDBsTphlXYp6kQeIHnqWVRQMTrhT12XPFf3,20240108,松戸,2,F2,Ｌ級ガールズ予選（第２走）,1,1,赤井　学,1,2,1,2,2024/01/08 10:52&nbsp;更新
wWGgXEq2uuee3jKNfyXvkPHeVGTB0eRUFENaFErcNV1pPeLaYl0bG8b4vFevo23Y,20240108,松戸,3,F2,Ａ級一般,1,1,岡本　英之,1,2,4,3,2024/01/08 10:52&nbsp;更新
wWGgXEq2uuee3jKNfyXvkLv6hdq0ZV5T2CXo6SY_69JYXlE5Zi3USGQpo6zgIbCN,20240108,松戸,4,F2,Ａ級一般,1,1,本多　哲也,1,2,3,1,2024/01/08 10:52&nbsp;更新
wWGgXEq2uuee3jKNfyXvkFiNj-cH0HHhqEI2SPQBmUHrL7124qHkGXX903PobNux,20240108,松戸,5,F2,Ａ級選抜,1,1,根藤　浩二,1,2,5,,2024/01/08 10:52&nbsp;更新
wWGgXEq2uuee3jKNfyXvkA5PzxdVWskB2CyzDJBJ7PDSEwzrfj4mddyY8xtdaWFF,20240108,松戸,6,F2,Ａ級選抜,1,1,岡本　英之,1,2,1,7,2024/01/08 10:52&nbsp;更新
wWGgXEq2uuee3jKNfyXvkDqM_ckaE2aILWZ1wOQFtMCuL0H5tSvgm8O4fgqEnjWx,20240108,松戸,7,F2,Ａ級準決勝,1,1,赤井　学,1,2,5,1,2024/01/08 10:52&nbsp;更新
wWGgXEq2uuee3jKNfyXvkApIhia5nDSMgPRLfjBj8X9ntRN6uSaFvG1zGcxo2Z14,20240108,松戸,8,F2,Ａ級準決勝,1,1,本多　哲也,1,2,7,3,2024/01/08 10:52&nbsp;更新
wWGgXEq2uuee3jKNfyXvkHB3ZCs-NPGfiFLeNqYgyGJgG_7_PRGItjQ5cgQCIyY6,20240108,松戸,9,F2,Ａ級準決勝,1,1,岡本　英之,1,2,7,6,2024/01/08 10:52&nbsp;更新
8Tykx49YvXQGbMW5-Y5ok3ODzEbI2SX7Ou3QAnZVaiJ8-MsM_GM4F6a1y9R6ZIqr,20240108,大垣,1,F2,Ａ級チャレンジ一般,1,1,竹田　和幸,2,3,3,1,2024/01/08 07:02&nbsp;更新
8Tykx49YvXQGbMW5-Y5ok3RD_7B9S6nTWz046pmMLJ3cejoa7VPcyb7za08JXCA5,20240108,大垣,2,F2,Ａ級チャレンジ一般,1,1,吉田　茂生,2,3,6,1,2024/01/08 07:02&nbsp;更新
8Tykx49YvXQGbMW5-Y5ok34suOKq6AccHAf_lC_p2QW8jZJrUyrDv6EfdNGKeYa8,20240108,大垣,3,F2,Ａ級チャレンジ準決勝,1,1,林　洋二,1,2,4,7,2024/01/08 07:02&nbsp;更新
8Tykx49YvXQGbMW5-Y5ok7wJCtZrEuFr9GFE6W5fcn-X803qQZMRXKtESRMhyNUF,20240108,大垣,4,F2,Ａ級チャレンジ準決勝,1,1,三浦　靖,4,2,7,5,2024/01/08 07:02&nbsp;更新
8Tykx49YvXQGbMW5-Y5ok9oHfRmV0zfoPz5185qNrHdcbIz2SeYeJ7Q0VkLa64vY,20240108,大垣,5,F2,Ａ級チャレンジ準決勝,1,1,土岐　幹多,5,1,1,5,2024/01/08 07:02&nbsp;更新
8Tykx49YvXQGbMW5-Y5ok_V7p0YE5gqP_vdyeQe78dsbVGDpwwCmOV1Y8uRgZB-Y,20240108,大垣,6,F2,Ｌ級ガールズ予選（第２走）,1,1,林　洋二,4,6,2,7,2024/01/08 07:02&nbsp;更新
8Tykx49YvXQGbMW5-Y5ok5Ez_9kEJ77UKKCyqqfxbPSdeMn5vu-g4o2JUNpb9q_-,20240108,大垣,7,F2,Ｌ級ガールズ予選（第２走）,1,1,三浦　靖,2,4,2,1,2024/01/08 07:02&nbsp;更新
8Tykx49YvXQGbMW5-Y5ok7qPGh6MmRNVTW3zY4fOMtQfYoaU-M2XbshEHV90mQjw,20240108,大垣,8,F2,Ａ級特一般,1,1,竹田　和幸,5,2,"3,7",,2024/01/08 07:02&nbsp;更新
8Tykx49YvXQGbMW5-Y5okxDjFwktep-dQRlXwfl_voORfaJvMvwlmUXo2O0gUvbI,20240108,大垣,9,F2,Ａ級特一般,1,1,吉田　茂生,1,5,5,,2024/01/08 07:02&nbsp;更新
8Tykx49YvXQGbMW5-Y5ok5IrwJFj1j5dyeYvbft96edT-ZHeuo0bIIXNKTrJwA-8,20240108,大垣,10,F2,Ａ級準決勝,1,1,土岐　幹多,4,1,4,7,2024/01/08 07:02&nbsp;更新
8Tykx49YvXQGbMW5-Y5ok7hMgoXamttxgLLShnnHzJkv4_deL6tjdz48O8k9ySci,20240108,大垣,11,F2,Ａ級準決勝,1,1,竹田　和幸,7,5,7,2,2024/01/08 07:02&nbsp;更新
8Tykx49YvXQGbMW5-Y5ok9RmsVHhSJzWSwNA8W_L4P_eOFQCgtdeA-roaifa9535,20240108,大垣,12,F2,Ａ級準決勝,1,1,吉田　茂生,2,7,5,7,2024/01/08 07:02&nbsp;更新
r7c8N-lTlOenJOhe9NDy6MLk8OpA3Xx9CKb8mjy4hxxw5E81VeTSOtPFMJjB13S7,20240108,松阪,1,F2,Ａ級チャレンジ一般,1,1,皿屋　豊,1,2,1,"2,5",2024/01/08 10:56&nbsp;更新
r7c8N-lTlOenJOhe9NDy6FH_eEcb7U6ALIa-gCtORnDCogrFKi3X1L1-hfj14B5a,20240108,松阪,2,F2,Ａ級チャレンジ一般,1,1,吉川　起也,1,2,3,1,2024/01/08 10:54&nbsp;更新
r7c8N-lTlOenJOhe9NDy6BvQakNeZShBANPhaLTGQ9qhtsio_ZQGjZyTdQ2yzh_2,20240108,松阪,3,F2,Ａ級チャレンジ準決勝,1,1,花村　直人,1,2,3,5,2024/01/08 10:54&nbsp;更新
r7c8N-lTlOenJOhe9NDy6GgZdXhtemn5Q7O6rVjv67ILkq5ykgT6J4CbWl2qcujq,20240108,松阪,4,F2,Ａ級チャレンジ準決勝,1,1,北野　武史,1,2,2,"5,6",2024/01/08 10:54&nbsp;更新
r7c8N-lTlOenJOhe9NDy6Hn_AYZaPXMN3YQr4HMBPFBtOBdr9XQKu0CmxB8tv2XV,20240108,松阪,5,F2,Ａ級特一般,1,1,皿屋　豊,1,2,4,2,2024/01/08 10:54&nbsp;更新
r7c8N-lTlOenJOhe9NDy6A-5mjrmmjX7ugkdvyeBufl9mikb6hH7DPSP31JQN46N,20240108,松阪,6,F2,Ａ級特一般,1,1,花村　直人,1,2,2,1,2024/01/08 10:56&nbsp;更新
r7c8N-lTlOenJOhe9NDy6GzFOdswqyiyU4uvtk1F1chgX_O0iQhzYTJpxgPrJ5rM,20240108,松阪,7,F2,Ａ級準決勝,1,1,吉川　起也,1,2,6,2,2024/01/08 10:54&nbsp;更新
r7c8N-lTlOenJOhe9NDy6INGKN2HJ1ORKsMRjMgiE9C1grfk8ONOETjibujVf9R3,20240108,松阪,8,F2,Ａ級準決勝,1,1,北野　武史,1,2,4,7,2024/01/08 10:54&nbsp;更新
r7c8N-lTlOenJOhe9NDy6JQesuOqonE4BdzGqXcRzNq58wBdUpJ6Vw-3nh0IfC9-,20240108,松阪,9,F2,Ａ級準決勝,1,1,皿屋　豊,1,2,"1,3",,2024/01/08 10:54&nbsp;更新
5JBLdC8cyCWI9sEL6PUbQnnQkISssKPqZCIGIpm4pVhoC8aqvVIkabA1QjEagHYi,20240108,高松,1,F2,Ａ級チャレンジ一般,1,1,吉田　彰久,2,4,5,4,2024/01/08 07:02&nbsp;更新
5JBLdC8cyCWI9sEL6PUbQsgbb0sJcuRqLI_mbNWPC2WCVWZT4e6Y91FpjK_uSGCe,20240108,高松,2,F2,Ａ級チャレンジ一般,1,1,宮本　佳樹,1,3,1,,2024/01/08 07:02&nbsp;更新
5JBLdC8cyCWI9sEL6PUbQiXsvXQ_maOOYzUHtAnLIEniNW5viA0sJ1SDEfVoJOC1,20240108,高松,3,F2,Ａ級チャレンジ選抜,1,1,清水　邦章,1,2,4,2,2024/01/08 07:02&nbsp;更新
5JBLdC8cyCWI9sEL6PUbQlaXiua2WgUWcHQn5awIoZf8H-j2fBOv3UtIUyppf5Ij,20240108,高松,4,F2,Ａ級チャレンジ選抜,1,1,蓮井　祐輝,1,7,3,1,2024/01/08 07:02&nbsp;更新
