race_encp,race_date,track,race_no,grade,syumoku,syabanBgColorInfo,syabanCharColorInfo,syaban,wakuban,sensyuRegistNo,sensyuName,ketujyouTuikaHojyuColorInfo,ketujyouTuikaHojyu,huKen,prevKyuhan,kyuhan,kyakusitu,heikinTokuten,nigeCnt,makuriCnt,sasiCnt,markCnt,backCnt
5JBLdC8cyCWI9sEL6PUbQivaiY1r8cUg7sWOwYhhKA6mv3g_JihdEtIheVvg6-v6,20240115,高松,1,F1,Ａ級一般,base_color_1_bk,base_color_1,1,,013461,市川　健太,,,東　京,A2,A2,両,82.88,1,1,0,0,3
5JBLdC8cyCWI9sEL6PUbQivaiY1r8cUg7sWOwYhhKA6mv3g_JihdEtIheVvg6-v6,20240115,高松,1,F1,Ａ級一般,base_color_2_bk,base_color_2,2,,014332,芳野　匠,color_blue,追加,愛　媛,A1,A1,両,87.23,1,1,5,3,1
5JBLdC8cyCWI9sEL6PUbQivaiY1r8cUg7sWOwYhhKA6mv3g_JihdEtIheVvg6-v6,20240115,高松,1,F1,Ａ級一般,base_color_3_bk,base_color_3,3,,013371,足達　重満,,,長　崎,A2,A2,追,81.71,0,1,5,1,0
5JBLdC8cyCWI9sEL6PUbQivaiY1r8cUg7sWOwYhhKA6mv3g_JihdEtIheVvg6-v6,20240115,高松,1,F1,Ａ級一般,base_color_4_bk,base_color_4,4,,013469,野村　純宏,,,神奈川,A1,A1,追,85.12,0,0,1,4,0
5JBLdC8cyCWI9sEL6PUbQivaiY1r8cUg7sWOwYhhKA6mv3g_JihdEtIheVvg6-v6,20240115,高松,1,F1,Ａ級一般,base_color_5_bk,base_color_5,5,,012379,小林　健,,,岡　山,A2,A2,追,82.88,0,0,2,0,0
5JBLdC8cyCWI9sEL6PUbQivaiY1r8cUg7sWOwYhhKA6mv3g_JihdEtIheVvg6-v6,20240115,高松,1,F1,Ａ級一般,base_color_6_bk,base_color_6,6,,013742,葛西雄太郎,color_blue,追加,愛　媛,A1,A2,両,78.43,0,1,0,0,10
5JBLdC8cyCWI9sEL6PUbQivaiY1r8cUg7sWOwYhhKA6mv3g_JihdEtIheVvg6-v6,20240115,高松,1,F1,Ａ級一般,base_color_7_bk,base_color_7,7,,015652,橋本　陸,,,福　岡,A2,A2,逃,82.80,4,2,0,0,13
5JBLdC8cyCWI9sEL6PUbQqWQCuGBIvI97mz6tzfCb3SU0sCFSScHy3IO7sYEE9YQ,20240115,高松,2,F1,Ａ級一般,base_color_1_bk,base_color_1,1,,011431,梶應　弘樹,color_blue,補充,愛　媛,A2,A2,追,81.36,0,0,1,4,0
5JBLdC8cyCWI9sEL6PUbQqWQCuGBIvI97mz6tzfCb3SU0sCFSScHy3IO7sYEE9YQ,20240115,高松,2,F1,Ａ級一般,base_color_2_bk,base_color_2,2,,015241,山田　祐太,,,福　島,A2,A2,逃,83.14,3,6,0,0,12
5JBLdC8cyCWI9sEL6PUbQqWQCuGBIvI97mz6tzfCb3SU0sCFSScHy3IO7sYEE9YQ,20240115,高松,2,F1,Ａ級一般,base_color_3_bk,base_color_3,3,,013145,瓦田　勝也,,,福　岡,A2,A2,追,80.46,0,0,1,1,0
5JBLdC8cyCWI9sEL6PUbQqWQCuGBIvI97mz6tzfCb3SU0sCFSScHy3IO7sYEE9YQ,20240115,高松,2,F1,Ａ級一般,base_color_4_bk,base_color_4,4,,013006,佐々木健司,,,青　森,A2,A2,追,85.25,0,0,5,4,0
5JBLdC8cyCWI9sEL6PUbQqWQCuGBIvI97mz6tzfCb3SU0sCFSScHy3IO7sYEE9YQ,20240115,高松,2,F1,Ａ級一般,base_color_5_bk,base_color_5,5,,011451,重　一徳,color_blue,追加,鹿児島,A2,A2,追,80.44,0,0,1,1,0
5JBLdC8cyCWI9sEL6PUbQqWQCuGBIvI97mz6tzfCb3SU0sCFSScHy3IO7sYEE9YQ,20240115,高松,2,F1,Ａ級一般,base_color_6_bk,base_color_6,6,,014413,松本　充生,,,愛　媛,A2,A2,両,79.31,0,1,0,1,1
5JBLdC8cyCWI9sEL6PUbQqWQCuGBIvI97mz6tzfCb3SU0sCFSScHy3IO7sYEE9YQ,20240115,高松,2,F1,Ａ級一般,base_color_7_bk,base_color_7,7,,015131,池部　壮太,,,大　分,A1,A1,逃,87.62,10,3,0,0,18
5JBLdC8cyCWI9sEL6PUbQuMt7alY-CqpaeJMeOxWgq7bsh-PdTqg7s_guq6RjzuJ,20240115,高松,3,F1,Ａ級準決勝,base_color_1_bk,base_color_1,1,,014492,飯塚　隼人,,,佐　賀,A1,A2,両,85.24,2,4,4,1,7
5JBLdC8cyCWI9sEL6PUbQuMt7alY-CqpaeJMeOxWgq7bsh-PdTqg7s_guq6RjzuJ,20240115,高松,3,F1,Ａ級準決勝,base_color_2_bk,base_color_2,2,,014716,猪狩　祐樹,,,福　島,A1,A1,逃,93.35,4,10,2,0,5
5JBLdC8cyCWI9sEL6PUbQuMt7alY-CqpaeJMeOxWgq7bsh-PdTqg7s_guq6RjzuJ,20240115,高松,3,F1,Ａ級準決勝,base_color_3_bk,base_color_3,3,,011417,小川　巧,color_blue,追加,岡　山,A1,A2,追,89.16,0,0,5,3,0
5JBLdC8cyCWI9sEL6PUbQuMt7alY-CqpaeJMeOxWgq7bsh-PdTqg7s_guq6RjzuJ,20240115,高松,3,F1,Ａ級準決勝,base_color_4_bk,base_color_4,4,,015371,田上　晃也,,,岡　山,A1,A1,逃,80.61,4,0,1,0,17
5JBLdC8cyCWI9sEL6PUbQuMt7alY-CqpaeJMeOxWgq7bsh-PdTqg7s_guq6RjzuJ,20240115,高松,3,F1,Ａ級準決勝,base_color_5_bk,base_color_5,5,,013420,土屋　裕二,,,静　岡,S2,A1,追,93.83,0,0,1,0,0
5JBLdC8cyCWI9sEL6PUbQuMt7alY-CqpaeJMeOxWgq7bsh-PdTqg7s_guq6RjzuJ,20240115,高松,3,F1,Ａ級準決勝,base_color_6_bk,base_color_6,6,,014274,吉成　晃一,,,熊　本,A2,A2,追,79.67,0,1,2,1,1
5JBLdC8cyCWI9sEL6PUbQuMt7alY-CqpaeJMeOxWgq7bsh-PdTqg7s_guq6RjzuJ,20240115,高松,3,F1,Ａ級準決勝,base_color_7_bk,base_color_7,7,,012875,中曽　直彦,,,千　葉,A1,A2,追,85.67,0,0,6,3,0
5JBLdC8cyCWI9sEL6PUbQm7J0g-4lzylBiv6QtBJg3BvVfcKhqAqr_jkQpjgIPHi,20240115,高松,4,F1,Ａ級準決勝,base_color_1_bk,base_color_1,1,,012336,高谷　雅彦,color_blue,追加,青　森,S2,A1,両,88.87,0,0,0,0,0
5JBLdC8cyCWI9sEL6PUbQm7J0g-4lzylBiv6QtBJg3BvVfcKhqAqr_jkQpjgIPHi,20240115,高松,4,F1,Ａ級準決勝,base_color_2_bk,base_color_2,2,,013803,三ツ石康洋,,,徳　島,S2,A1,両,99.62,1,3,4,1,3
5JBLdC8cyCWI9sEL6PUbQm7J0g-4lzylBiv6QtBJg3BvVfcKhqAqr_jkQpjgIPHi,20240115,高松,4,F1,Ａ級準決勝,base_color_3_bk,base_color_3,3,,013616,渡邉　高志,,,栃　木,A1,A1,追,86.23,1,0,7,2,1
5JBLdC8cyCWI9sEL6PUbQm7J0g-4lzylBiv6QtBJg3BvVfcKhqAqr_jkQpjgIPHi,20240115,高松,4,F1,Ａ級準決勝,base_color_4_bk,base_color_4,4,,014410,桶谷　明誉,,,広　島,S2,A1,追,92.35,0,1,1,2,0
5JBLdC8cyCWI9sEL6PUbQm7J0g-4lzylBiv6QtBJg3BvVfcKhqAqr_jkQpjgIPHi,20240115,高松,4,F1,Ａ級準決勝,base_color_5_bk,base_color_5,5,,014985,竹山　慶太,,,宮　城,A2,A1,逃,86.00,6,4,0,0,9
5JBLdC8cyCWI9sEL6PUbQm7J0g-4lzylBiv6QtBJg3BvVfcKhqAqr_jkQpjgIPHi,20240115,高松,4,F1,Ａ級準決勝,base_color_6_bk,base_color_6,6,,012760,櫻井　宏智,,,広　島,A2,A2,追,83.91,0,0,1,1,0
5JBLdC8cyCWI9sEL6PUbQm7J0g-4lzylBiv6QtBJg3BvVfcKhqAqr_jkQpjgIPHi,20240115,高松,4,F1,Ａ級準決勝,base_color_7_bk,base_color_7,7,,015351,宮下　一歩,,,長　野,A1,A1,逃,89.59,8,2,0,0,25
5JBLdC8cyCWI9sEL6PUbQpOEWuFiA6_lbVTroSvqeAZnGl3gUiF1rEvMk624kgIw,20240115,高松,5,F1,Ａ級準決勝,base_color_1_bk,base_color_1,1,,015377,蒋野　翔太,,,徳　島,S2,A1,逃,95.55,6,0,1,0,9
5JBLdC8cyCWI9sEL6PUbQpOEWuFiA6_lbVTroSvqeAZnGl3gUiF1rEvMk624kgIw,20240115,高松,5,F1,Ａ級準決勝,base_color_2_bk,base_color_2,2,,014263,樫山　恭柄,,,福　岡,A1,A1,追,89.88,0,1,9,5,0
5JBLdC8cyCWI9sEL6PUbQpOEWuFiA6_lbVTroSvqeAZnGl3gUiF1rEvMk624kgIw,20240115,高松,5,F1,Ａ級準決勝,base_color_3_bk,base_color_3,3,,014083,成清謙二郎,color_blue,追加,千　葉,A1,A1,追,87.80,0,0,3,3,0
5JBLdC8cyCWI9sEL6PUbQpOEWuFiA6_lbVTroSvqeAZnGl3gUiF1rEvMk624kgIw,20240115,高松,5,F1,Ａ級準決勝,base_color_4_bk,base_color_4,4,,015658,長松　大祐,,,大　分,A2,A2,逃,86.28,5,2,2,0,10
5JBLdC8cyCWI9sEL6PUbQpOEWuFiA6_lbVTroSvqeAZnGl3gUiF1rEvMk624kgIw,20240115,高松,5,F1,Ａ級準決勝,base_color_5_bk,base_color_5,5,,013219,宮本　佳樹,,,香　川,A1,A1,追,86.18,0,1,4,3,0
