category,grade,kaisai_name,keirin_cd,meeting_icon,pos1_car_no,pos1_decision,pos1_name,pos1_region,pos2_car_no,pos2_decision,pos2_name,pos2_region,pos3_car_no,pos3_decision,pos3_name,pos3_region,quinella,quinella_payout,quinella_popularity,race_date,race_no,track,trifecta,trifecta_payout,trifecta_popularity
Ｓ級一般,G3,,44,1,4,差し,桐山敬太郎,神奈川,2,逃げ,松坂　侑亮,神奈川,5,,伊藤　正樹,愛　知,4-2,630円,(3),20250316,1R,大垣,4-2-5,"1,550円",(5)
Ｓ級一般,G3,,44,1,1,逃げ,村田　瑞季,京　都,5,マーク,片桐　善也,新　潟,2,,岡　光良,埼　玉,1-5,"2,540円",(11),20250316,2R,大垣,1-5-2,"5,450円",(23)
Ｓ級一般,G3,,44,1,1,逃げ,磯川　勝裕,東　京,2,差し,小酒　大勇,宮　崎,5,,金成　和幸,福　島,1-2,"6,080円",(17),20250316,3R,大垣,1-2-5,"16,140円",(49)
Ｓ級選抜,G3,,44,1,3,捲り,酒井　雄多,福　島,9,マーク,菊地　圭尚,北海道,7,,黒田　淳,岡　山,3-9,560円,(1),20250316,4R,大垣,3-9-7,"3,130円",(4)
Ｓ級選抜,G3,,44,1,3,差し,岡本　大嗣,東　京,9,マーク,鰐淵　圭佑,群　馬,2,,土生　敦弘,大　阪,3-9,"3,780円",(16),20250316,5R,大垣,3-9-2,"30,900円",(103)
Ｓ級選抜,G3,,44,1,4,差し,高橋　昇平,埼　玉,2,捲り,板垣　昴,北海道,7,,近藤　隆司,千　葉,4-2,"3,830円",(13),20250316,6R,大垣,4-2-7,"20,430円",(61)
Ｓ級特選,G3,,44,1,9,捲り,坂田　康季,佐　賀,3,マーク,原井　博斗,福　岡,4,,大野　悟郎,大　分,9-3,"2,120円",(7),20250316,7R,大垣,9-3-4,"6,840円",(13)
Ｓ級特選,G3,,44,1,7,差し,田尾　駿介,高　知,5,捲り,嵯峨昇喜郎,青　森,3,,大塚　玲,神奈川,7-5,"2,930円",(11),20250316,8R,大垣,7-5-3,"8,160円",(25)
Ｓ級特選,G3,,44,1,3,差し,桑原　大志,山　口,7,差し,磯田　旭,栃　木,1,,久島　尚樹,宮　崎,3-7,"3,980円",(11),20250316,9R,大垣,3-7-1,"25,090円",(71)
Ｓ級特別優秀,G3,,44,1,3,捲り,林　大悟,福　岡,9,マーク,星野　洋輝,福　島,8,,山本　拳也,高　知,3-9,"7,060円",(21),20250316,10R,大垣,3-9-8,"82,970円",(179)
Ｓ級特別優秀,G3,,44,1,3,捲り,島川　将貴,徳　島,9,差し,岡崎　智哉,大　阪,5,,松田　治之,大　阪,3-9,"2,640円",(10),20250316,11R,大垣,3-9-5,"17,340円",(57)
Ｓ級決勝,G3,,44,1,2,逃げ,志田　龍星,岐　阜,1,捲り,山本　伸一,奈　良,7,,市橋司優人,福　岡,2-1,"4,540円",(20),20250316,12R,大垣,2-1-7,"32,920円",(119)
Ｌ級ガールズ一般,G3,,48,3,1,逃げ,加瀬加奈子,新　潟,7,差し,川嶋　百香,三　重,4,,渡邉　栞奈,静　岡,1-7,430円,(2),20250316,1R,四日市,1-7-4,"1,850円",(5)
Ｌ級ガールズ一般,G3,,48,3,2,捲り,伊藤　優里,三　重,6,捲り,戸田　瑞姫,茨　城,3,,清水　彩那,静　岡,2-6,670円,(3),20250316,2R,四日市,2-6-3,"1,370円",(3)
Ｓ級一般,G3,,48,3,5,逃げ,溝口　葵,三　重,7,差し,水谷　良和,愛　知,4,,名川　豊,福　岡,5-7,"23,100円",(36),20250316,3R,四日市,5-7-4,"206,300円",(232)
Ｓ級一般,G3,,48,3,5,捲り,滝本　幸正,新　潟,3,逃げ,後藤　悠,岩　手,6,,川口　直人,神奈川,5-3,"4,800円",(20),20250316,4R,四日市,5-3-6,"65,340円",(218)
Ｓ級一般,G3,,48,3,9,捲り,加藤　将武,埼　玉,1,差し,下井　竜,三　重,7,,津村洸次郎,福　岡,9-1,"1,590円",(4),20250316,5R,四日市,9-1-7,"10,070円",(28)
Ｓ級選抜,G3,,48,3,7,捲り,岩谷　拓磨,福　岡,3,捲り,安倍　大成,埼　玉,1,,宮崎　大空,熊　本,7-3,"8,130円",(23),20250316,6R,四日市,7-3-1,"26,530円",(82)
