race_date,track,target_high_payout,ensemble_prediction,Model1_Balanced_prediction,Model2_Conservative_prediction,Model3_Complex_prediction
20240101,16,1,0.0,0.0,0.0,0.0
20240101,16,0,0.0,0.0,0.0,0.0
20240101,16,0,0.0,0.0,0.0,0.0
20240101,16,0,0.0,0.0,0.0,0.0
20240101,16,0,0.0,0.0,0.0,0.0
20240101,16,0,0.0,0.0,0.0,0.0
20240101,16,0,0.0,0.0,0.0,0.0
20240101,16,0,0.0,0.0,0.0,0.0
20240101,16,0,0.0,0.0,0.0,0.0
20240101,16,0,0.0,0.0,0.0,0.0
20240101,16,0,0.0,0.0,0.0,0.0
20240101,16,1,0.0,0.0,0.0,0.0
20240101,2,0,0.0,0.0,0.0,0.0
20240101,2,0,0.0,0.0,0.0,0.0
20240101,2,0,0.0,0.0,0.0,0.0
20240101,2,0,0.0,0.0,0.0,0.0
20240101,2,1,0.0,0.0,0.0,0.0
20240101,2,0,0.0,0.0,0.0,0.0
20240101,2,0,0.0,0.0,0.0,0.0
20240101,2,0,0.0,0.0,0.0,0.0
20240101,2,0,0.0,0.0,0.0,0.0
20240101,2,0,0.0,0.0,0.0,0.0
20240101,2,1,0.0,0.0,0.0,0.0
20240101,2,1,0.0,0.0,0.0,0.0
20240101,24,0,0.0,0.0,0.0,0.0
20240101,24,0,0.0,0.0,0.0,0.0
20240101,24,1,0.0,0.0,0.0,0.0
20240101,24,0,0.0,0.0,0.0,0.0
20240101,24,0,0.0,0.0,0.0,0.0
20240101,24,1,0.0,0.0,0.0,0.0
20240101,24,0,0.0,0.0,0.0,0.0
20240101,24,0,0.0,0.0,0.0,0.0
20240101,24,0,0.0,0.0,0.0,0.0
20240101,24,0,0.0,0.0,0.0,0.0
20240101,24,0,0.0,0.0,0.0,0.0
20240101,24,0,0.0,0.0,0.0,0.0
20240101,13,0,0.0,0.0,0.0,0.0
20240101,13,0,0.0,0.0,0.0,0.0
20240101,13,0,0.0,0.0,0.0,0.0
20240101,13,0,0.0,0.0,0.0,0.0
20240101,13,0,0.0,0.0,0.0,0.0
20240101,13,0,0.0,0.0,0.0,0.0
20240101,13,0,0.0,0.0,0.0,0.0
20240101,13,0,0.0,0.0,0.0,0.0
20240101,13,0,0.0,0.0,0.0,0.0
20240101,13,1,0.0,0.0,0.0,0.0
20240101,13,0,0.0,0.0,0.0,0.0
