race_date,track,keirin_cd,target_high_payout,prediction
20240101,16,24,1,0.0
20240101,16,24,0,0.0
20240101,16,24,0,0.0
20240101,16,24,0,0.0
20240101,16,24,0,0.0
20240101,16,24,0,0.0
20240101,16,24,0,0.0
20240101,16,24,0,0.0
20240101,16,24,0,0.0
20240101,16,24,0,0.0
20240101,16,24,0,0.0
20240101,16,24,1,0.0
20240101,2,27,0,0.0
20240101,2,27,0,0.0
20240101,2,27,0,0.0
20240101,2,27,0,0.0
20240101,2,27,1,0.0
20240101,2,27,0,0.0
20240101,2,27,0,0.0
20240101,2,27,0,0.0
20240101,2,27,0,0.0
20240101,2,27,0,0.0
20240101,2,27,1,0.0
20240101,2,27,1,0.0
20240101,24,35,0,0.0
20240101,24,35,0,0.0
20240101,24,35,1,0.0
20240101,24,35,0,0.0
20240101,24,35,0,0.0
20240101,24,35,1,0.0
20240101,24,35,0,0.0
20240101,24,35,0,0.0
20240101,24,35,0,0.0
20240101,24,35,0,0.0
20240101,24,35,0,0.0
20240101,24,35,0,0.0
20240101,13,44,0,0.0
20240101,13,44,0,0.0
20240101,13,44,0,0.0
20240101,13,44,0,0.0
20240101,13,44,0,0.0
20240101,13,44,0,0.0
20240101,13,44,0,0.0
20240101,13,44,0,0.0
20240101,13,44,0,0.0
20240101,13,44,1,0.0
20240101,13,44,0,0.0
20240101,13,44,0,0.0
20240101,28,47,0,0.0
20240101,28,47,0,0.0
20240101,28,47,0,0.0
20240101,28,47,0,0.0
20240101,28,47,1,0.0
20240101,28,47,0,0.0
20240101,28,47,0,0.0
20240101,22,56,0,0.0
20240101,22,56,0,0.0
20240101,22,56,0,0.0
20240101,22,56,0,0.0
20240101,22,56,0,0.0
20240101,22,56,0,0.0
20240101,22,56,0,0.0
20240101,22,56,0,0.0
20240101,22,56,1,0.0
20240101,22,56,0,0.0
20240101,22,56,0,0.0
20240101,22,56,1,0.0
20240101,19,73,0,0.0
20240101,19,73,0,0.0
20240101,19,73,1,0.0
20240101,19,73,0,0.0
20240101,19,73,0,0.0
20240101,19,73,1,0.0
20240101,19,73,0,0.0
20240101,19,73,0,0.0
20240101,19,73,0,0.0
20240101,19,73,0,0.0
20240101,19,73,0,0.0
20240101,19,73,1,0.0
20240101,1,83,0,0.0
20240101,1,83,0,0.0
20240101,1,83,0,0.0
20240101,1,83,0,0.0
20240101,1,83,1,0.0
20240101,1,83,0,0.0
20240101,1,83,1,0.0
20240101,1,83,1,0.0
20240101,1,83,1,0.0
20240101,1,83,0,0.0
20240101,1,83,0,0.0
20240101,1,83,1,0.0
20240101,4,85,0,0.0
20240101,4,85,0,0.0
20240101,4,85,0,0.0
20240101,4,85,1,0.0
20240101,4,85,0,0.0
20240101,4,85,0,0.0
20240101,4,85,1,0.0
20240102,16,24,0,0.0
20240102,16,24,0,0.0
20240102,16,24,0,0.0
20240102,16,24,0,0.0
20240102,16,24,0,0.0
20240102,16,24,0,0.0
20240102,16,24,0,0.0
20240102,16,24,0,0.0
20240102,16,24,1,0.0
20240102,16,24,0,0.0
20240102,16,24,0,0.0
20240102,16,24,0,0.0
20240102,2,27,0,0.0
20240102,2,27,0,0.0
20240102,2,27,0,0.0
20240102,2,27,0,0.0
20240102,2,27,0,0.0
20240102,2,27,0,0.0
20240102,2,27,0,0.0
20240102,2,27,1,0.0
20240102,2,27,1,0.0
20240102,2,27,0,0.0
20240102,2,27,1,0.0
20240102,2,27,0,0.0
20240102,24,35,1,0.0
20240102,24,35,1,0.0
20240102,24,35,0,0.0
20240102,24,35,0,0.0
20240102,24,35,0,0.0
20240102,24,35,0,0.0
20240102,24,35,0,0.0
20240102,24,35,0,0.0
20240102,24,35,0,0.0
20240102,24,35,0,0.0
20240102,24,35,0,0.0
20240102,24,35,0,0.0
20240102,13,44,0,0.0
20240102,13,44,0,0.0
20240102,13,44,0,0.0
20240102,13,44,0,0.0
20240102,13,44,0,0.0
20240102,13,44,0,0.0
20240102,13,44,1,0.0
20240102,13,44,1,0.0
20240102,13,44,0,0.0
20240102,13,44,0,0.0
20240102,13,44,1,0.0
20240102,13,44,0,0.0
20240102,28,47,0,0.0
20240102,28,47,0,0.0
20240102,28,47,1,0.0
20240102,28,47,0,0.0
20240102,28,47,0,0.0
20240102,28,47,0,0.0
20240102,28,47,1,0.0
20240102,22,56,0,0.0
20240102,22,56,0,0.0
20240102,22,56,0,0.0
20240102,22,56,0,0.0
20240102,22,56,0,0.0
20240102,22,56,0,0.0
20240102,22,56,0,0.0
20240102,22,56,0,0.0
20240102,22,56,0,0.0
20240102,22,56,0,0.0
20240102,22,56,1,0.0
20240102,22,56,0,0.0
20240102,19,73,0,0.0
20240102,19,73,1,0.0
20240102,19,73,0,0.0
20240102,19,73,0,0.0
20240102,19,73,0,0.0
20240102,19,73,0,0.0
20240102,19,73,0,0.0
20240102,19,73,0,0.0
20240102,19,73,0,0.0
20240102,19,73,0,0.0
20240102,19,73,1,0.0
20240102,19,73,1,0.0
20240102,1,83,0,0.0
20240102,1,83,0,0.0
20240102,1,83,0,0.0
20240102,1,83,0,0.0
20240102,1,83,0,0.0
20240102,1,83,0,0.0
20240102,1,83,0,0.0
20240102,1,83,0,0.0
20240102,1,83,0,0.0
20240102,1,83,0,0.0
20240102,1,83,0,0.0
20240102,1,83,0,0.0
20240102,4,85,0,0.0
20240102,4,85,0,0.0
20240102,4,85,0,0.0
20240102,4,85,0,0.0
20240102,4,85,0,0.0
20240102,4,85,0,0.0
20240102,4,85,0,0.0
20240103,16,24,0,0.0
20240103,16,24,1,0.0
20240103,16,24,0,0.0
20240103,16,24,0,0.0
20240103,16,24,0,0.0
20240103,16,24,0,0.0
20240103,16,24,0,0.0
20240103,16,24,0,0.0
20240103,16,24,1,0.0
20240103,16,24,0,0.0
20240103,16,24,0,0.0
20240103,16,24,0,0.0
20240103,2,27,1,0.0
20240103,2,27,0,0.0
20240103,2,27,0,0.0
20240103,2,27,0,0.0
20240103,2,27,0,0.0
20240103,2,27,1,0.0
20240103,2,27,0,0.0
20240103,2,27,0,0.0
20240103,2,27,0,0.0
20240103,2,27,0,0.0
20240103,2,27,0,0.0
20240103,2,27,0,0.0
20240103,24,35,0,0.0
20240103,24,35,0,0.0
20240103,24,35,1,0.0
20240103,24,35,1,0.0
20240103,24,35,0,0.0
20240103,24,35,1,0.0
20240103,24,35,0,0.0
20240103,24,35,0,0.0
20240103,24,35,0,0.0
20240103,24,35,0,0.0
20240103,24,35,1,0.0
20240103,24,35,0,0.0
20240103,35,45,0,0.0
20240103,35,45,0,0.0
20240103,35,45,0,0.0
20240103,35,45,0,0.0
20240103,35,45,0,0.0
20240103,35,45,1,0.0
20240103,35,45,0,0.0
20240103,35,45,1,0.0
20240103,35,45,0,0.0
20240103,35,45,0,0.0
20240103,35,45,0,0.0
20240103,35,45,1,0.0
20240103,28,47,0,0.0
20240103,28,47,0,0.0
20240103,28,47,0,0.0
20240103,28,47,0,0.0
20240103,28,47,0,0.0
20240103,28,47,1,0.0
20240103,28,47,1,0.0
20240103,22,56,1,0.0
20240103,22,56,1,0.0
20240103,22,56,0,0.0
20240103,22,56,1,0.0
20240103,22,56,0,0.0
20240103,22,56,0,0.0
20240103,22,56,0,0.0
20240103,22,56,0,0.0
20240103,22,56,1,0.0
20240103,22,56,0,0.0
20240103,22,56,0,0.0
20240103,22,56,0,0.0
20240103,40,74,0,0.0
20240103,40,74,1,0.0
20240103,40,74,0,0.0
20240103,40,74,0,0.0
20240103,40,74,1,0.0
20240103,40,74,1,0.0
20240103,40,74,0,0.0
20240103,40,74,0,0.0
20240103,40,74,1,0.0
20240103,40,74,0,0.0
20240103,40,74,0,0.0
20240103,40,74,1,0.0
20240103,4,85,1,0.0
20240103,4,85,0,0.0
